NAME_ID s	iID i	N.X d	N.Y d	N.Z d	D.X d	D.Y d	D.Z d	S.X d	S.Y d	S.Z d	NC.X d	NC.Y d	NC.Z d	DC.X d	DC.Y d	DC.Z d	SC.X d	SC.Y d	SC.Z d	LPITCH  d	LPITCHSENSE s	PITCHANGLE  d	MISFIT d	LINEATION s	OFFSET s	DEPTH d	GC s	COLOR s	LOC s	LOCX d	LOCY d	FORMATION s	DATATYPE s	DIPDIR d	DIP d	LDIR d	LDIP d	corr.DIPDIR d	corr.DIP d	corrL.DIPDIR d	corrL.DIP d	PALEON d	COMMENT s	DATAGROUP s	PSCOLOR s	DASHED s	ptnP.X d	ptnP.Y d	ptnP.Z d	ptnT.X d	ptnT.Y d	ptnT.Z d	ptnN.X d	ptnN.Y d	ptnN.Z d	avD.X d	avD.Y d	avD.Z d	avS0D.X d	avS0D.Y d	avS0D.Z d	avS0N.X d	avS0N.Y d	avS0N.Z d	avS0d.DIPDIR d	avS0d.DIP d	avd.DIPDIR d	avd.DIP d	avS0offset s	TRAJECTORY.X d	TRAJECTORY.Y d	TRAJECTORY.Z d	fold_great_circle_N.X d	fold_great_circle_N.Y d	fold_great_circle_N.Z d	SHEAR_S.X d	SHEAR_S.Y d	SHEAR_S.Z d	NORMAL_S.X d	NORMAL_S.Y d	NORMAL_S.Z d	lambda d	ANG d	RUP d
GRP_001	0	0.00000000	0.00000000	1.00000000	0.91141985	0.41147740	-0.00044721	-0.41147740	0.91141985	-0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NORMAL	NAN	BXX	A	ANG001	0.00000000	0.00000000	GULNERI	BEDDING	329.00000000	71.00000000	NAN	NAN	65.70232059	0.02562345	NAN	NAN	NAN		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.91141985	0.41147740	-0.00044721	0.91141985	0.41147740	-0.00044721	0.00040760	0.00018402	0.99999990	65.70232059	0.02562345	65.70232059	0.02562345	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_002	1	0.00000000	0.00000000	1.00000000	0.78789777	0.61580589	-0.00044721	-0.61580589	0.78789777	-0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NORMAL	NAN	CXX	A	ANG001	0.00000000	0.00000000	GULNERI	BEDDING	315.00000000	65.00000000	NAN	NAN	51.98949420	0.02562345	NAN	NAN	NAN		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.78789777	0.61580589	-0.00044721	0.78789777	0.61580589	-0.00044721	0.00035236	0.00027540	0.99999990	51.98949420	0.02562345	51.98949420	0.02562345	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_003	2	-0.69832771	0.62877709	0.34202014	-0.25417050	0.22885615	-0.93969262	-0.66913061	-0.74314483	-0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	AXX	A	ANG001	0.00000000	0.00000000	GULNERI	FRACTURE	312.00000000	70.00000000	NAN	NAN	312.00000000	70.00000000	NAN	NAN	NAN		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.25417050	0.22885615	-0.93969262	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	311.99999998	70.00000000		NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_004	3	-0.08384654	-0.22013938	0.97185823	-0.34591904	-0.90821166	-0.23556653	0.93451045	-0.35593571	0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	BXX	A	ANG001	0.00000000	0.00000000	GULNERI	FRACTURE	317.00000000	63.00000000	NAN	NAN	200.85080250	13.62501990	NAN	NAN	NAN		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.34591904	-0.90821166	-0.23556653	0.91141985	0.41147740	-0.00044721	0.00040760	0.00018402	0.99999990	65.70232059	0.02562345	200.85080250	13.62501990	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_005	4	-0.55281846	0.53044948	0.64266251	-0.46371595	0.44495238	-0.76614940	-0.69235776	-0.72155438	0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	CXX	A	ANG001	0.00000000	0.00000000	GULNERI	FRACTURE	134.00000000	65.00000000	NAN	NAN	313.81703729	50.00935630	NAN	NAN	NAN		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.46371595	0.44495238	-0.76614940	0.78789777	0.61580589	-0.00044721	0.00035236	0.00027540	0.99999990	51.98949420	0.02562345	313.81703729	50.00935630	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_006	5	0.28006451	-0.86194993	0.42261826	0.13059623	-0.40193385	-0.90630779	0.95105652	0.30901699	-0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	ACX	B	ANG001	0.00000000	0.00000000	GULNERI	S1	162.00000000	65.00000000	NAN	NAN	162.00000000	65.00000000	NAN	NAN	NAN		PLANE	1.00 0.00 0.67	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.14733714	-0.35427626	-0.92346094	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	157.41845000	67.43740992		NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_007	6	0.42661152	-0.83727226	0.34202014	0.15527390	-0.30474218	-0.93969262	0.89100652	0.45399050	0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	AAX	B	ANG001	0.00000000	0.00000000	GULNERI	S1	153.00000000	70.00000000	NAN	NAN	153.00000000	70.00000000	NAN	NAN	NAN		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.14733714	-0.35427626	-0.92346094	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	157.41845000	67.43740992		NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_008	7	-0.07545056	-0.25643322	0.96361259	-0.27199532	-0.92442834	-0.26730279	0.95933610	-0.28226626	0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	BCX	B	ANG001	0.00000000	0.00000000	GULNERI	S1	316.00000000	61.00000000	NAN	NAN	196.39550906	15.50383014	NAN	NAN	NAN		PLANE	1.00 0.00 0.67	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.43118430	-0.89887921	-0.07807863	0.91141985	0.41147740	-0.00044721	0.00040760	0.00018402	0.99999990	65.70232059	0.02562345	154.37338313	4.47813377	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_009	8	0.14138022	0.11899130	0.98277805	0.75191012	0.63283795	-0.18478987	-0.64392764	0.76508640	-0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	BAX	B	ANG001	0.00000000	0.00000000	GULNERI	S1	340.00000000	73.00000000	NAN	NAN	49.91467916	10.64888158	NAN	NAN	NAN		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.43118430	-0.89887921	-0.07807863	0.91141985	0.41147740	-0.00044721	0.00040760	0.00018402	0.99999990	65.70232059	0.02562345	154.37338313	4.47813377	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
GRP_010	9	0.17848200	0.11834509	0.97680019	0.81409780	0.53979940	-0.21415272	-0.55262008	0.83343329	-0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	BCX	C	ANG001	0.00000000	0.00000000	GULNERI	S2	342.00000000	72.00000000	NAN	NAN	56.45305251	12.36582391	NAN	NAN	NAN		PLANE	1.00 0.00 0.67	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.14853286	0.97789931	-0.14714254	0.91141985	0.41147740	-0.00044721	0.00040760	0.00018402	0.99999990	65.70232059	0.02562345	351.36337327	8.46136868	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
