CENTER.X d	CENTER.Y d	CENTER.Z d	COUNT i
-1.01379310	-1.01379310	NAN	0
-0.94137931	-1.01379310	NAN	0
-0.86896552	-1.01379310	NAN	0
-0.79655172	-1.01379310	NAN	0
-0.72413793	-1.01379310	NAN	0
-0.65172414	-1.01379310	NAN	0
-0.57931034	-1.01379310	NAN	0
-0.50689655	-1.01379310	NAN	0
-0.43448276	-1.01379310	NAN	0
-0.36206897	-1.01379310	NAN	0
-0.28965517	-1.01379310	NAN	0
-0.21724138	-1.01379310	NAN	0
-0.14482759	-1.01379310	NAN	0
-0.07241379	-1.01379310	NAN	0
0.00000000	-1.01379310	NAN	0
0.07241379	-1.01379310	NAN	0
0.14482759	-1.01379310	NAN	0
0.21724138	-1.01379310	NAN	0
0.28965517	-1.01379310	NAN	0
0.36206897	-1.01379310	NAN	0
0.43448276	-1.01379310	NAN	0
0.50689655	-1.01379310	NAN	0
0.57931034	-1.01379310	NAN	0
0.65172414	-1.01379310	NAN	0
0.72413793	-1.01379310	NAN	0
0.79655172	-1.01379310	NAN	0
0.86896552	-1.01379310	NAN	0
0.94137931	-1.01379310	NAN	0
1.01379310	-1.01379310	NAN	0
-1.01379310	-0.94137931	NAN	0
-0.94137931	-0.94137931	NAN	0
-0.86896552	-0.94137931	NAN	0
-0.79655172	-0.94137931	NAN	0
-0.72413793	-0.94137931	NAN	0
-0.65172414	-0.94137931	NAN	0
-0.57931034	-0.94137931	NAN	0
-0.50689655	-0.94137931	NAN	0
-0.43448276	-0.94137931	NAN	0
-0.36206897	-0.94137931	NAN	0
-0.28965517	-0.94137931	NAN	109
-0.21724138	-0.94137931	NAN	101
-0.14482759	-0.94137931	NAN	96
-0.07241379	-0.94137931	NAN	94
0.00000000	-0.94137931	NAN	94
0.07241379	-0.94137931	NAN	97
0.14482759	-0.94137931	NAN	104
0.21724138	-0.94137931	NAN	119
0.28965517	-0.94137931	NAN	148
0.36206897	-0.94137931	NAN	0
0.43448276	-0.94137931	NAN	0
0.50689655	-0.94137931	NAN	0
0.57931034	-0.94137931	NAN	0
0.65172414	-0.94137931	NAN	0
0.72413793	-0.94137931	NAN	0
0.79655172	-0.94137931	NAN	0
0.86896552	-0.94137931	NAN	0
0.94137931	-0.94137931	NAN	0
1.01379310	-0.94137931	NAN	0
-1.01379310	-0.86896552	NAN	0
-0.94137931	-0.86896552	NAN	0
-0.86896552	-0.86896552	NAN	0
-0.79655172	-0.86896552	NAN	0
-0.72413793	-0.86896552	NAN	0
-0.65172414	-0.86896552	NAN	0
-0.57931034	-0.86896552	NAN	0
-0.50689655	-0.86896552	NAN	0
-0.43448276	-0.86896552	NAN	171
-0.36206897	-0.86896552	NAN	133
-0.28965517	-0.86896552	NAN	111
-0.21724138	-0.86896552	NAN	99
-0.14482759	-0.86896552	NAN	92
-0.07241379	-0.86896552	NAN	87
0.00000000	-0.86896552	NAN	85
0.07241379	-0.86896552	NAN	85
0.14482759	-0.86896552	NAN	88
0.21724138	-0.86896552	NAN	94
0.28965517	-0.86896552	NAN	105
0.36206897	-0.86896552	NAN	127
0.43448276	-0.86896552	NAN	173
0.50689655	-0.86896552	NAN	0
0.57931034	-0.86896552	NAN	0
0.65172414	-0.86896552	NAN	0
0.72413793	-0.86896552	NAN	0
0.79655172	-0.86896552	NAN	0
0.86896552	-0.86896552	NAN	0
0.94137931	-0.86896552	NAN	0
1.01379310	-0.86896552	NAN	0
-1.01379310	-0.79655172	NAN	0
-0.94137931	-0.79655172	NAN	0
-0.86896552	-0.79655172	NAN	0
-0.79655172	-0.79655172	NAN	0
-0.72413793	-0.79655172	NAN	0
-0.65172414	-0.79655172	NAN	0
-0.57931034	-0.79655172	NAN	259
-0.50689655	-0.79655172	NAN	327
-0.43448276	-0.79655172	NAN	200
-0.36206897	-0.79655172	NAN	139
-0.28965517	-0.79655172	NAN	112
-0.21724138	-0.79655172	NAN	98
-0.14482759	-0.79655172	NAN	89
-0.07241379	-0.79655172	NAN	83
0.00000000	-0.79655172	NAN	80
0.07241379	-0.79655172	NAN	78
0.14482759	-0.79655172	NAN	79
0.21724138	-0.79655172	NAN	82
0.28965517	-0.79655172	NAN	88
0.36206897	-0.79655172	NAN	99
0.43448276	-0.79655172	NAN	118
0.50689655	-0.79655172	NAN	155
0.57931034	-0.79655172	NAN	263
0.65172414	-0.79655172	NAN	0
0.72413793	-0.79655172	NAN	0
0.79655172	-0.79655172	NAN	0
0.86896552	-0.79655172	NAN	0
0.94137931	-0.79655172	NAN	0
1.01379310	-0.79655172	NAN	0
-1.01379310	-0.72413793	NAN	0
-0.94137931	-0.72413793	NAN	0
-0.86896552	-0.72413793	NAN	0
-0.79655172	-0.72413793	NAN	0
-0.72413793	-0.72413793	NAN	0
-0.65172414	-0.72413793	NAN	295
-0.57931034	-0.72413793	NAN	309
-0.50689655	-0.72413793	NAN	214
-0.43448276	-0.72413793	NAN	166
-0.36206897	-0.72413793	NAN	132
-0.28965517	-0.72413793	NAN	110
-0.21724138	-0.72413793	NAN	96
-0.14482759	-0.72413793	NAN	86
-0.07241379	-0.72413793	NAN	80
0.00000000	-0.72413793	NAN	76
0.07241379	-0.72413793	NAN	74
0.14482759	-0.72413793	NAN	73
0.21724138	-0.72413793	NAN	74
0.28965517	-0.72413793	NAN	78
0.36206897	-0.72413793	NAN	86
0.43448276	-0.72413793	NAN	98
0.50689655	-0.72413793	NAN	117
0.57931034	-0.72413793	NAN	152
0.65172414	-0.72413793	NAN	243
0.72413793	-0.72413793	NAN	0
0.79655172	-0.72413793	NAN	0
0.86896552	-0.72413793	NAN	0
0.94137931	-0.72413793	NAN	0
1.01379310	-0.72413793	NAN	0
-1.01379310	-0.65172414	NAN	0
-0.94137931	-0.65172414	NAN	0
-0.86896552	-0.65172414	NAN	0
-0.79655172	-0.65172414	NAN	0
-0.72413793	-0.65172414	NAN	409
-0.65172414	-0.65172414	NAN	404
-0.57931034	-0.65172414	NAN	272
-0.50689655	-0.65172414	NAN	189
-0.43448276	-0.65172414	NAN	150
-0.36206897	-0.65172414	NAN	124
-0.28965517	-0.65172414	NAN	106
-0.21724138	-0.65172414	NAN	93
-0.14482759	-0.65172414	NAN	84
-0.07241379	-0.65172414	NAN	77
0.00000000	-0.65172414	NAN	73
0.07241379	-0.65172414	NAN	70
0.14482759	-0.65172414	NAN	69
0.21724138	-0.65172414	NAN	69
0.28965517	-0.65172414	NAN	72
0.36206897	-0.65172414	NAN	78
0.43448276	-0.65172414	NAN	86
0.50689655	-0.65172414	NAN	100
0.57931034	-0.65172414	NAN	120
0.65172414	-0.65172414	NAN	157
0.72413793	-0.65172414	NAN	256
0.79655172	-0.65172414	NAN	0
0.86896552	-0.65172414	NAN	0
0.94137931	-0.65172414	NAN	0
1.01379310	-0.65172414	NAN	0
-1.01379310	-0.57931034	NAN	0
-0.94137931	-0.57931034	NAN	0
-0.86896552	-0.57931034	NAN	0
-0.79655172	-0.57931034	NAN	414
-0.72413793	-0.57931034	NAN	353
-0.65172414	-0.57931034	NAN	290
-0.57931034	-0.57931034	NAN	212
-0.50689655	-0.57931034	NAN	166
-0.43448276	-0.57931034	NAN	136
-0.36206897	-0.57931034	NAN	116
-0.28965517	-0.57931034	NAN	100
-0.21724138	-0.57931034	NAN	89
-0.14482759	-0.57931034	NAN	81
-0.07241379	-0.57931034	NAN	74
0.00000000	-0.57931034	NAN	70
0.07241379	-0.57931034	NAN	67
0.14482759	-0.57931034	NAN	65
0.21724138	-0.57931034	NAN	65
0.28965517	-0.57931034	NAN	68
0.36206897	-0.57931034	NAN	72
0.43448276	-0.57931034	NAN	79
0.50689655	-0.57931034	NAN	90
0.57931034	-0.57931034	NAN	105
0.65172414	-0.57931034	NAN	128
0.72413793	-0.57931034	NAN	171
0.79655172	-0.57931034	NAN	306
0.86896552	-0.57931034	NAN	0
0.94137931	-0.57931034	NAN	0
1.01379310	-0.57931034	NAN	0
-1.01379310	-0.50689655	NAN	0
-0.94137931	-0.50689655	NAN	0
-0.86896552	-0.50689655	NAN	0
-0.79655172	-0.50689655	NAN	356
-0.72413793	-0.50689655	NAN	256
-0.65172414	-0.50689655	NAN	208
-0.57931034	-0.50689655	NAN	172
-0.50689655	-0.50689655	NAN	145
-0.43448276	-0.50689655	NAN	123
-0.36206897	-0.50689655	NAN	107
-0.28965517	-0.50689655	NAN	95
-0.21724138	-0.50689655	NAN	85
-0.14482759	-0.50689655	NAN	77
-0.07241379	-0.50689655	NAN	72
0.00000000	-0.50689655	NAN	67
0.07241379	-0.50689655	NAN	64
0.14482759	-0.50689655	NAN	62
0.21724138	-0.50689655	NAN	62
