CENTER.X d	CENTER.Y d	CENTER.Z d	COUNT i
-1.01379310	-1.01379310	NAN	0
-0.94137931	-1.01379310	NAN	0
-0.86896552	-1.01379310	NAN	0
-0.79655172	-1.01379310	NAN	0
-0.72413793	-1.01379310	NAN	0
-0.65172414	-1.01379310	NAN	0
-0.57931034	-1.01379310	NAN	0
-0.50689655	-1.01379310	NAN	0
-0.43448276	-1.01379310	NAN	0
-0.36206897	-1.01379310	NAN	0
-0.28965517	-1.01379310	NAN	0
-0.21724138	-1.01379310	NAN	0
-0.14482759	-1.01379310	NAN	0
-0.07241379	-1.01379310	NAN	0
0.00000000	-1.01379310	NAN	0
0.07241379	-1.01379310	NAN	0
0.14482759	-1.01379310	NAN	0
0.21724138	-1.01379310	NAN	0
0.28965517	-1.01379310	NAN	0
0.36206897	-1.01379310	NAN	0
0.43448276	-1.01379310	NAN	0
0.50689655	-1.01379310	NAN	0
0.57931034	-1.01379310	NAN	0
0.65172414	-1.01379310	NAN	0
0.72413793	-1.01379310	NAN	0
0.79655172	-1.01379310	NAN	0
0.86896552	-1.01379310	NAN	0
0.94137931	-1.01379310	NAN	0
1.01379310	-1.01379310	NAN	0
-1.01379310	-0.94137931	NAN	0
-0.94137931	-0.94137931	NAN	0
-0.86896552	-0.94137931	NAN	0
-0.79655172	-0.94137931	NAN	0
-0.72413793	-0.94137931	NAN	0
-0.65172414	-0.94137931	NAN	0
-0.57931034	-0.94137931	NAN	0
-0.50689655	-0.94137931	NAN	0
-0.43448276	-0.94137931	NAN	0
-0.36206897	-0.94137931	NAN	0
-0.28965517	-0.94137931	NAN	176
-0.21724138	-0.94137931	NAN	166
-0.14482759	-0.94137931	NAN	160
-0.07241379	-0.94137931	NAN	159
0.00000000	-0.94137931	NAN	162
0.07241379	-0.94137931	NAN	171
0.14482759	-0.94137931	NAN	186
0.21724138	-0.94137931	NAN	215
0.28965517	-0.94137931	NAN	269
0.36206897	-0.94137931	NAN	0
0.43448276	-0.94137931	NAN	0
0.50689655	-0.94137931	NAN	0
0.57931034	-0.94137931	NAN	0
0.65172414	-0.94137931	NAN	0
0.72413793	-0.94137931	NAN	0
0.79655172	-0.94137931	NAN	0
0.86896552	-0.94137931	NAN	0
0.94137931	-0.94137931	NAN	0
1.01379310	-0.94137931	NAN	0
-1.01379310	-0.86896552	NAN	0
-0.94137931	-0.86896552	NAN	0
-0.86896552	-0.86896552	NAN	0
-0.79655172	-0.86896552	NAN	0
-0.72413793	-0.86896552	NAN	0
-0.65172414	-0.86896552	NAN	0
-0.57931034	-0.86896552	NAN	0
-0.50689655	-0.86896552	NAN	0
-0.43448276	-0.86896552	NAN	248
-0.36206897	-0.86896552	NAN	202
-0.28965517	-0.86896552	NAN	175
-0.21724138	-0.86896552	NAN	160
-0.14482759	-0.86896552	NAN	150
-0.07241379	-0.86896552	NAN	145
0.00000000	-0.86896552	NAN	145
0.07241379	-0.86896552	NAN	147
0.14482759	-0.86896552	NAN	155
0.21724138	-0.86896552	NAN	169
0.28965517	-0.86896552	NAN	192
0.36206897	-0.86896552	NAN	232
0.43448276	-0.86896552	NAN	316
0.50689655	-0.86896552	NAN	0
0.57931034	-0.86896552	NAN	0
0.65172414	-0.86896552	NAN	0
0.72413793	-0.86896552	NAN	0
0.79655172	-0.86896552	NAN	0
0.86896552	-0.86896552	NAN	0
0.94137931	-0.86896552	NAN	0
1.01379310	-0.86896552	NAN	0
-1.01379310	-0.79655172	NAN	0
-0.94137931	-0.79655172	NAN	0
-0.86896552	-0.79655172	NAN	0
-0.79655172	-0.79655172	NAN	0
-0.72413793	-0.79655172	NAN	0
-0.65172414	-0.79655172	NAN	0
-0.57931034	-0.79655172	NAN	402
-0.50689655	-0.79655172	NAN	436
-0.43448276	-0.79655172	NAN	280
-0.36206897	-0.79655172	NAN	208
-0.28965517	-0.79655172	NAN	175
-0.21724138	-0.79655172	NAN	156
-0.14482759	-0.79655172	NAN	144
-0.07241379	-0.79655172	NAN	137
0.00000000	-0.79655172	NAN	134
0.07241379	-0.79655172	NAN	134
0.14482759	-0.79655172	NAN	137
0.21724138	-0.79655172	NAN	145
0.28965517	-0.79655172	NAN	159
0.36206897	-0.79655172	NAN	181
0.43448276	-0.79655172	NAN	218
0.50689655	-0.79655172	NAN	287
0.57931034	-0.79655172	NAN	476
0.65172414	-0.79655172	NAN	0
0.72413793	-0.79655172	NAN	0
0.79655172	-0.79655172	NAN	0
0.86896552	-0.79655172	NAN	0
0.94137931	-0.79655172	NAN	0
1.01379310	-0.79655172	NAN	0
-1.01379310	-0.72413793	NAN	0
-0.94137931	-0.72413793	NAN	0
-0.86896552	-0.72413793	NAN	0
-0.79655172	-0.72413793	NAN	0
-0.72413793	-0.72413793	NAN	0
-0.65172414	-0.72413793	NAN	445
-0.57931034	-0.72413793	NAN	464
-0.50689655	-0.72413793	NAN	317
-0.43448276	-0.72413793	NAN	246
-0.36206897	-0.72413793	NAN	200
-0.28965517	-0.72413793	NAN	171
-0.21724138	-0.72413793	NAN	152
-0.14482759	-0.72413793	NAN	139
-0.07241379	-0.72413793	NAN	131
0.00000000	-0.72413793	NAN	126
0.07241379	-0.72413793	NAN	124
0.14482759	-0.72413793	NAN	126
0.21724138	-0.72413793	NAN	130
0.28965517	-0.72413793	NAN	140
0.36206897	-0.72413793	NAN	154
0.43448276	-0.72413793	NAN	178
0.50689655	-0.72413793	NAN	214
0.57931034	-0.72413793	NAN	280
0.65172414	-0.72413793	NAN	449
0.72413793	-0.72413793	NAN	0
0.79655172	-0.72413793	NAN	0
0.86896552	-0.72413793	NAN	0
0.94137931	-0.72413793	NAN	0
1.01379310	-0.72413793	NAN	0
-1.01379310	-0.65172414	NAN	0
-0.94137931	-0.65172414	NAN	0
-0.86896552	-0.65172414	NAN	0
-0.79655172	-0.65172414	NAN	0
-0.72413793	-0.65172414	NAN	579
-0.65172414	-0.65172414	NAN	558
-0.57931034	-0.65172414	NAN	395
-0.50689655	-0.65172414	NAN	283
-0.43448276	-0.65172414	NAN	227
-0.36206897	-0.65172414	NAN	190
-0.28965517	-0.65172414	NAN	165
-0.21724138	-0.65172414	NAN	147
-0.14482759	-0.65172414	NAN	135
-0.07241379	-0.65172414	NAN	126
0.00000000	-0.65172414	NAN	120
0.07241379	-0.65172414	NAN	117
0.14482759	-0.65172414	NAN	117
0.21724138	-0.65172414	NAN	120
0.28965517	-0.65172414	NAN	127
0.36206897	-0.65172414	NAN	138
0.43448276	-0.65172414	NAN	155
0.50689655	-0.65172414	NAN	181
0.57931034	-0.65172414	NAN	220
0.65172414	-0.65172414	NAN	289
0.72413793	-0.65172414	NAN	472
0.79655172	-0.65172414	NAN	0
0.86896552	-0.65172414	NAN	0
0.94137931	-0.65172414	NAN	0
1.01379310	-0.65172414	NAN	0
-1.01379310	-0.57931034	NAN	0
-0.94137931	-0.57931034	NAN	0
-0.86896552	-0.57931034	NAN	0
-0.79655172	-0.57931034	NAN	618
-0.72413793	-0.57931034	NAN	506
-0.65172414	-0.57931034	NAN	412
-0.57931034	-0.57931034	NAN	314
-0.50689655	-0.57931034	NAN	251
-0.43448276	-0.57931034	NAN	209
-0.36206897	-0.57931034	NAN	179
-0.28965517	-0.57931034	NAN	158
-0.21724138	-0.57931034	NAN	142
-0.14482759	-0.57931034	NAN	130
-0.07241379	-0.57931034	NAN	121
0.00000000	-0.57931034	NAN	115
0.07241379	-0.57931034	NAN	111
0.14482759	-0.57931034	NAN	111
0.21724138	-0.57931034	NAN	113
0.28965517	-0.57931034	NAN	118
0.36206897	-0.57931034	NAN	127
0.43448276	-0.57931034	NAN	141
0.50689655	-0.57931034	NAN	161
0.57931034	-0.57931034	NAN	189
0.65172414	-0.57931034	NAN	233
0.72413793	-0.57931034	NAN	313
0.79655172	-0.57931034	NAN	554
0.86896552	-0.57931034	NAN	0
0.94137931	-0.57931034	NAN	0
1.01379310	-0.57931034	NAN	0
-1.01379310	-0.50689655	NAN	0
-0.94137931	-0.50689655	NAN	0
-0.86896552	-0.50689655	NAN	0
-0.79655172	-0.50689655	NAN	577
-0.72413793	-0.50689655	NAN	392
-0.65172414	-0.50689655	NAN	315
-0.57931034	-0.50689655	NAN	263
-0.50689655	-0.50689655	NAN	223
-0.43448276	-0.50689655	NAN	192
-0.36206897	-0.50689655	NAN	168
-0.28965517	-0.50689655	NAN	150
-0.21724138	-0.50689655	NAN	136
-0.14482759	-0.50689655	NAN	125
-0.07241379	-0.50689655	NAN	116
0.00000000	-0.50689655	NAN	110
0.07241379	-0.50689655	NAN	106
0.14482759	-0.50689655	NAN	105
0.21724138	-0.50689655	NAN	107
