NAME_ID s	iID i	N.X d	N.Y d	N.Z d	D.X d	D.Y d	D.Z d	S.X d	S.Y d	S.Z d	NC.X d	NC.Y d	NC.Z d	DC.X d	DC.Y d	DC.Z d	SC.X d	SC.Y d	SC.Z d	LPITCH  d	LPITCHSENSE s	PITCHANGLE  d	MISFIT d	LINEATION s	OFFSET s	DEPTH d	GC s	COLOR s	LOC s	LOCX d	LOCY d	FORMATION s	DATATYPE s	DIPDIR d	DIP d	LDIR d	LDIP d	corr.DIPDIR d	corr.DIP d	corrL.DIPDIR d	corrL.DIP d	PALEON d	COMMENT s	DATAGROUP s	PSCOLOR s	DASHED s	ptnP.X d	ptnP.Y d	ptnP.Z d	ptnT.X d	ptnT.Y d	ptnT.Z d	ptnN.X d	ptnN.Y d	ptnN.Z d	avD.X d	avD.Y d	avD.Z d	avS0D.X d	avS0D.Y d	avS0D.Z d	avS0N.X d	avS0N.Y d	avS0N.Z d	avS0d.DIPDIR d	avS0d.DIP d	avd.DIPDIR d	avd.DIP d	avS0offset s	fold_great_circle_N.X d	fold_great_circle_N.Y d	fold_great_circle_N.Z d	SHEAR_S.X d	SHEAR_S.Y d	SHEAR_S.Z d	NORMAL_S.X d	NORMAL_S.Y d	NORMAL_S.Z d	UPSILON.X d	UPSILON.Y d	UPSILON.Z d	lambda d	ANG d	RUP d
ANG_001	0	0.42402405	-0.76495963	0.48480962	0.23504037	-0.42402405	-0.87461971	0.87461971	0.48480962	0.00000000	0.64992262	-0.56523789	0.50804205	0.38334569	-0.33339586	-0.86133227	0.65623675	0.75455505	-0.00000000	80.00000000	E	80.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	151.00000000	61.00000000	NAN	NAN	151.00000000	61.00000000	131.01349355	59.46650063	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.11822903	-0.16901509	-0.37008686	-0.13693308	0.24703381	-0.15656299	0.21375808	-0.11971420	-0.37584876	0.86602540	7.09595752	23.24253996
ANG_002	1	0.67545705	-0.52772488	0.51503807	0.40585554	-0.31708910	-0.85716730	0.61566148	0.78801075	-0.00000000	0.46100149	-0.70714808	0.53611493	0.29278119	-0.44910844	-0.84414500	0.83770926	0.54611647	-0.00000000	80.00000000	S	100.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	128.00000000	59.00000000	NAN	NAN	128.00000000	59.00000000	146.89900763	57.58044546	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.19478228	-0.13940261	-0.39828761	-0.23084644	0.18035700	-0.17602112	0.05877367	-0.24953671	-0.33276340	0.86602540	11.24141805	20.37519879
ANG_003	2	-0.13705875	0.97522367	0.17364818	-0.02416716	0.17195825	-0.98480775	-0.99026807	-0.13917310	0.00000000	-0.82796152	0.10944949	0.55000048	-0.54525704	0.07207836	-0.83516434	-0.13105144	-0.99137557	-0.00000000	58.00000000	W	58.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	352.00000000	80.00000000	NAN	NAN	352.00000000	80.00000000	277.53035531	56.63295428	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.06694680	0.01320868	-0.12702156	0.01661411	-0.11821552	-0.02104944	-0.40525964	0.04921301	-0.59625197	0.86602540	5.44687343	60.29542662
ANG_004	3	-0.54498500	0.75010750	0.37460659	-0.22018823	0.30306310	-0.92718385	-0.80901699	-0.58778525	-0.00000000	-0.82573076	0.37506989	0.42129714	-0.38358068	0.17423302	-0.90692266	-0.41356326	-0.91047539	-0.00000000	78.00000000	W	78.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	324.00000000	68.00000000	NAN	NAN	324.00000000	68.00000000	294.42887040	65.08349126	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.12382942	0.04265708	-0.26556546	0.07459898	-0.10267669	-0.05127714	-0.20836119	0.10823314	-0.51985260	0.86602540	2.69356335	37.57112956
ANG_005	4	-0.66214689	0.59619974	0.45399050	-0.33738069	0.30377894	-0.89100652	-0.66913061	-0.74314483	-0.00000000	-0.83384788	0.25352028	0.49033171	-0.46912819	0.14263214	-0.87153589	-0.29088908	-0.95675678	-0.00000000	78.00000000	W	78.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	312.00000000	63.00000000	NAN	NAN	312.00000000	63.00000000	286.91119174	60.63761377	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.15752129	0.06289436	-0.31234096	0.11037479	-0.09938190	-0.07567672	-0.24875564	0.06062870	-0.44243126	0.86602540	2.49984084	30.17239770
ANG_006	5	-0.37437839	-0.92661904	0.03489950	-0.01307358	-0.03235825	-0.99939083	0.92718385	-0.37460659	-0.00000000	-0.81153876	0.27430955	0.51590610	-0.48874123	0.16520022	-0.85664514	-0.32021374	-0.94734532	-0.00000000	59.00000000	W	121.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	202.00000000	88.00000000	NAN	NAN	202.00000000	88.00000000	288.67585167	58.94196051	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.00652184	0.00220233	-0.01148762	0.04863063	0.12036503	-0.00453334	-0.41674049	0.14086526	-0.73038883	0.86602540	0.12730290	83.94482450
ANG_007	6	-0.23663532	0.94909244	0.20791169	-0.05029839	0.20173583	-0.97814760	-0.97029573	-0.24192190	0.00000000	-0.87295257	0.15440531	0.46272325	-0.45565052	0.08059414	-0.88650279	-0.17417352	-0.98471498	-0.00000000	65.00000000	W	65.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	346.00000000	78.00000000	NAN	NAN	346.00000000	78.00000000	280.03056574	62.43702594	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.07767038	0.01346731	-0.14987747	0.02768114	-0.11102297	-0.02432110	-0.31693454	0.05632926	-0.61785646	0.86602540	0.20079568	56.04536507
ANG_008	7	-0.57948410	0.64358230	0.50000000	-0.33456530	0.37157241	-0.86602540	-0.74314483	-0.66913061	0.00000000	-0.74898497	0.40792922	0.52212572	-0.45852825	0.24973408	-0.85286853	-0.47830259	-0.87819510	-0.00000000	80.00000000	W	80.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	318.00000000	60.00000000	NAN	NAN	318.00000000	60.00000000	298.57459985	58.52505111	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	-0.18039002	0.09503231	-0.33138852	0.12577211	-0.13968408	-0.10852076	-0.21670710	0.12124375	-0.40721729	0.86602540	0.43427359	26.26804413
ANG_009	8	0.16688531	-0.85855048	0.48480962	0.09250604	-0.47590230	-0.87461971	0.98162718	0.19080900	0.00000000	0.28704027	-0.82392066	0.48863344	0.16075555	-0.46143287	-0.87248918	0.94433338	0.32899007	-0.00000000	86.00000000	E	86.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	169.00000000	61.00000000	NAN	NAN	169.00000000	61.00000000	160.79251180	60.74919917	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.04599829	-0.18617300	-0.34552813	-0.05545156	0.28527354	-0.16108937	0.09322010	-0.21343958	-0.41006966	0.86602540	2.60368046	25.68095220
ANG_010	9	0.29710050	-0.77397325	0.55919290	0.20039681	-0.52205155	-0.82903757	0.93358043	0.35836795	0.00000000	0.34455236	-0.75349177	0.55994091	0.23285622	-0.50922667	-0.82853255	0.90942930	0.41585857	-0.00000000	88.00000000	E	88.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	159.00000000	56.00000000	NAN	NAN	159.00000000	56.00000000	155.42660371	55.94828871	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	0.09775814	-0.22628341	-0.36513571	-0.11953499	0.31139929	-0.22498487	0.10390127	-0.21471982	-0.35239452	0.86602540	0.67691675	20.90954543
