DEPTH d	VALUE d
1373.32000000	37.99652044
1373.53000000	38.24579235
1374.04000000	45.29949296
1375.60500000	37.35586258
1375.93000000	38.59231394
1376.30000000	38.97834638
1379.74000000	38.94227180
1384.90000000	35.30899968
1387.07500000	33.06227000
1387.29000000	29.21921564
1387.42000000	31.89195876
1388.29000000	34.36717247
1389.16000000	33.33168443
1393.65500000	34.93068775
1399.14000000	54.33696154
1401.86000000	53.93322652
1404.58000000	57.88437574
1408.90500000	55.15993804
1413.23000000	52.87894180
1414.56000000	48.74984000
1415.71000000	48.83144614
1416.29500000	47.64960223
1417.18000000	46.04173000
1417.48000000	45.89450733
1417.88000000	45.20595644
1422.10500000	41.10863900
1426.20000000	40.67292962
1426.36500000	40.50296806
1429.78000000	41.39027735
1433.03000000	39.93400573
1433.67000000	38.77856304
1433.79500000	37.95352209
1434.34500000	36.82769783
1436.90000000	35.68194803
1439.13500000	36.48017379
1439.78000000	36.87519388
1440.32000000	20.49892460
1448.03500000	18.80493797
1456.21500000	10.93753119
1460.40000000	8.71401295
1460.59000000	17.30942616
1460.95000000	21.31328243
1461.31000000	24.03107373
1461.56500000	25.11498694
1463.12500000	35.42830824
1471.58000000	41.77096539
1473.02500000	41.71067369
1474.98000000	42.09404765
1475.49000000	42.03317073
1476.71000000	44.84464286
1477.89000000	46.34587630
1478.13000000	46.80278796
1478.63000000	47.29806235
1478.89000000	47.78383421
1479.43500000	46.71239142
1479.98000000	46.57023561
1480.14000000	46.67517776
1480.30000000	46.20061256
1481.30500000	46.55152692
1481.66000000	47.07193067
1482.67000000	47.85631635
1483.49000000	47.29711036
1483.73000000	47.32609868
1486.51000000	46.51595045
1491.49500000	44.89652505
1497.99500000	40.33887115
1499.51000000	38.59030114
1501.97000000	40.01129349
1504.43000000	35.94999999
1529.86000000	31.00999999
1536.88000000	37.64911043
1537.94000000	50.65895194
1538.09500000	52.96274175
1538.25000000	53.10302554
1538.86500000	61.27326428
1539.48000000	52.55117194
1547.44000000	47.36777201
1556.28500000	37.66703725
1557.34000000	31.71215259
1557.63000000	32.81757082
1557.92000000	33.46868153
1560.09500000	34.03172222
1562.27000000	35.25925741
1563.20500000	36.71785281
1566.24000000	37.98615724
1568.34000000	38.71004200
1569.95000000	41.53909439
1572.84000000	41.22056267
1575.73000000	43.21445727
1577.04000000	46.52785518
1578.35000000	43.60757421
1579.61500000	44.86060656
1585.01500000	38.74699606
1589.15000000	38.30981847
1590.13000000	38.23769485
1591.15000000	37.25872143
1592.17000000	37.76502794
1595.69000000	36.83755977
1599.87500000	36.31544228
1604.06000000	37.81343044
1604.19500000	37.21948776
1608.64500000	33.60324522
1613.32000000	34.49699287
1613.97500000	35.08138619
1614.49500000	36.14319878
1614.72000000	36.25870238
1615.23500000	36.62485691
1615.75000000	36.87154213
1615.93000000	36.73602454
1616.11000000	37.11687784
1616.52000000	37.60642299
1617.04500000	37.12964266
1617.92500000	37.42431097
1618.77500000	38.31132165
1619.27000000	38.42390503
1619.73000000	38.30943551
1620.66500000	38.37058529
1621.59500000	38.21021870
1622.33000000	38.14855802
1623.64000000	39.30006784
1626.36000000	39.57611622
1627.19000000	39.36796857
1628.38000000	39.31840624
1628.64000000	39.39440726
1629.34000000	39.29849824
1630.35500000	39.45147360
1631.66000000	40.10682156
1632.00000000	40.09146692
1633.12000000	40.05620396
1633.94000000	40.99326597
1634.38000000	41.26352184
1634.76500000	41.42636687
1635.53500000	41.02896833
1637.00000000	41.05892807
1639.35000000	41.25786544
1640.33500000	41.76536941
1641.16500000	42.14895958
1642.18000000	42.86364801
1643.64000000	44.03886476
1644.80500000	43.44323540
1645.18000000	43.37022994
1647.68000000	43.87382795
1648.32000000	44.76018329
1648.52000000	45.03765824
1649.41000000	45.38971053
1649.83000000	45.39362587
1650.44000000	44.91765495
1651.42500000	45.03641541
1652.22000000	45.26291390
1653.06000000	44.76057032
1653.26000000	44.47605615
1653.46000000	44.41858061
1654.52000000	44.42689575
1655.58000000	44.74281407
1656.35500000	44.04374158
1657.00000000	43.34317954
1658.37000000	42.67571861
1659.70000000	42.64361639
1662.10000000	41.93703732
1664.89500000	42.78366397
1666.62000000	42.22553113
1668.84000000	40.21854648
1669.76500000	39.55556497
1670.50000000	38.85818007
1671.03000000	38.93537761
1671.46000000	39.40686305
1674.02500000	40.51649170
1676.16000000	40.67137221
1676.71000000	40.64933800
1677.26000000	40.56792901
1677.69500000	38.81464805
1678.84000000	37.31254776
1679.55000000	37.43294575
1680.67000000	36.16223622
1681.76000000	36.48776302
1685.74000000	36.92047623
1686.39500000	37.12485827
1687.05000000	36.54638302
1687.95000000	35.78505275
1689.02000000	35.31952808
1690.87500000	35.58902118
1692.03000000	35.81844361
1692.91000000	35.98502194
1693.42000000	34.72487947
1694.23500000	35.20432954
1695.05000000	35.81281530
1695.94000000	35.82796561
1696.96500000	36.83864246
1697.99000000	39.09478254
1698.72500000	40.60597386
1699.72500000	38.89127617
1699.99000000	38.35405447
1701.38500000	38.46151675
1703.49000000	37.67327459
1704.62000000	38.89866296
1708.11500000	40.15597894
1711.19000000	40.02433732
1714.42000000	40.37945201
1715.10500000	39.96302398
1715.79500000	38.80928675
1716.12000000	38.38165631
1717.61000000	38.94349804
1718.09000000	38.76696278
1718.65000000	38.08290195
1719.13500000	38.19089784
1719.62000000	38.85495782
1719.89500000	36.16666974
1721.54000000	35.31769996
1722.91000000	35.25268239
1723.22000000	35.08316828
1723.93000000	34.88422905
1724.91000000	33.95181584
1726.40000000	34.30542523
1726.93000000	33.98229561
