DEPTH d	VALUE d
1373.32000000	219.65770619
1373.53000000	218.74862380
1374.04000000	211.97365670
1375.60500000	220.23089639
1375.93000000	218.67384482
1376.30000000	217.75908684
1379.74000000	216.90984587
1384.90000000	224.67384668
1387.07500000	230.01094181
1387.29000000	233.86364970
1387.42000000	229.25671709
1388.29000000	224.31144040
1389.16000000	224.84766808
1393.65500000	223.50730768
1399.14000000	204.88047798
1401.86000000	208.03820888
1404.58000000	192.43784240
1408.90500000	191.84438209
1413.23000000	196.81345244
1414.56000000	202.58401779
1415.71000000	199.53004777
1416.29500000	198.91962380
1417.18000000	199.28988338
1417.48000000	195.57090650
1417.88000000	203.38808496
1422.10500000	216.99403925
1426.20000000	214.70907502
1426.36500000	214.04241920
1429.78000000	212.46967195
1433.03000000	216.06075443
1433.67000000	219.73591176
1433.79500000	222.39303366
1434.34500000	223.96317561
1436.90000000	225.21579009
1439.13500000	218.89273628
1439.78000000	259.33763132
1440.32000000	263.79855167
1448.03500000	270.30450665
1456.21500000	277.81219464
1460.40000000	252.09177776
1460.59000000	246.04272986
1460.95000000	246.00871252
1461.31000000	242.36088617
1461.56500000	239.00844639
1463.12500000	228.22111926
1471.58000000	216.72978476
1473.02500000	216.80663515
1474.98000000	215.10014960
1475.49000000	214.85377576
1476.71000000	198.89214328
1477.89000000	192.64994876
1478.13000000	186.58217189
1478.63000000	186.06937699
1478.89000000	186.22413588
1479.43500000	191.31084161
1479.98000000	189.91449602
1480.14000000	181.13489171
1480.30000000	185.40434534
1481.30500000	182.67753220
1481.66000000	181.42963712
1482.67000000	182.73662384
1483.49000000	191.23009303
1483.73000000	194.49418986
1486.51000000	190.77738185
1491.49500000	201.34371036
1497.99500000	219.83188461
1499.51000000	227.53122786
1501.97000000	220.68357850
1504.43000000	244.63677630
1529.86000000	240.56024857
1536.88000000	221.53300639
1537.94000000	191.80621283
1538.09500000	178.53811864
1538.25000000	187.98449406
1538.86500000	177.12652652
1539.48000000	188.37731969
1547.44000000	187.92242792
1556.28500000	220.19185658
1557.34000000	239.05522793
1557.63000000	243.22775016
1557.92000000	246.74093930
1560.09500000	268.34899804
1562.27000000	250.24715199
