DEPTH d	VALUE d
1373.32000000	201.53077559
1373.53000000	199.88788119
1374.04000000	199.28348796
1375.60500000	205.00117314
1375.93000000	203.53251260
1376.30000000	202.14926842
1379.74000000	200.04561060
1384.90000000	206.81027823
1387.07500000	209.96064882
1387.29000000	219.21722917
1387.42000000	215.04440185
1388.29000000	210.23800786
1389.16000000	209.67466140
1393.65500000	209.33182357
1399.14000000	200.20739988
1401.86000000	205.17993423
1404.58000000	175.41301424
1408.90500000	176.59096975
1413.23000000	181.71194835
1414.56000000	185.67960016
1415.71000000	182.33206707
1416.29500000	180.53337924
1417.18000000	182.98135841
1417.48000000	178.44011705
1417.88000000	187.42389886
1422.10500000	205.23202234
1426.20000000	203.33716607
1426.36500000	202.13634897
1429.78000000	201.80128355
1433.03000000	206.53663452
1433.67000000	209.35554370
1433.79500000	205.25201387
1434.34500000	205.93056678
1436.90000000	205.09750861
1439.13500000	194.39087237
1439.78000000	240.41063100
1440.32000000	247.66571383
1448.03500000	255.29023742
1456.21500000	265.88394429
1460.40000000	239.93603857
1460.59000000	233.04946505
1460.95000000	212.14438092
1461.31000000	210.48608288
1461.56500000	209.30791718
1463.12500000	196.16831035
1471.58000000	186.61296598
1473.02500000	188.07110645
1474.98000000	186.62417463
1475.49000000	179.59061674
1476.71000000	166.67460893
1477.89000000	163.12141286
1478.13000000	158.24013458
1478.63000000	159.55233340
1478.89000000	162.40078056
1479.43500000	166.53402723
1479.98000000	164.69515008
1480.14000000	157.00174670
1480.30000000	160.67981512
1481.30500000	157.03150002
1481.66000000	155.52730847
1482.67000000	154.65327826
1483.49000000	170.49663034
1483.73000000	172.80136538
1486.51000000	166.56028565
1491.49500000	178.78951232
1497.99500000	189.36418277
1499.51000000	199.38852264
1501.97000000	189.70634042
1504.43000000	244.63677630
1529.86000000	240.56024857
1536.88000000	212.75511618
1537.94000000	173.47419773
1538.09500000	157.92491483
1538.25000000	167.71667068
1538.86500000	160.00789960
1539.48000000	167.81604312
1547.44000000	161.49019757
1556.28500000	192.06113379
1557.34000000	224.23318052
1557.63000000	219.41889432
1557.92000000	222.45046669
1560.09500000	250.12255590
1562.27000000	219.45878680
1563.20500000	204.10878435
1566.24000000	204.75271417
1568.34000000	187.29444990
1569.95000000	167.95269642
1572.84000000	165.69319397
1575.73000000	168.67226061
1577.04000000	170.63119752
1578.35000000	181.74154519
1579.61500000	181.47143873
1585.01500000	191.03479483
1589.15000000	194.19155309
1590.13000000	189.24437842
1591.15000000	185.45456755
1592.17000000	212.82291944
1595.69000000	232.19700075
1599.87500000	262.67799888
1604.06000000	269.59239223
1604.19500000	285.41933965
1608.64500000	278.94397095
1613.32000000	241.83306092
1613.97500000	228.86923549
1614.49500000	222.51050871
1614.72000000	222.04082837
1615.23500000	219.42668686
1615.75000000	217.85623325
1615.93000000	219.09203213
1616.11000000	218.36132746
1616.52000000	217.32090060
1617.04500000	219.15102094
1617.92500000	216.78154265
1618.77500000	213.56547762
1619.27000000	214.26598850
1619.73000000	214.96914158
1620.66500000	216.46548966
1621.59500000	216.26341123
1622.33000000	217.82789767
1623.64000000	215.42897635
1626.36000000	213.95330651
1627.19000000	215.66498308
1628.38000000	217.27833239
1628.64000000	216.70858876
1629.34000000	217.93222416
1630.35500000	217.37371989
1631.66000000	207.79430625
1632.00000000	208.05266600
1633.12000000	208.69537043
1633.94000000	204.18175027
1634.38000000	201.42908152
1634.76500000	201.15214999
1635.53500000	202.91122172
1637.00000000	203.23130604
1639.35000000	198.29951347
1640.33500000	191.04359584
1641.16500000	189.66333126
1642.18000000	188.52082697
1643.64000000	181.34176547
1644.80500000	174.05246617
1645.18000000	171.46443237
1647.68000000	163.47242244
1648.32000000	152.67218611
1648.52000000	152.28032777
1649.41000000	146.71218993
1649.83000000	143.63502906
1650.44000000	143.47311778
1651.42500000	147.89628220
1652.22000000	145.33691363
1653.06000000	152.41417053
1653.26000000	151.18828557
1653.46000000	148.56915406
1654.52000000	156.79354221
1655.58000000	153.38247774
1656.35500000	162.63113781
1657.00000000	169.59647078
1658.37000000	173.50464540
1659.70000000	176.46137365
1662.10000000	182.43622078
1664.89500000	187.40568664
1666.62000000	190.55860505
1668.84000000	201.19325180
1669.76500000	204.76966002
1670.50000000	220.90776772
1671.03000000	221.30662311
1671.46000000	220.21010740
1674.02500000	206.59465896
1676.16000000	205.40900066
1676.71000000	206.29895788
1677.26000000	207.19189629
1677.69500000	209.59550505
1678.84000000	210.71842614
1679.55000000	209.09650153
1680.67000000	211.55988017
1681.76000000	210.42731662
1685.74000000	203.85967434
1686.39500000	202.31387155
1687.05000000	206.33435100
1687.95000000	209.24652636
1689.02000000	211.32309301
1690.87500000	212.07628387
1692.03000000	209.64237759
1692.91000000	209.83205358
1693.42000000	220.91336239
1694.23500000	215.34763871
1695.05000000	210.51906838
1695.94000000	209.81947890
1696.96500000	203.58425422
1697.99000000	191.47832786
1698.72500000	181.76805706
1699.72500000	172.27801161
1699.99000000	176.40434338
1701.38500000	177.81758981
1703.49000000	186.26430578
1704.62000000	182.19561384
1708.11500000	171.21161104
1711.19000000	176.61169316
1714.42000000	179.20244948
1715.10500000	180.76944154
1715.79500000	184.74715199
1716.12000000	183.95913580
1717.61000000	186.47770945
1718.09000000	183.05346702
1718.65000000	190.46394712
1719.13500000	191.72171417
1719.62000000	191.13144524
1719.89500000	194.59161767
1721.54000000	198.46461106
1722.91000000	199.50597533
1723.22000000	205.42361874
1723.93000000	203.03201912
1724.91000000	204.23437425
1726.40000000	207.13848242
1726.93000000	207.38968910
1728.46000000	207.23163434
1728.99000000	206.95113168
1729.33000000	205.40242194
1729.89000000	206.77739485
1730.45000000	202.39257250
1735.08000000	201.32420350
1735.77500000	208.22507385
1736.47000000	207.64450160
1737.50000000	206.54762556
1738.32000000	207.84334445
1740.53000000	205.23652377
1742.45000000	201.36074864
1742.98000000	200.84317686
1743.78000000	197.44717973
1745.30000000	198.44479898
1747.08500000	197.73820905
1747.35000000	197.63642610
1747.76000000	196.43504922
1748.38000000	194.92999522
1749.09000000	194.19365221
1750.62000000	190.75013010
1751.48000000	191.42207844
1752.39000000	191.07761729
1752.90000000	197.87302058
1754.15000000	199.16856313
1755.23000000	199.75923333
1756.31000000	198.96144939
1757.49000000	193.46316447
1758.65000000	194.41867927
1760.47000000	192.79704908
1761.47000000	193.15565038
1762.52000000	191.51366204
1763.45500000	191.45057497
1764.09500000	191.85018146
1765.89000000	190.85011915
1766.59000000	193.68952819
