DEPTH d	VALUE d
1373.32000000	237.78463679
1373.53000000	237.60936641
1374.04000000	224.66382544
1375.60500000	235.46061965
1375.93000000	233.81517704
1376.30000000	233.36890526
1379.74000000	233.77408114
1384.90000000	242.53741512
1387.07500000	250.06123479
1387.29000000	248.51007024
1387.42000000	243.46903232
1388.29000000	238.38487294
1389.16000000	240.02067476
1393.65500000	237.68279178
1399.14000000	209.55355609
1401.86000000	210.89648353
1404.58000000	209.46267056
1408.90500000	207.09779444
1413.23000000	211.91495653
1414.56000000	219.48843542
1415.71000000	216.72802848
1416.29500000	217.30586835
1417.18000000	215.59840835
1417.48000000	212.70169596
1417.88000000	219.35227107
1422.10500000	228.75605616
1426.20000000	226.08098396
1426.36500000	225.94848943
1429.78000000	223.13806035
1433.03000000	225.58487434
1433.67000000	230.11627982
1433.79500000	239.53405345
1434.34500000	241.99578443
1436.90000000	245.33407157
1439.13500000	243.39460019
1439.78000000	278.26463164
1440.32000000	279.93138952
1448.03500000	285.31877587
1456.21500000	289.74044499
1460.40000000	264.24751694
1460.59000000	259.03599468
1460.95000000	279.87304412
1461.31000000	274.23568946
1461.56500000	268.70897560
1463.12500000	260.27392816
1471.58000000	246.84660354
1473.02500000	245.54216385
1474.98000000	243.57612456
1475.49000000	250.11693478
1476.71000000	231.10967762
1477.89000000	222.17848467
1478.13000000	214.92420920
1478.63000000	212.58642058
1478.89000000	210.04749120
1479.43500000	216.08765599
1479.98000000	215.13384195
1480.14000000	205.26803673
1480.30000000	210.12887555
1481.30500000	208.32356438
1481.66000000	207.33196578
1482.67000000	210.81996943
1483.49000000	211.96355572
1483.73000000	216.18701434
1486.51000000	214.99447804
1491.49500000	223.89790839
1497.99500000	250.29958645
1499.51000000	255.67393308
1501.97000000	251.66081658
1504.43000000	244.63677630
1529.86000000	240.56024857
1536.88000000	230.31089660
1537.94000000	210.13822794
1538.09500000	199.15132245
1538.25000000	208.25231744
1538.86500000	194.24515343
1539.48000000	208.93859625
1547.44000000	214.35465827
1556.28500000	248.32257936
1557.34000000	253.87727534
1557.63000000	267.03660599
1557.92000000	271.03141191
1560.09500000	286.57544018
1562.27000000	281.03551718
1563.20500000	267.86358133
1566.24000000	273.20820826
1568.34000000	264.96386835
1569.95000000	249.62322505
1572.84000000	243.41591292
1575.73000000	235.00425137
1577.04000000	226.64577506
1578.35000000	233.97555469
1579.61500000	229.45558483
1585.01500000	240.42093295
1589.15000000	239.78647817
1590.13000000	244.62353026
1591.15000000	246.58397296
1592.17000000	268.36082587
1595.69000000	278.26827577
1599.87500000	295.21255008
1604.06000000	304.74233984
1604.19500000	312.33802350
1608.64500000	334.04054727
1613.32000000	289.87219514
1613.97500000	272.56753859
1614.49500000	270.15738466
1614.72000000	267.11366365
1615.23500000	262.40653356
1615.75000000	259.04548971
1615.93000000	258.70324157
1616.11000000	256.77059756
1616.52000000	254.89813890
1617.04500000	257.99854470
1617.92500000	254.24875788
1618.77500000	252.09406065
1619.27000000	252.13091953
1619.73000000	251.85509210
1620.66500000	252.05347734
1621.59500000	255.69321373
1622.33000000	255.94651522
1623.64000000	249.34740368
1626.36000000	248.72085535
1627.19000000	249.77170496
1628.38000000	248.71325831
1628.64000000	248.90490066
1629.34000000	249.93646533
1630.35500000	249.79714630
1631.66000000	244.51496847
1632.00000000	244.77665389
1633.12000000	245.10430388
1633.94000000	240.48642483
1634.38000000	237.79743390
1634.76500000	236.90648604
1635.53500000	238.55706856
1637.00000000	238.15742054
1639.35000000	241.44570297
1640.33500000	242.43609328
1641.16500000	239.99948956
1642.18000000	234.58361834
1643.64000000	227.95946074
1644.80500000	234.78200732
1645.18000000	233.98447467
1647.68000000	228.71924757
1648.32000000	218.57134413
1648.52000000	216.74879531
1649.41000000	212.73995011
1649.83000000	210.88901544
1650.44000000	214.07098157
1651.42500000	218.72750651
1652.22000000	217.22237245
1653.06000000	225.64151356
1653.26000000	226.51577895
1653.46000000	225.88370615
1654.52000000	232.77589395
1655.58000000	231.02844414
1656.35500000	234.35720541
1657.00000000	237.26229122
1658.37000000	243.21292641
1659.70000000	243.97364564
1662.10000000	249.04278259
1664.89500000	240.33609310
1666.62000000	241.76693457
1668.84000000	244.29548736
1669.76500000	245.59965326
1670.50000000	231.83649936
1671.03000000	231.75662663
1671.46000000	230.81650738
1674.02500000	237.49063176
1676.16000000	237.44933685
1676.71000000	237.14185550
1677.26000000	239.32022261
1677.69500000	244.31830280
1678.84000000	250.11813430
1679.55000000	249.63102662
1680.67000000	255.75745795
1681.76000000	255.18349679
1685.74000000	262.80968830
1686.39500000	266.20164548
1687.05000000	269.57504599
1687.95000000	276.64275642
1689.02000000	281.02603496
1690.87500000	282.18620406
1692.03000000	279.86241788
1692.91000000	280.55588836
1693.42000000	284.88728000
1694.23500000	277.26745103
1695.05000000	280.62030363
1695.94000000	288.94611505
1696.96500000	285.15977086
1697.99000000	275.34531536
1698.72500000	268.33967318
1699.72500000	260.59417180
1699.99000000	260.64651621
1701.38500000	257.20582612
1703.49000000	258.85088848
1704.62000000	253.67218085
1708.11500000	254.90113560
1711.19000000	255.71591568
1714.42000000	254.91709395
1715.10500000	256.09064135
1715.79500000	258.97310404
1716.12000000	261.00559433
1717.61000000	257.89937923
1718.09000000	262.26937024
1718.65000000	256.83307020
1719.13500000	255.83180410
1719.62000000	253.45692261
1719.89500000	259.01747722
1721.54000000	259.67045149
1722.91000000	259.14660551
1723.22000000	263.05401433
1723.93000000	263.43419643
1724.91000000	265.45886300
1726.40000000	258.28854888
1726.93000000	258.46791963
1728.46000000	259.93014567
1728.99000000	261.12858693
1729.33000000	260.18788385
1729.89000000	259.82890009
1730.45000000	265.10525231
1735.08000000	265.49270376
1735.77500000	258.52794099
1736.47000000	259.45908400
1737.50000000	258.86262222
1738.32000000	259.59582281
1740.53000000	251.81910152
1742.45000000	249.29779375
1742.98000000	248.85536133
