DEPTH d	VALUE d
1373.32000000	0.00504809
1373.53000000	0.01463977
1374.04000000	0.00090952
1375.60500000	0.00418825
1375.93000000	0.00101092
1376.30000000	0.00013522
1379.74000000	0.00057172
1384.90000000	0.00056777
1387.07500000	0.02619788
1387.29000000	0.00280335
1387.42000000	0.00195050
1388.29000000	0.00192296
1389.16000000	0.00003348
1393.65500000	0.00050955
1399.14000000	0.00205444
1401.86000000	0.00373597
1404.58000000	0.00134715
1408.90500000	0.00002512
1413.23000000	0.00008528
1414.56000000	0.00285107
1415.71000000	0.00711172
1416.29500000	0.00648098
1417.18000000	0.00816420
1417.48000000	0.00897792
1417.88000000	0.00007630
1422.10500000	0.00107478
1426.20000000	0.00657208
1426.36500000	0.00076429
1429.78000000	0.00016943
1433.03000000	0.00450297
1433.67000000	0.02371675
1433.79500000	0.00685611
1434.34500000	0.00213960
1436.90000000	0.00072945
1439.13500000	0.01797637
1439.78000000	0.03480839
1440.32000000	0.00033887
1448.03500000	0.00157472
1456.21500000	0.00414416
1460.40000000	0.06030455
1460.59000000	0.02295322
1460.95000000	0.00746000
1461.31000000	0.01199407
1461.56500000	0.00589313
1463.12500000	0.00059003
1471.58000000	0.00166551
1473.02500000	0.00230318
1474.98000000	0.00480065
1475.49000000	0.00687658
1476.71000000	0.00053333
1477.89000000	0.00136727
1478.13000000	0.00544165
1478.63000000	0.00490586
1478.89000000	0.00058001
1479.43500000	0.00143894
1479.98000000	0.01684320
1480.14000000	0.00066851
1480.30000000	0.00035242
1481.30500000	0.00282127
1481.66000000	0.00277811
1482.67000000	0.00406049
1483.49000000	0.01364669
1483.73000000	0.00099271
1486.51000000	0.00066618
1491.49500000	0.00073758
1497.99500000	0.00113575
1499.51000000	0.00183452
1501.97000000	0.00646674
1504.43000000	0.00080215
1529.86000000	0.00033692
1536.88000000	0.01313845
1537.94000000	0.02178557
1538.09500000	0.02388911
1538.25000000	0.00456633
1538.86500000	0.00499529
1539.48000000	0.00124552
1547.44000000	0.00052640
1556.28500000	0.00938044
1557.34000000	0.02666027
1557.63000000	0.01463733
1557.92000000	0.00251857
1560.09500000	0.00262254
