DEPTH d	VALUE d
1384.71500000	56.95230351
1385.66000000	53.09386808
1385.82500000	53.99459212
1386.88500000	55.66451960
1387.78000000	56.09059784
1388.35000000	56.42922421
1394.11000000	56.87169315
1395.03000000	59.27282025
1398.87500000	65.06980378
1402.72000000	65.86059784
1402.97000000	65.47271270
1404.23000000	64.36978947
1405.24000000	65.34896483
1410.91500000	64.25035417
1416.59000000	65.14740867
1418.20000000	65.47574529
1419.81000000	65.68200404
1424.12500000	64.11910929
1428.44000000	64.75239653
1429.07500000	64.39829632
1429.71000000	63.56697261
1430.26000000	64.41829602
1446.32500000	65.89799635
1446.49000000	66.00810881
1446.59000000	66.69806556
1446.87500000	66.91835256
1447.06000000	67.67970950
1447.25500000	67.00707601
1447.45000000	66.59865818
1449.42000000	66.35320736
1455.49000000	65.73863359
1458.58000000	65.54769019
1461.67000000	65.20541629
1461.90500000	64.87818791
1462.14000000	64.93335293
1466.31000000	64.95667059
1470.48000000	64.23456161
1485.74500000	62.29644457
1486.57500000	62.72650336
1487.27000000	62.57524085
1488.01500000	62.17286395
1489.25500000	62.35026327
1490.32000000	61.92669517
1490.46000000	61.82236615
1516.60000000	71.33220534
1600.68000000	65.14775854
1661.96000000	68.70128518
1662.86000000	66.63047684
1665.58000000	66.68688563
1665.80500000	66.35863851
1666.03000000	66.82494243
1675.34500000	67.00304348
1684.66000000	67.55891941
