DEPTH d	VALUE d
1384.71500000	70.09694578
1385.66000000	58.84524987
1385.82500000	60.76886118
1386.88500000	63.11996630
1387.78000000	63.29516887
1388.35000000	63.84458177
1394.11000000	64.82323960
1395.03000000	67.60336065
1398.87500000	67.46343262
1402.72000000	67.90951281
1402.97000000	67.49884190
1404.23000000	66.04642236
1405.24000000	70.06679100
1410.91500000	69.00065335
1416.59000000	70.00836360
1418.20000000	70.97392454
1419.81000000	72.29522091
1424.12500000	70.10329769
1428.44000000	69.95209356
1429.07500000	69.18487803
1429.71000000	65.72541746
1430.26000000	66.39507050
1446.32500000	68.10539079
1446.49000000	68.07597016
1446.59000000	68.39020977
1446.87500000	69.06002430
1447.06000000	69.43817430
1447.25500000	69.06640662
1447.45000000	68.74729188
1449.42000000	68.40523070
1455.49000000	67.92340418
1458.58000000	67.92917649
1461.67000000	66.07352452
1461.90500000	65.83772634
1462.14000000	65.98299958
1466.31000000	66.15377283
1470.48000000	64.23456161
1485.74500000	63.31633923
1486.57500000	63.77905380
1487.27000000	63.60324864
1488.01500000	63.11579772
1489.25500000	63.38023277
1490.32000000	62.39680336
1490.46000000	62.39025351
1516.60000000	74.91097273
1600.68000000	65.14775854
1661.96000000	68.70128518
1662.86000000	68.01101569
1665.58000000	67.75303928
1665.80500000	67.09394538
1666.03000000	67.41424019
1675.34500000	67.52685989
1684.66000000	67.55891941
