DEPTH d	VALUE d
1366.75000000	0.00130343
1372.58000000	0.01246354
1378.41000000	0.00027386
1401.09000000	0.12690271
1401.62000000	0.00100079
1425.32000000	0.00085232
1435.91000000	0.10722936
1436.09500000	0.08397200
1436.51000000	0.05362039
1436.74000000	0.00951358
1437.13000000	0.00277509
1437.52000000	0.00253590
1437.78500000	0.01805108
1438.40000000	0.01618767
1439.87500000	0.00369395
1441.22500000	0.00954599
1442.81000000	0.01194634
1444.17000000	0.00198675
1450.66000000	0.00071707
1457.15000000	0.00352611
1460.24000000	0.00055881
1463.51000000	0.02998998
1463.69000000	0.00305441
1493.33000000	0.01220731
1497.00000000	0.00744015
1500.02000000	0.02119847
1500.33000000	0.03962484
1500.47000000	0.02263284
1500.61000000	0.03235449
1500.78500000	0.00252829
1501.33000000	0.00087405
1502.79000000	0.00520800
1503.88000000	0.00968368
1504.65000000	0.00127019
1505.58000000	0.00357250
1505.97000000	0.01265313
1506.36500000	0.00702927
1506.76000000	0.04491270
1507.00000000	0.00354262
1512.22500000	0.00218269
1527.38000000	0.00644383
1528.22500000	0.00606324
1529.07000000	0.01009742
1529.70000000	0.00289016
1530.33000000	0.01318427
1530.96500000	0.02247990
1531.60000000	0.00166040
1541.09000000	0.00733412
1541.42500000	0.01081340
1542.44000000	0.02336577
1542.62000000	0.07659093
1542.80000000	0.00360710
1545.66000000	0.00052416
1548.52000000	0.00415213
1548.79500000	0.00061036
1552.91000000	0.00271484
1553.40000000	0.00257269
1553.89000000	0.00036118
1555.15500000	0.00414368
1555.79000000	0.02955292
1555.93500000	0.03074474
1556.08000000	0.00240846
1559.27500000	0.00148337
1561.78000000	0.00066840
1562.94000000	0.00361531
1563.40000000	0.00041364
1568.03500000	0.00440149
1568.87000000	0.00069968
1570.96000000	0.01771769
1571.46500000	0.01544439
1571.97000000	0.01524382
1572.72500000	0.02473244
1573.84500000	0.00534009
1574.21000000	0.00067487
1589.85500000	0.03050667
1590.58000000	0.02710710
1591.17500000	0.01991515
1591.42000000	0.00529438
1592.19500000	0.00585368
1592.97000000	0.00766558
1593.40500000	0.00401879
1593.84000000	0.00444642
1594.27500000	0.00160723
1594.71000000	0.00900409
1595.66000000	0.01091641
1596.61000000	0.00102457
1600.51500000	0.00451034
1601.30000000	0.01327080
1601.64500000	0.01351402
1601.99000000	0.01947450
1602.29000000	0.01764370
1602.59000000	0.00313098
1603.98000000	0.00539327
1605.37000000	0.00486381
1607.40000000	0.00059210
1609.43000000	0.00494152
1612.67000000	0.00187659
1620.43000000	0.01236230
1624.95000000	0.00043301
1636.94000000	0.00139868
1637.71000000	0.00371398
1638.48000000	0.00591657
1642.30000000	0.00092505
1646.12000000	0.02538637
1646.47500000	0.01516922
1646.83000000	0.00071589
1657.99000000	0.00894027
1658.53000000	0.03446187
1659.07000000	0.01095727
1659.56500000	0.00164272
1661.69500000	0.00267645
1663.51000000	0.01499322
1663.69000000	0.00083105
1664.98000000	0.00256182
1666.43000000	0.00387355
1670.84000000	0.00154799
1675.25000000	0.00592562
1677.12500000	0.00442631
1682.72000000	0.00048909
1686.44000000	0.00319892
1687.72000000	0.00258919
1690.05500000	0.00134770
1691.11000000	0.00074686
1692.96000000	0.00019426
1694.81000000	0.00013407
1695.98500000	0.00386581
1697.16000000	0.00196534
1697.72500000	0.00387280
1698.29000000	0.00041000
1705.80500000	0.00451318
1716.95000000	0.00118949
1721.23500000	0.00297372
1725.52000000	0.00414610
1734.41500000	0.00092396
1737.06000000	0.00178279
1739.43500000	0.00530289
1745.87000000	0.00072487
1749.93000000	0.04827320
1750.07500000	0.00150813
1750.22000000	0.05234455
1750.35000000	0.12130896
1750.48000000	0.00779497
1752.76500000	0.00379416
1758.79500000	0.00380348
1762.54000000	0.00020978
1777.33000000	0.00740873
1783.11000000	0.03537247
1783.35500000	0.05183649
1783.60000000	0.00217314
1784.30000000	0.00383992
1785.00000000	0.00273464
1787.42500000	0.00226763
1789.85000000	0.00344844
1791.69000000	0.00181554
1793.53000000	0.00785662
1794.45000000	0.00091043
1797.17000000	0.00528467
1798.97000000	0.00625124
1799.40500000	0.00941711
1799.84000000	0.00023318
1804.21000000	0.00196905
