DEPTH d	VALUE d
1366.75000000	262.12523591
1372.58000000	264.44445020
1378.41000000	274.50847455
1401.09000000	235.69524785
1401.62000000	252.52958207
1425.32000000	250.08354101
1435.91000000	248.10510901
1436.09500000	247.35832005
1436.51000000	245.26240758
1436.74000000	244.31178518
1437.13000000	243.69852612
1437.52000000	242.89289185
1437.78500000	242.72386687
1438.40000000	240.17444191
1439.87500000	237.75281319
1441.22500000	240.23475577
1442.81000000	241.97958150
1444.17000000	243.32923977
1450.66000000	244.88723229
1457.15000000	248.65375340
1460.24000000	248.12043566
1463.51000000	248.97697871
1463.69000000	245.74841069
1493.33000000	258.16922315
1497.00000000	253.89227358
1500.02000000	248.27243130
1500.33000000	245.72213810
1500.47000000	245.04194128
1500.61000000	244.31447959
1500.78500000	243.57763454
1501.33000000	242.48246575
1502.79000000	241.31321339
1503.88000000	238.37139548
1504.65000000	239.89823638
1505.58000000	239.70373564
1505.97000000	239.68142081
1506.36500000	239.43186714
1506.76000000	239.51455469
1507.00000000	239.94397243
1512.22500000	241.39502940
1527.38000000	248.45514111
1528.22500000	246.83954717
1529.07000000	245.24126939
1529.70000000	244.10428687
1530.33000000	239.64233406
1530.96500000	244.50874038
1531.60000000	245.88848712
1541.09000000	245.57543765
1541.42500000	246.25191663
1542.44000000	247.43803468
1542.62000000	248.22064444
1542.80000000	248.92110096
1545.66000000	248.77508237
1548.52000000	248.28807319
1548.79500000	251.27255927
1552.91000000	256.11810438
1553.40000000	257.01294786
1553.89000000	257.20101333
1555.15500000	256.22402580
1555.79000000	257.20965050
1555.93500000	256.94804431
1556.08000000	256.89249853
1559.27500000	256.92756928
1561.78000000	258.48232464
1562.94000000	259.29177675
1563.40000000	258.75561050
1568.03500000	256.28814847
1568.87000000	255.20891859
1570.96000000	256.93684637
1571.46500000	257.90193965
1571.97000000	258.53390134
1572.72500000	258.94548976
1573.84500000	259.21909883
1574.21000000	257.57534372
1589.85500000	254.27983752
1590.58000000	249.56981559
1591.17500000	243.35774821
1591.42000000	243.20486717
1592.19500000	243.09369984
1592.97000000	242.76654060
1593.40500000	244.01556241
1593.84000000	245.06704696
1594.27500000	245.50628087
1594.71000000	246.18842440
1595.66000000	246.50041908
1596.61000000	246.95706356
1600.51500000	247.28870788
1601.30000000	247.72325901
1601.64500000	248.27295718
1601.99000000	248.92054249
1602.29000000	249.65909101
1602.59000000	249.70432064
1603.98000000	250.46108767
1605.37000000	250.62217013
1607.40000000	250.60121702
1609.43000000	250.26864309
1612.67000000	250.80314436
1620.43000000	255.46142052
1624.95000000	258.90689487
1636.94000000	252.87790032
1637.71000000	248.45379989
1638.48000000	235.24612570
1642.30000000	235.79091873
1646.12000000	235.60974917
1646.47500000	235.68273523
1646.83000000	235.46388863
1657.99000000	235.40774088
1658.53000000	235.23772590
1659.07000000	235.40947374
1659.56500000	235.42095541
1661.69500000	235.55963069
1663.51000000	238.14797880
1663.69000000	238.03038774
1664.98000000	238.38509456
1666.43000000	238.95946012
1670.84000000	239.34856402
1675.25000000	240.02814994
1677.12500000	240.72488937
1682.72000000	236.71616369
1686.44000000	236.88914216
1687.72000000	236.86497206
1690.05500000	236.90118676
1691.11000000	236.78145173
1692.96000000	236.69810730
1694.81000000	236.78557601
1695.98500000	236.65788701
1697.16000000	236.42728819
1697.72500000	236.26327002
1698.29000000	236.20006326
1705.80500000	235.88106230
1716.95000000	236.36354777
1721.23500000	236.13757070
1725.52000000	236.05181843
1734.41500000	235.68841509
1737.06000000	236.62689883
1739.43500000	236.63073819
1745.87000000	235.72643779
1749.93000000	236.29572723
1750.07500000	236.49665984
1750.22000000	237.28669180
1750.35000000	237.58879075
1750.48000000	237.22665562
1752.76500000	236.92526382
1758.79500000	238.18591514
1762.54000000	235.04975322
1777.33000000	235.20809708
1783.11000000	235.93716089
1783.35500000	236.05168984
1783.60000000	235.95286318
1784.30000000	236.08776186
1785.00000000	236.73118127
1787.42500000	236.51509389
1789.85000000	236.65834320
1791.69000000	236.43056069
1793.53000000	236.74208531
1794.45000000	236.77041055
1797.17000000	236.89160514
1798.97000000	237.04252523
1799.40500000	236.71359940
1799.84000000	236.68767561
1804.21000000	236.28644430
