DEPTH d	VALUE d
1366.75000000	9.03209601
1372.58000000	9.78489585
1378.41000000	12.61677169
1401.09000000	15.07639087
1401.62000000	7.71700601
1425.32000000	9.65068875
1435.91000000	9.91078803
1436.09500000	9.52584090
1436.51000000	8.17744492
1436.74000000	7.65575789
1437.13000000	7.75866889
1437.52000000	7.66753004
1437.78500000	7.78158948
1438.40000000	7.32953949
1439.87500000	6.06975114
1441.22500000	5.78886135
1442.81000000	6.57944357
1444.17000000	7.07484167
1450.66000000	6.86851040
1457.15000000	6.98150864
1460.24000000	6.92161146
1463.51000000	6.92206091
1463.69000000	4.56156963
1493.33000000	9.73874507
1497.00000000	8.44649631
1500.02000000	6.96798359
1500.33000000	6.51831837
1500.47000000	6.20753455
1500.61000000	6.31410330
1500.78500000	6.04333795
1501.33000000	5.86602249
1502.79000000	6.30674307
1503.88000000	5.96240267
1504.65000000	6.48779035
1505.58000000	6.62871490
1505.97000000	6.77622661
1506.36500000	7.07909646
1506.76000000	7.11041399
1507.00000000	7.68247087
1512.22500000	9.01648894
1527.38000000	9.08265833
1528.22500000	9.27598651
1529.07000000	9.03381670
1529.70000000	9.43839163
1530.33000000	9.39038708
1530.96500000	9.05356223
1531.60000000	8.53865658
1541.09000000	8.38139305
1541.42500000	8.42099833
1542.44000000	7.83985310
1542.62000000	7.83539775
1542.80000000	7.32070858
1545.66000000	7.54337734
1548.52000000	7.41520633
1548.79500000	7.32973844
1552.91000000	7.09328260
1553.40000000	7.09080336
1553.89000000	7.07727174
1555.15500000	7.06534072
1555.79000000	7.13401004
1555.93500000	6.92623911
1556.08000000	7.19956711
1559.27500000	6.78057824
1561.78000000	6.44901150
1562.94000000	6.45116429
1563.40000000	6.41029030
1568.03500000	6.31275523
1568.87000000	6.10514087
1570.96000000	6.39454030
1571.46500000	6.77072107
1571.97000000	7.14954208
1572.72500000	6.37339835
1573.84500000	7.80148395
1574.21000000	7.80702421
1589.85500000	7.37589585
1590.58000000	6.21097362
1591.17500000	5.48649332
1591.42000000	5.16491933
1592.19500000	5.29910523
1592.97000000	5.04083781
1593.40500000	4.83001905
1593.84000000	4.86381901
1594.27500000	4.71081406
1594.71000000	4.69872884
1595.66000000	3.99530682
1596.61000000	4.93334752
1600.51500000	4.71671983
1601.30000000	4.94699107
1601.64500000	5.22220369
1601.99000000	5.52078767
1602.29000000	5.86979770
1602.59000000	5.52318880
1603.98000000	5.35707068
1605.37000000	5.79173866
1607.40000000	6.38080916
1609.43000000	6.67171544
1612.67000000	7.62466063
1620.43000000	7.05000967
1624.95000000	1.86742140
1636.94000000	1.61172896
1637.71000000	1.49222828
1638.48000000	1.15673119
1642.30000000	3.18375113
1646.12000000	3.29207115
1646.47500000	3.74249040
1646.83000000	4.01329439
1657.99000000	4.13644012
1658.53000000	3.92963379
1659.07000000	5.65489598
1659.56500000	5.33585920
1661.69500000	5.55898141
1663.51000000	5.95731402
1663.69000000	5.75551395
1664.98000000	5.91279670
1666.43000000	6.25105846
1670.84000000	5.24535345
1675.25000000	5.75402329
1677.12500000	5.61066369
1682.72000000	2.73307573
1686.44000000	2.81814876
1687.72000000	2.64055346
1690.05500000	2.25908150
1691.11000000	2.14437449
1692.96000000	2.06599956
1694.81000000	2.12578118
1695.98500000	2.09368307
1697.16000000	1.69951288
1697.72500000	1.72175226
1698.29000000	1.61767055
1705.80500000	1.28644565
1716.95000000	5.99397810
1721.23500000	5.53809386
1725.52000000	6.30644693
1734.41500000	2.63235071
1737.06000000	2.53280401
1739.43500000	2.64790568
1745.87000000	5.53938417
1749.93000000	5.55279637
1750.07500000	5.90845952
1750.22000000	5.78814908
1750.35000000	6.10770512
1750.48000000	6.66405544
1752.76500000	6.23560225
1758.79500000	4.92469786
1762.54000000	1.25803726
1777.33000000	1.49116539
1783.11000000	4.73442889
1783.35500000	4.13481716
1783.60000000	4.88292604
1784.30000000	4.69961499
1785.00000000	4.49366660
1787.42500000	4.15500440
1789.85000000	4.40924992
1791.69000000	4.11380869
1793.53000000	3.90669758
1794.45000000	3.43894029
1797.17000000	3.56162844
1798.97000000	2.84023914
1799.40500000	2.65992352
1799.84000000	2.45395413
1804.21000000	2.45187669
