DEPTH d	VALUE d
1366.75000000	19.47411555
1372.58000000	21.32026465
1378.41000000	29.76530543
1401.09000000	9.70437797
1401.62000000	11.46973015
1425.32000000	11.62394773
1435.91000000	11.51355720
1436.09500000	11.27411729
1436.51000000	9.29381706
1436.74000000	8.68893198
1437.13000000	8.77990958
1437.52000000	8.84661078
1437.78500000	8.88543065
1438.40000000	8.54029773
1439.87500000	7.80370338
1441.22500000	7.25793800
1442.81000000	7.65793358
1444.17000000	8.16895250
1450.66000000	7.78883016
1457.15000000	7.72337097
1460.24000000	7.86828225
1463.51000000	7.91514777
1463.69000000	6.54097547
1493.33000000	15.75100724
1497.00000000	12.44616492
1500.02000000	8.90591008
1500.33000000	7.85559997
1500.47000000	7.41283949
1500.61000000	7.24260170
1500.78500000	6.77703670
1501.33000000	6.50016752
1502.79000000	7.40195231
1503.88000000	7.23198930
1504.65000000	7.53515778
1505.58000000	7.82216476
1505.97000000	8.10100454
1506.36500000	8.49358906
1506.76000000	8.71625016
1507.00000000	9.27709748
1512.22500000	10.54012987
1527.38000000	10.59326595
1528.22500000	10.31110264
1529.07000000	10.21033481
1529.70000000	10.91517627
1530.33000000	10.99161237
1530.96500000	10.13619031
1531.60000000	9.48661035
1541.09000000	8.79249797
1541.42500000	8.87894408
1542.44000000	8.92744136
1542.62000000	8.91164823
1542.80000000	8.49247504
1545.66000000	8.85456118
1548.52000000	9.50777612
1548.79500000	12.11267990
1552.91000000	16.00241440
1553.40000000	16.64176470
1553.89000000	17.01119451
1555.15500000	16.34632199
1555.79000000	16.85718989
1555.93500000	16.20948010
1556.08000000	16.03775913
1559.27500000	15.55931605
1561.78000000	15.70494538
1562.94000000	15.88372439
1563.40000000	15.21612341
1568.03500000	12.57291868
1568.87000000	11.52619332
1570.96000000	12.62685444
1571.46500000	13.13231890
1571.97000000	13.45593658
1572.72500000	13.80028423
1573.84500000	14.41243947
1574.21000000	13.22835214
1589.85500000	11.20156421
1590.58000000	8.17271628
1591.17500000	5.56641649
1591.42000000	5.59221561
1592.19500000	6.17981268
1592.97000000	5.68937981
1593.40500000	5.59623981
1593.84000000	5.83801278
1594.27500000	5.81862924
1594.71000000	6.02532293
1595.66000000	5.73922571
1596.61000000	8.27678897
1600.51500000	8.73470179
1601.30000000	9.16221015
1601.64500000	9.66505933
1601.99000000	10.21962385
1602.29000000	10.69306149
1602.59000000	10.66540002
1603.98000000	10.89244506
1605.37000000	12.93176576
1607.40000000	13.85443715
1609.43000000	14.79123654
1612.67000000	17.01484415
1620.43000000	17.77173486
1624.95000000	15.43833761
1636.94000000	9.09825391
1637.71000000	6.14703839
1638.48000000	4.43493345
1642.30000000	4.09595112
1646.12000000	4.26082824
1646.47500000	4.24692348
1646.83000000	4.50643075
1657.99000000	4.60662581
1658.53000000	4.70538390
1659.07000000	5.24855811
1659.56500000	5.09948303
1661.69500000	5.09192162
1663.51000000	4.39411501
1663.69000000	4.29777461
1664.98000000	4.15771473
1666.43000000	3.89086002
1670.84000000	2.97624316
1675.25000000	2.73544866
1677.12500000	2.30796697
1682.72000000	3.36742376
1686.44000000	3.25308933
1687.72000000	3.29605446
1690.05500000	3.37276601
1691.11000000	3.59103440
1692.96000000	3.67214255
1694.81000000	3.61499380
1695.98500000	3.70699024
1697.16000000	3.85031294
1697.72500000	3.94953106
1698.29000000	4.00283113
1705.80500000	4.07714948
1716.95000000	5.80196073
1721.23500000	5.66290336
1725.52000000	6.11630716
1734.41500000	4.23570822
1737.06000000	3.96203514
1739.43500000	4.06059689
1745.87000000	5.75977613
1749.93000000	5.42061538
1750.07500000	5.58098550
1750.22000000	5.13739569
1750.35000000	5.28717528
1750.48000000	6.15103609
1752.76500000	5.58115220
1758.79500000	3.15353347
1762.54000000	4.52588917
1777.33000000	4.45849049
1783.11000000	4.09492772
1783.35500000	3.93446819
1783.60000000	4.20352266
1784.30000000	4.09458868
1785.00000000	3.91840246
1787.42500000	4.19488955
1789.85000000	4.19413548
1791.69000000	4.34272801
1793.53000000	4.13178767
1794.45000000	4.16294455
1797.17000000	4.09168580
1798.97000000	4.03617531
1799.40500000	4.48334709
1799.84000000	4.65274822
1804.21000000	4.73544008
