DEPTH d	VALUE d
1374.22500000	35.46296087
1378.74000000	26.91000000
1401.98000000	29.01294570
1404.99500000	26.13270534
1408.01000000	26.09446939
1408.47500000	26.61034891
1409.70000000	28.70918198
1410.46000000	42.93000000
1435.40000000	33.20000000
1442.87000000	32.54161631
1443.15000000	31.81782882
1443.42000000	32.01480731
1443.69000000	32.40518825
1444.45000000	32.43169834
1445.40500000	32.37465046
1445.60000000	36.28000000
1502.66000000	21.97000000
1503.36000000	21.97029904
1505.81500000	23.17161567
1511.86500000	23.25611299
1515.56000000	24.56345450
1516.58500000	24.78757564
1517.70000000	25.93533561
1518.17500000	26.67073420
1518.56000000	26.92005730
1518.97000000	26.63776603
1519.38000000	25.81554700
1519.93500000	25.20594606
1520.49000000	25.34425695
1523.55000000	25.69280372
1524.56000000	25.20587789
1526.52000000	25.07931257
1528.48000000	24.82319577
1529.72000000	24.14619677
1530.96000000	23.71499998
1531.42000000	22.58995926
1531.88000000	27.66000000
1553.16000000	23.26000000
1555.00000000	24.25641440
1555.77000000	24.81550282
1564.43000000	26.72373282
1572.32000000	26.77000000
1590.01000000	27.45000000
1610.48000000	21.72000000
1637.66000000	30.95000000
1739.42000000	21.76000000
