DEPTH d	VALUE d
1374.22500000	0.05842184
1378.74000000	0.02524334
1401.98000000	0.00499000
1404.99500000	0.00227795
1408.01000000	0.20566729
1408.47500000	0.08908325
1409.70000000	0.14025521
1410.46000000	0.01386904
1435.40000000	0.00143533
1442.87000000	0.10111184
1443.15000000	0.03032274
1443.42000000	0.07665369
1443.69000000	0.00450006
1444.45000000	0.00138868
1445.40500000	0.29239020
1445.60000000	0.00955969
1502.66000000	0.05595229
1503.36000000	0.04180211
1505.81500000	0.00405178
1511.86500000	0.01271974
1515.56000000	0.00998302
1516.58500000	0.02010233
1517.70000000	0.07928607
1518.17500000	0.02553300
1518.56000000	0.02309198
1518.97000000	0.07556782
1519.38000000	0.03544744
1519.93500000	0.00212066
1520.49000000	0.00443678
1523.55000000	0.01615933
1524.56000000	0.00101734
1526.52000000	0.00279220
1528.48000000	0.02167785
1529.72000000	0.01141293
1530.96000000	0.15847969
1531.42000000	0.11109475
1531.88000000	0.00990728
1553.16000000	0.18535474
1555.00000000	0.15853916
1555.77000000	0.00925260
1564.43000000	0.00917622
1572.32000000	0.00223731
1590.01000000	0.01238491
1610.48000000	0.01231622
1637.66000000	0.00257530
1739.42000000	0.00632399
