DEPTH d	VALUE d
1371.91000000	277.76121544
1377.58000000	274.48829138
1380.43000000	280.33871898
1383.28000000	274.79974226
1384.86000000	273.80339428
1387.07000000	266.21849106
1388.72000000	258.15937514
1391.51000000	256.22693598
1392.62000000	254.72296561
1392.78000000	249.05633476
1394.21500000	248.79114268
1395.93000000	241.35666994
1396.08500000	245.12684357
1396.24000000	245.62748499
1396.50000000	245.53722262
1396.70000000	241.06547277
1396.90000000	243.29224917
1402.23000000	248.48840161
1403.43500000	243.10778567
1403.70000000	247.06593577
1404.69500000	256.25385561
1406.08000000	255.94482533
1412.47500000	257.49812227
1412.95000000	258.76860506
1413.59000000	270.11521623
1413.93000000	267.41153503
1414.34500000	270.17004713
1414.55500000	268.54263507
1422.75000000	258.08501757
1430.29000000	266.61994631
1430.63000000	261.68807948
1431.67000000	247.27778960
1431.83500000	248.68492981
1432.00000000	247.13124580
1432.78000000	247.21002574
1434.26000000	264.49694245
1444.12000000	280.52995552
1445.66000000	274.88977870
1446.41000000	276.89619653
1447.45000000	276.03424176
1447.58000000	278.26222326
1447.86000000	280.03137544
1448.29000000	276.64294714
1449.91000000	273.51434934
1450.72500000	278.51171324
1451.43500000	274.62898707
1455.98000000	266.54651805
1459.43500000	268.79662046
1462.90000000	266.57446373
1464.16000000	264.62642439
1465.36000000	263.37927928
1465.64500000	261.61688544
1468.61000000	266.52361568
1469.26500000	268.30952584
1469.92000000	266.77655663
1474.81000000	269.31665015
1475.16000000	260.25942859
1475.32000000	259.78139243
1475.48000000	261.67226352
1476.85500000	262.98003054
1478.23000000	260.04947936
1487.74000000	266.70776673
1494.07000000	265.71074892
1494.38500000	268.22929367
1494.70000000	271.69376779
1495.18500000	261.91281913
1504.02000000	274.07097406
1507.44000000	266.24046485
1510.64000000	263.45876123
1513.84000000	260.26414151
1514.83000000	257.73399840
1517.74000000	266.18951920
1518.87000000	264.28465855
1520.16000000	253.63457631
1524.19000000	247.79698526
1525.21000000	244.61542110
1526.23000000	246.42318706
1533.85000000	243.53647213
1533.99000000	246.00699363
1536.97500000	236.00816911
1540.10000000	244.19209000
1540.38500000	248.47201577
1549.33000000	256.19428754
1550.06500000	258.16467763
1550.80000000	259.88636550
1553.48000000	259.05479993
1555.39000000	257.71700159
1560.64000000	258.01669309
1563.06000000	254.21459913
1563.63000000	256.47688043
1563.98000000	254.89640020
1564.33000000	255.97185642
1564.83000000	256.66695740
1565.04000000	258.47385055
1565.76000000	255.99543443
1566.31500000	254.68662771
1568.33000000	254.90685674
1570.95500000	255.01539950
1572.59000000	254.26818932
1573.24000000	257.76142332
1573.85500000	254.72934549
1574.08000000	244.70907641
1575.28000000	236.77778005
1583.54000000	234.82634370
1589.56000000	232.34435307
1591.56500000	222.65859508
1597.96000000	227.97669325
1598.18500000	233.50768663
1598.36000000	230.05649000
1598.90000000	233.58028387
1599.89000000	238.06684873
1600.34000000	238.70356426
1605.81000000	243.88061947
1606.70000000	241.67762780
1609.81500000	253.27816947
1612.20000000	258.81612335
1616.01500000	244.41947335
1619.71000000	260.52700854
1622.86000000	272.61487460
1627.64500000	288.91003980
1633.25000000	253.84990141
1637.22000000	236.38407741
1637.52000000	234.51255579
1640.61000000	222.27566583
1643.40000000	228.24492441
1644.46000000	217.43453547
1645.64000000	194.55076078
1664.38000000	208.37879426
1664.58000000	223.33925735
1674.12500000	229.76524767
1683.67000000	241.37356574
1686.83000000	205.32168085
1690.76000000	193.55062560
1694.69000000	195.66541602
1695.60000000	183.58035604
1696.51000000	186.61835749
1704.89000000	217.10152657
1713.27000000	285.03459956
1717.23000000	258.69117451
1721.49500000	234.57016849
1725.76000000	212.28129344
1730.53000000	232.29219464
1736.64500000	224.89915882
1737.99000000	219.66965041
1762.91000000	268.56621642
1763.36000000	276.01585787
