DEPTH d	VALUE d
1376.22000000	254.88918415
1376.79000000	258.90607495
1379.91000000	261.68668651
1383.66500000	266.62224851
1384.30000000	256.11928731
1386.48000000	264.24186151
1391.02500000	265.75268295
1395.70000000	266.83883031
1399.74000000	276.20364106
1403.61000000	278.57964672
1403.82000000	278.47285471
1408.20000000	281.57856847
1410.98000000	277.74608668
1413.76000000	282.29472188
1415.33000000	291.11614325
1417.23000000	276.12262592
1417.61500000	263.81549673
1418.00000000	268.04730265
1421.90000000	276.08697178
1426.50000000	268.61009811
1428.47500000	266.71845593
1430.56000000	264.49871468
1431.71000000	263.04483437
1431.93000000	263.56136145
1432.20000000	260.45995594
1433.66500000	255.06745298
1434.13000000	257.95420752
1436.23000000	254.66376007
1441.15000000	253.67164591
1444.86500000	251.67027183
1445.24000000	248.77787178
1445.41000000	242.76005921
1447.44000000	242.01961903
1447.87500000	242.58616419
1448.35000000	243.10020794
1448.46500000	240.32136017
1448.64000000	238.60097235
1448.77000000	240.54505460
1449.47000000	242.19625717
1449.90000000	241.95285049
1459.61000000	240.34098266
1465.98500000	242.21750418
1469.52000000	245.89975182
1469.77000000	246.01865633
1471.06000000	244.05560705
1471.20000000	245.36598947
1471.34000000	245.75368296
1473.01000000	244.51117651
1474.91000000	263.69844969
1478.08000000	262.38063555
1485.06000000	263.77248534
1489.73500000	277.51954242
1490.37000000	309.66674833
1504.26000000	256.10097613
1508.53500000	276.97876313
1512.81000000	276.81225251
1514.00000000	274.04926645
1515.19000000	271.05213937
1515.75000000	266.45353014
1517.11000000	269.60706623
1519.00000000	264.17553845
1521.10000000	262.29650911
1521.31000000	254.36451676
1523.76000000	250.09321640
1526.21000000	249.13175384
1527.16500000	248.03813790
1528.12000000	265.05761814
1528.51000000	264.02199649
1538.20000000	268.11418124
1539.13000000	273.77414747
1540.21000000	284.94213606
1540.36000000	278.05427799
1545.07500000	254.80325540
1549.79000000	252.52999999
1565.41000000	247.15779051
1566.62000000	263.63963870
1567.83000000	266.68900482
1570.77500000	266.03680276
1573.72000000	260.94999999
1590.17000000	246.38444765
1591.20500000	238.81519216
1592.24000000	218.03633383
1595.00500000	237.40440174
1597.77000000	235.19311865
1598.42000000	248.98659227
1599.51500000	255.54119493
1600.50500000	266.56517234
1601.05000000	269.11489423
1601.25000000	265.07333909
1604.20000000	266.94877024
1606.95000000	265.52158300
1607.21500000	263.90990779
1607.48000000	265.03506245
1609.44000000	267.99720499
1611.40000000	265.93319330
1612.11000000	265.86269263
1613.44000000	243.15934972
1613.98500000	241.83967359
1614.53000000	245.80879713
1630.29500000	233.35103691
1632.09000000	234.68321985
1632.31000000	230.71261787
1632.53000000	249.28519990
1636.82000000	252.25264982
1652.43000000	261.41195136
1652.74500000	268.37323787
1653.06000000	261.97678022
1660.31500000	252.37685252
1667.57000000	219.71999999
1704.44000000	321.03999998
1713.73000000	284.16999998
1726.78000000	266.17471571
1728.40500000	260.75583579
1730.03000000	243.66026367
1738.64000000	253.07913800
1738.97500000	269.44871569
1739.31000000	274.80296068
1741.28000000	281.07280644
1743.25000000	282.37543894
1758.01000000	288.00474374
1761.08000000	255.49163942
1763.49000000	249.54712767
1764.39000000	250.40203486
1764.55500000	248.98686952
1764.89000000	249.65410321
1766.38500000	250.06169234
1767.71000000	244.08006714
1769.44000000	243.41381896
1771.17000000	244.47746691
1771.39000000	244.49383885
1771.72500000	260.94717925
1777.73000000	262.89571664
1780.50000000	264.78330664
