DEPTH d	VALUE d
1376.22000000	0.01318804
1376.79000000	0.00172227
1379.91000000	0.00185210
1383.66500000	0.02960229
1384.30000000	0.00960986
1386.48000000	0.00014674
1391.02500000	0.00064298
1395.70000000	0.00377543
1399.74000000	0.00036128
1403.61000000	0.02556372
1403.82000000	0.00027422
1408.20000000	0.00033250
1410.98000000	0.00390808
1413.76000000	0.00764499
1415.33000000	0.01349892
1417.23000000	0.04192300
1417.61500000	0.01956852
1418.00000000	0.00247041
1421.90000000	0.00220690
1426.50000000	0.00169664
1428.47500000	0.00209666
1430.56000000	0.00060522
1431.71000000	0.00549016
1431.93000000	0.02240078
1432.20000000	0.00666142
1433.66500000	0.00813966
1434.13000000	0.00193129
1436.23000000	0.00003047
1441.15000000	0.00031092
1444.86500000	0.00941460
1445.24000000	0.02386058
1445.41000000	0.00044642
1447.44000000	0.00173337
1447.87500000	0.00454068
1448.35000000	0.03003357
1448.46500000	0.01310846
1448.64000000	0.04041478
1448.77000000	0.00456871
1449.47000000	0.00394514
1449.90000000	0.00056544
1459.61000000	0.00017008
1465.98500000	0.00149150
1469.52000000	0.00234817
1469.77000000	0.00155919
1471.06000000	0.02182461
1471.20000000	0.00882142
1471.34000000	0.00137311
1473.01000000	0.00839162
1474.91000000	0.00005550
1478.08000000	0.00006704
1485.06000000	0.00705783
1489.73500000	0.35923609
1490.37000000	0.01487884
1504.26000000	0.00669247
1508.53500000	0.00195524
1512.81000000	0.00332039
1514.00000000	0.00207985
1515.19000000	0.01236087
1515.75000000	0.00538571
1517.11000000	0.00469475
1519.00000000	0.00005447
1521.10000000	0.03513371
1521.31000000	0.00260022
1523.76000000	0.00075807
1526.21000000	0.00304151
1527.16500000	0.01974142
1528.12000000	0.01739263
1528.51000000	0.00113550
1538.20000000	0.01800828
1539.13000000	0.02406108
1540.21000000	0.11336611
1540.36000000	0.00595921
1545.07500000	0.00261775
1549.79000000	0.00132714
1565.41000000	0.02139923
1566.62000000	0.00267787
1567.83000000	0.00191803
1570.77500000	0.00940926
1573.72000000	0.00263623
1590.17000000	0.01392187
1591.20500000	0.02636286
1592.24000000	0.00591439
1595.00500000	0.00154755
1597.77000000	0.02886850
1598.42000000	0.01294393
1599.51500000	0.02012292
1600.50500000	0.01794812
1601.05000000	0.04414110
1601.25000000	0.00312496
1604.20000000	0.00218086
1606.95000000	0.01039957
1607.21500000	0.00565289
1607.48000000	0.00420033
1609.44000000	0.00316449
1611.40000000	0.00437880
1612.11000000	0.02214032
1613.44000000	0.01084238
1613.98500000	1.00000000
1614.53000000	0.03353045
1630.29500000	0.00138344
1632.09000000	0.05040118
1632.31000000	0.10823146
1632.53000000	0.00150234
1636.82000000	0.00211580
1652.43000000	0.07344116
1652.74500000	0.03458412
1653.06000000	0.00475206
1660.31500000	0.00204121
1667.57000000	0.00899330
1704.44000000	0.00697959
1713.73000000	0.01386240
1726.78000000	0.21368140
1728.40500000	0.00740780
1730.03000000	0.00247198
1738.64000000	0.05688285
1738.97500000	0.03931023
1739.31000000	0.00852529
1741.28000000	0.00393116
1743.25000000	0.00041480
1758.01000000	0.02350633
1761.08000000	0.00434098
1763.49000000	0.00684160
1764.39000000	0.01703309
1764.55500000	0.00721961
1764.89000000	0.00188830
1766.38500000	0.00678610
1767.71000000	0.00032667
1769.44000000	0.00107776
1771.17000000	0.00578125
1771.39000000	0.05442887
1771.72500000	0.00029080
1777.73000000	0.00152856
1780.50000000	0.00141279
