DEPTH d	VALUE d
1376.22000000	256.47535188
1376.79000000	260.60852172
1379.91000000	263.51606406
1383.66500000	269.10796802
1384.30000000	258.14554513
1386.48000000	264.85927522
1391.02500000	266.06913391
1395.70000000	267.33546289
1399.74000000	274.72091757
1403.61000000	274.10697992
1403.82000000	272.66267329
1408.20000000	274.87657343
1410.98000000	272.19881284
1413.76000000	276.44142262
1415.33000000	282.95807138
1417.23000000	270.38346964
1417.61500000	259.21455892
1418.00000000	262.48566398
1421.90000000	268.81416787
1426.50000000	263.00748113
1428.47500000	261.45068779
1430.56000000	259.73705216
1431.71000000	259.27800991
1431.93000000	259.57090929
1432.20000000	256.51220028
1433.66500000	252.21269578
1434.13000000	254.49314083
1436.23000000	252.08239248
1441.15000000	251.54428987
1444.86500000	250.09598354
1445.24000000	247.96807475
1445.41000000	243.10563396
1447.44000000	242.73544583
1447.87500000	243.10427101
1448.35000000	243.49755888
1448.46500000	241.47120545
1448.64000000	239.96123236
1448.77000000	241.53630519
1449.47000000	242.80658523
1449.90000000	242.22194310
1459.61000000	240.18591259
1465.98500000	240.80265244
1469.52000000	243.92883323
1469.77000000	243.92855544
1471.06000000	242.63710000
1471.20000000	243.88716835
1471.34000000	244.26941866
1473.01000000	243.27052778
1474.91000000	261.10240276
1478.08000000	260.52436759
1485.06000000	262.48426765
1489.73500000	275.15854094
1490.37000000	303.89535024
1504.26000000	247.76729391
1508.53500000	266.28491603
1512.81000000	267.92752616
1514.00000000	265.64099142
1515.19000000	263.50313495
1515.75000000	259.68868573
1517.11000000	263.08819642
1519.00000000	258.84056850
1521.10000000	257.38972387
1521.31000000	251.04650468
1523.76000000	247.25380226
1526.21000000	246.47037998
1527.16500000	245.35899112
1528.12000000	259.95428883
1528.51000000	261.43118850
1538.20000000	265.67460199
1539.13000000	270.65763068
1540.21000000	280.09657028
1540.36000000	274.26596137
1545.07500000	256.49423659
1549.79000000	249.40951526
1565.41000000	244.95178349
1566.62000000	259.24677977
1567.83000000	262.16535681
1570.77500000	264.00750347
1573.72000000	261.98754823
1590.17000000	251.63133508
1591.20500000	243.40346228
1592.24000000	220.65580785
1595.00500000	235.22526632
1597.77000000	232.98035845
1598.42000000	245.44921277
1599.51500000	250.87524792
1600.50500000	261.24785662
1601.05000000	263.93816427
1601.25000000	260.84434478
1604.20000000	263.72021340
1606.95000000	261.93287482
1607.21500000	260.65032514
1607.48000000	261.92073776
1609.44000000	264.85661781
1611.40000000	263.00526891
1612.11000000	264.31641144
1613.44000000	245.89660822
1613.98500000	242.79442599
1614.53000000	246.28757451
1630.29500000	231.93857443
1632.09000000	231.81733233
1632.31000000	224.47128828
1632.53000000	242.82407098
1636.82000000	246.64117201
1652.43000000	256.44169731
1652.74500000	263.81162759
1653.06000000	259.75065577
1660.31500000	250.71175100
1667.57000000	221.80161483
1704.44000000	315.84667021
1713.73000000	262.59089604
1726.78000000	253.17015572
1728.40500000	250.54127192
1730.03000000	241.44739548
1738.64000000	250.63543435
1738.97500000	264.37012807
1739.31000000	269.12885025
1741.28000000	274.95510227
1743.25000000	276.47280661
1758.01000000	280.45752808
1761.08000000	252.09796390
1763.49000000	247.25774337
1764.39000000	247.71400058
1764.55500000	246.12032028
1764.89000000	246.46188424
1766.38500000	246.77839546
1767.71000000	241.32877299
1769.44000000	240.98388417
1771.17000000	241.76123555
1771.39000000	241.81026758
1771.72500000	254.59142198
1777.73000000	255.79297004
1780.50000000	257.58404888
