DEPTH d	VALUE d
1374.86000000	49.61995256
1375.05000000	48.07193920
1375.29500000	47.35869351
1375.54000000	46.88103747
1386.61000000	46.79296493
1386.86000000	42.71325437
1394.52500000	48.60347850
1396.91000000	52.14368731
1397.63000000	53.42290891
1398.29000000	53.89222963
1400.35000000	60.75598927
1402.08000000	60.42044485
1403.98000000	64.00091774
1407.54500000	61.76830974
1411.21000000	60.06963030
1412.75000000	58.79253056
1413.06500000	59.44556576
1413.53000000	59.69286521
1413.84000000	60.03352901
1416.05000000	60.78146984
1418.10000000	59.74785502
1418.25000000	60.67047895
1421.61000000	61.51175995
1425.26500000	60.34451307
1429.26000000	59.84955440
1430.10000000	60.63674375
1430.31000000	60.70780465
1431.24500000	61.22658332
1431.49000000	60.95079918
1432.03500000	62.16734289
1432.64000000	62.14324168
1435.45000000	61.95768231
1450.78000000	65.02067524
1451.16000000	66.33908904
1451.44000000	66.72663701
1451.59000000	67.02880322
1456.06000000	67.84531325
1456.69000000	68.18060749
1457.32000000	68.15997996
1463.02000000	63.86855016
1464.70000000	63.17757279
1468.64000000	62.64160980
1468.83000000	61.97393892
1469.20000000	61.70184122
1469.40500000	62.46814966
1469.61000000	62.89991301
1470.50000000	62.08961575
1470.89000000	59.40641975
1471.30000000	65.73715653
1479.17500000	71.02180391
1479.57000000	78.34629717
1486.71000000	73.26637477
1493.85000000	69.44832769
1500.16000000	71.13416727
1501.47500000	65.52649896
1502.79000000	61.53096053
1508.17000000	64.17230345
1508.52000000	64.39596990
1509.31500000	62.61748306
1509.76000000	63.88408029
1515.37000000	64.08385670
1515.99000000	63.70519308
1516.61000000	64.53391618
1516.72000000	64.82653848
1516.83000000	65.79834478
1518.36000000	67.52485608
1520.04000000	66.87151195
1524.39000000	66.61972068
1525.01500000	66.85056040
1527.43000000	69.20331816
1529.36000000	68.31258756
1529.54500000	68.26714992
1529.68000000	70.66273239
1534.41500000	67.05460164
1539.15000000	67.03019371
1539.98500000	65.81727324
1540.82000000	66.53048052
1541.11000000	67.25510662
1542.20500000	68.95084833
1546.09500000	63.33991819
1548.89000000	61.68454950
1551.80500000	60.09303952
1553.53000000	59.57619299
1553.66500000	58.85592317
1553.80000000	57.83671264
1556.28000000	55.64934377
1556.45000000	56.91685642
1556.68000000	58.66988798
1557.46000000	59.76251789
1559.37500000	60.47419338
1561.39000000	60.53369415
1565.39500000	60.47105108
1566.51000000	62.53968130
1568.08000000	63.83948769
1569.32500000	65.35535419
1570.17000000	66.81939007
1570.74500000	67.55750815
1572.07500000	68.96699783
1573.24000000	69.39127271
1573.51000000	68.95061232
1574.11500000	69.41225262
1574.58500000	69.33668868
1575.32000000	70.78328810
1575.48000000	70.65535503
1589.49500000	71.04565597
1590.02000000	69.65376919
1590.70500000	68.52957748
1591.71000000	66.46652600
1597.30000000	66.46130177
1598.28500000	66.76915109
1598.49500000	66.89276797
1599.36500000	63.64472623
1599.61000000	62.45107957
1600.00000000	61.53662106
1608.12500000	57.33000970
1608.47000000	56.94850335
1610.05500000	55.99969304
1611.14000000	54.45980971
1611.28000000	54.42108191
1611.46000000	53.96623089
1611.66500000	52.55748011
1611.82000000	52.95827864
1612.78000000	54.18858112
1618.08000000	58.77202632
1623.43000000	61.32722123
1628.84000000	61.57782541
1629.10000000	62.12029530
1629.36000000	61.56384061
1629.95000000	61.49877217
1630.54000000	61.96889933
1631.57000000	61.70391773
1634.35000000	63.03936771
1640.68000000	64.83667085
1643.35000000	65.33878135
1644.39500000	66.20751571
1645.64000000	67.07487298
1645.90000000	69.35194568
1657.39000000	68.84187114
1664.41000000	68.26939597
1664.56000000	66.36559043
1683.64000000	63.97987187
1688.95000000	70.17561164
1689.95000000	69.72128860
1690.95000000	63.74191278
1692.60000000	65.38376997
1701.14500000	60.90236055
1708.04000000	65.37298434
1717.23000000	60.22590705
1719.45000000	64.41152383
1723.52500000	65.18752584
1727.60000000	68.59440550
1732.42000000	71.96379326
1737.24000000	72.84184551
1744.83000000	72.59491871
1747.60000000	75.40725830
1750.79000000	68.13418786
1753.98000000	69.47705333
1754.77000000	69.37212562
1755.56000000	68.33541662
1757.29000000	66.83794126
1759.02000000	67.69762134
1764.50500000	69.21192450
1770.12000000	73.00919728
1773.52000000	74.86080391
1781.18000000	62.31541692
1781.60000000	64.74412537
1781.70500000	64.67965332
1782.66000000	62.88727880
1782.80500000	63.42419264
1782.95000000	62.92702158
1783.44000000	61.88543546
1783.93000000	60.84282892
1784.19000000	64.57865010
1784.56000000	61.60460373
