DEPTH d	VALUE d
1372.33000000	196.92154411
1373.32000000	195.13769157
1374.04000000	199.55317390
1374.66000000	206.03183650
1375.93000000	232.21149393
1379.37000000	234.59499357
1379.37000000	234.59499357
1384.71500000	38.41505857
1384.71500000	38.41505857
1385.02000000	38.11325361
1385.23000000	32.49830573
1385.82500000	29.78219482
1386.49000000	28.64517891
1386.99000000	28.11323258
1386.99000000	28.11323258
1387.07500000	31.64075838
1387.16000000	34.72428604
1387.16000000	34.72428604
1387.16000000	34.72428604
1387.78000000	33.29138393
1388.06500000	18.50718108
1391.23000000	17.71207337
1394.72500000	1.80213825
1395.03000000	1.22673670
1398.64500000	-2.79694965
1399.14000000	-6.68184436
1399.14000000	-6.68184436
1399.14000000	-6.68184436
1399.14000000	-6.68184436
1399.14000000	-6.68184436
1399.14000000	-6.68184436
1402.72000000	-13.11299280
1402.97000000	-16.94881948
1403.22000000	264.41336029
1404.23000000	-19.28763807
1405.24000000	230.63626619
1416.59000000	207.98635402
1416.59000000	207.98635402
1416.59000000	207.98635402
1417.03500000	194.33885199
1417.48000000	148.13866350
1417.48000000	148.13866350
1418.64500000	129.57923719
1418.64500000	129.57923719
1418.64500000	129.57923719
1419.81000000	75.93944358
1424.12500000	282.67658676
1428.44000000	310.86882678
1428.44000000	310.86882678
1428.44000000	310.86882678
1428.44000000	310.86882678
1429.07500000	-3.05581893
1429.07500000	-3.05581893
1429.71000000	18.99286183
1430.26000000	8.05369615
1430.26000000	8.05369615
1430.81000000	-0.11550167
1430.81000000	-0.11550167
1430.81000000	-0.11550167
1430.81000000	-0.11550167
1430.81000000	-0.11550167
1430.81000000	-0.11550167
1430.81000000	-0.11550167
1440.46500000	250.90257929
1446.32500000	229.52986441
1446.49000000	201.16571124
1446.69000000	174.26328354
1446.87500000	188.31971743
1446.87500000	188.31971743
1447.06000000	183.84888059
1447.06000000	183.84888059
1447.25500000	205.26617693
1448.43500000	208.77745974
1448.43500000	208.77745974
1448.43500000	208.77745974
1448.43500000	208.77745974
1448.43500000	208.77745974
1450.85000000	233.21630312
1453.88500000	285.42923242
1455.49000000	291.44124556
1455.49000000	291.44124556
1455.49000000	291.44124556
1455.49000000	291.44124556
1458.07500000	-23.96832934
1460.49500000	-8.61715428
1460.49500000	-8.61715428
1460.59000000	11.46073259
1461.13000000	12.98388499
1461.13000000	12.98388499
1461.67000000	18.48535248
1461.67000000	18.48535248
1461.74500000	21.33640038
1461.98000000	36.07386534
1461.98000000	36.07386534
1461.98000000	36.07386534
1461.98000000	36.07386534
1461.98000000	36.07386534
1466.31000000	44.94530531
1472.47500000	43.15764118
1474.47000000	43.50312314
1474.47000000	43.50312314
1474.47000000	43.50312314
1480.04000000	45.30557803
1485.61000000	47.49744206
1485.88000000	47.53734135
1486.57500000	50.51570262
1486.57500000	50.51570262
1487.70000000	67.15137184
1487.70000000	67.15137184
1487.70000000	67.15137184
1487.70000000	67.15137184
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.01500000	74.38366697
1488.33000000	80.57290692
1489.25500000	88.29212617
1490.32000000	97.86487472
1490.46000000	115.33148198
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1516.60000000	241.75257738
1536.88000000	61.18720092
1536.88000000	61.18720092
1536.88000000	61.18720092
1536.88000000	61.18720092
1536.88000000	61.18720092
1536.88000000	61.18720092
1536.88000000	61.18720092
1536.88000000	61.18720092
1536.88000000	61.18720092
1536.88000000	61.18720092
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	57.12320621
1547.44000000	55.38719458
1547.44000000	55.38719458
1547.44000000	55.38719458
1547.44000000	55.38719458
1547.44000000	55.38719458
1547.44000000	55.38719458
1547.44000000	55.38719458
1547.44000000	55.38719458
1547.44000000	55.38719458
1578.35000000	47.54719078
1578.35000000	47.54719078
1578.35000000	47.54719078
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	54.31608720
1580.88000000	78.60719610
1580.88000000	78.60719610
1600.68000000	47.44688781
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1600.68000000	28.96718465
1614.72000000	33.58538543
1614.72000000	33.58538543
1614.72000000	33.58538543
1614.72000000	33.58538543
1614.72000000	33.58538543
1614.72000000	33.58538543
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1614.72000000	40.58999957
1661.96000000	58.29999960
1662.86000000	52.57289495
1662.86000000	52.57289495
1664.22000000	54.64876089
1665.80500000	57.81468230
1665.80500000	57.81468230
1665.80500000	57.81468230
1665.80500000	57.81468230
1665.80500000	57.81468230
1665.80500000	57.81468230
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.03000000	50.17020576
1666.32500000	49.75293564
1666.62000000	49.41101118
1669.25500000	44.01922646
1671.89000000	42.59130730
1684.66000000	34.69588067
1684.66000000	34.69588067
1684.66000000	34.69588067
1684.66000000	34.69588067
1684.66000000	34.69588067
1684.66000000	34.69588067
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1684.66000000	26.64718719
1711.19000000	79.47719734
1711.19000000	79.47719734
1711.19000000	79.47719734
1711.19000000	79.47719734
1711.19000000	79.47719734
1711.19000000	79.47719734
1717.61000000	50.94010736
1717.61000000	50.94010736
1717.61000000	50.94010736
1717.61000000	50.94010736
1717.61000000	50.94010736
1717.61000000	50.94010736
1720.41500000	45.70698860
1720.41500000	45.70698860
1723.22000000	40.01806667
1724.06500000	39.52060459
1724.06500000	39.52060459
1724.06500000	39.52060459
1724.06500000	39.52060459
1724.06500000	39.52060459
1724.91000000	36.62623812
1724.91000000	36.62623812
1724.91000000	36.62623812
1724.91000000	36.62623812
1724.91000000	36.62623812
1724.91000000	36.62623812
1726.40000000	34.56488221
1726.40000000	34.56488221
1726.40000000	34.56488221
1726.40000000	34.56488221
1726.40000000	34.56488221
1726.40000000	34.56488221
1731.95000000	32.13722834
1731.95000000	32.13722834
1737.50000000	34.63514292
1745.95000000	30.09480399
1747.35000000	37.03591087
1747.35000000	37.03591087
1747.35000000	37.03591087
1747.35000000	37.03591087
1747.35000000	37.03591087
1747.35000000	37.03591087
1747.48500000	42.09995859
1747.48500000	42.09995859
1747.48500000	42.09995859
1747.48500000	42.09995859
1747.62000000	48.23145324
1747.62000000	48.23145324
1747.62000000	48.23145324
1747.62000000	48.23145324
1747.62000000	48.23145324
1747.62000000	48.23145324
1747.62000000	48.23145324
1747.62000000	48.23145324
1747.62000000	48.23145324
1750.69500000	50.47110760
1753.77000000	54.51719715
1753.77000000	54.51719715
1753.77000000	54.51719715
1753.77000000	54.51719715
1753.77000000	54.51719715
1779.67000000	48.70719183
1779.67000000	48.70719183
1779.67000000	48.70719183
1782.04000000	45.80480431
1782.04000000	45.80480431
1782.04000000	45.80480431
1782.04000000	45.80480431
1782.04000000	45.80480431
1782.04000000	45.80480431
1782.04000000	45.80480431
