DEPTH d	VALUE d
1372.33000000	2.75540157
1373.32000000	2.68741055
1374.04000000	2.04382633
1374.66000000	1.82784106
1375.93000000	1.34356888
1379.37000000	1.25008612
1379.37000000	1.25008612
1384.71500000	3.48530345
1384.71500000	3.48530345
1385.02000000	3.38041581
1385.23000000	3.13275117
1385.82500000	2.66226290
1386.49000000	2.34864240
1386.99000000	2.13801619
1386.99000000	2.13801619
1387.07500000	2.36384696
1387.16000000	2.51711489
1387.16000000	2.51711489
1387.16000000	2.51711489
1387.78000000	2.28106223
1388.06500000	2.23298048
1391.23000000	2.31169278
1394.72500000	2.13047034
1395.03000000	2.01917959
1398.64500000	1.38940291
1399.14000000	1.41802191
1399.14000000	1.41802191
1399.14000000	1.41802191
1399.14000000	1.41802191
1399.14000000	1.41802191
1399.14000000	1.41802191
1402.72000000	1.70279957
1402.97000000	1.98612178
1403.22000000	0.56557982
1404.23000000	0.63673618
1405.24000000	0.48123330
1416.59000000	0.90900295
1416.59000000	0.90900295
1416.59000000	0.90900295
1417.03500000	1.26080673
1417.48000000	1.74308785
1417.48000000	1.74308785
1418.64500000	1.40823930
1418.64500000	1.40823930
1418.64500000	1.40823930
1419.81000000	0.35352813
1424.12500000	1.00552280
1428.44000000	1.05654305
1428.44000000	1.05654305
1428.44000000	1.05654305
1428.44000000	1.05654305
1429.07500000	1.26069396
1429.07500000	1.26069396
1429.71000000	3.05601053
1430.26000000	2.83408601
1430.26000000	2.83408601
1430.81000000	3.06595763
1430.81000000	3.06595763
1430.81000000	3.06595763
1430.81000000	3.06595763
1430.81000000	3.06595763
1430.81000000	3.06595763
1430.81000000	3.06595763
1440.46500000	0.64860947
1446.32500000	0.62685853
1446.49000000	0.90727533
1446.69000000	1.57251729
1446.87500000	2.16897439
1446.87500000	2.16897439
1447.06000000	1.89474589
1447.06000000	1.89474589
1447.25500000	2.86264956
1448.43500000	1.76772300
1448.43500000	1.76772300
1448.43500000	1.76772300
1448.43500000	1.76772300
1448.43500000	1.76772300
1450.85000000	0.94921687
1453.88500000	0.60653706
1455.49000000	0.55240092
1455.49000000	0.55240092
1455.49000000	0.55240092
1455.49000000	0.55240092
1458.07500000	1.60439702
1460.49500000	2.18926429
1460.49500000	2.18926429
1460.59000000	2.99344449
1461.13000000	2.73924142
1461.13000000	2.73924142
1461.67000000	3.08118158
1461.67000000	3.08118158
1461.74500000	3.17623638
1461.98000000	3.20063357
1461.98000000	3.20063357
