DEPTH d	VALUE d
1373.32000000	7.42419408
1373.53000000	7.54148692
1374.04000000	6.85810189
1374.04000000	6.85810189
1375.60500000	6.88738760
1375.60500000	6.88738760
1375.93000000	7.01654809
1376.30000000	7.08670209
1376.30000000	7.08670209
1379.74000000	7.10550567
1384.90000000	7.38018558
1386.99000000	7.56535598
1387.07500000	7.80039876
1387.29000000	7.23517556
1387.29000000	7.23517556
1387.42000000	7.04523465
1388.29000000	6.81691669
1388.29000000	6.81691669
1388.29000000	6.81691669
1389.16000000	6.99406948
1389.16000000	6.99406948
1393.65500000	6.91744583
1393.65500000	6.91744583
1393.65500000	6.91744583
1399.14000000	6.81808314
1399.14000000	6.81808314
1401.86000000	5.90139192
1401.86000000	5.90139192
1401.86000000	5.90139192
1401.86000000	5.90139192
1404.58000000	8.62135139
1408.90500000	8.90936063
1413.23000000	8.59754935
1413.23000000	8.59754935
1414.56000000	8.30955860
1415.71000000	8.63970494
1416.29500000	8.94337153
1416.29500000	8.94337153
1416.29500000	8.94337153
1417.18000000	9.28336739
1417.18000000	9.28336739
1417.48000000	9.52784289
1417.48000000	9.52784289
1417.88000000	9.08658965
1417.88000000	9.08658965
1417.88000000	9.08658965
1417.88000000	9.08658965
1417.88000000	9.08658965
1417.88000000	9.08658965
1417.88000000	9.08658965
1422.10500000	8.67240433
1426.20000000	8.29240465
1426.36500000	8.40096149
1426.36500000	8.40096149
1429.78000000	8.55757382
1433.03000000	8.50099152
1433.67000000	8.68120193
1433.79500000	9.00846507
1433.79500000	9.00846507
1434.34500000	8.68279818
1434.34500000	8.68279818
1434.34500000	8.68279818
1434.34500000	8.68279818
1436.90000000	9.05469373
1436.90000000	9.05469373
1436.90000000	9.05469373
1436.90000000	9.05469373
1436.90000000	9.05469373
1436.90000000	9.05469373
1436.90000000	9.05469373
1439.13500000	9.03988806
1439.78000000	10.02821214
1440.32000000	9.27215445
1448.03500000	9.40280396
1448.03500000	9.40280396
1448.03500000	9.40280396
1456.21500000	9.66158428
1460.40000000	7.32690832
1460.59000000	7.55455759
1460.59000000	7.55455759
1460.59000000	7.55455759
1460.95000000	8.25780994
1460.95000000	8.25780994
1460.95000000	8.25780994
1460.95000000	8.25780994
1460.95000000	8.25780994
1460.95000000	8.25780994
1460.95000000	8.25780994
1461.31000000	8.23959312
1461.31000000	8.23959312
1461.31000000	8.23959312
1461.56500000	7.94685432
1463.12500000	8.65137913
1471.58000000	9.12606704
1473.02500000	9.30323083
1474.98000000	9.67160015
1475.49000000	9.88614297
1476.71000000	10.42690382
1477.89000000	10.41252816
1478.13000000	10.53313293
1478.63000000	10.33519085
1478.89000000	10.26519884
1478.89000000	10.26519884
1479.43500000	10.13754824
1479.43500000	10.13754824
1479.43500000	10.13754824
1479.43500000	10.13754824
1479.43500000	10.13754824
1479.98000000	10.23270001
1479.98000000	10.23270001
1479.98000000	10.23270001
1480.14000000	10.32248618
1480.30000000	10.23385443
1481.30500000	10.31759444
1481.66000000	10.31547067
1482.67000000	10.16776568
1483.49000000	9.74149227
1483.73000000	9.46621950
1486.51000000	9.78567679
1491.49500000	9.18888505
1497.99500000	9.58276468
1499.51000000	9.30995649
1499.51000000	9.30995649
1501.97000000	9.75359817
1501.97000000	9.75359817
1501.97000000	9.75359817
1501.97000000	9.75359817
1501.97000000	9.75359817
1501.97000000	9.75359817
1501.97000000	9.75359817
1501.97000000	9.75359817
1501.97000000	9.75359817
1501.97000000	9.75359817
1504.43000000	7.82663691
1504.43000000	7.82663691
1504.43000000	7.82663691
1504.43000000	8.05000000
1504.43000000	8.05000000
1504.43000000	8.05000000
1504.43000000	8.05000000
1504.43000000	8.05000000
1529.86000000	6.37000000
1529.86000000	6.37000000
1529.86000000	6.37000000
1529.86000000	6.37000000
1529.86000000	6.37000000
1529.86000000	6.37000000
1529.86000000	6.37000000
1536.88000000	6.01738614
1537.94000000	8.84363249
1538.09500000	9.86656446
1538.09500000	9.86656446
1538.09500000	9.86656446
1538.09500000	9.86656446
1538.09500000	9.86656446
1538.09500000	9.86656446
1538.09500000	9.86656446
1538.09500000	9.86656446
1538.25000000	9.33733663
1538.25000000	9.33733663
1538.25000000	9.33733663
1538.86500000	9.89554012
1538.86500000	9.89554012
1538.86500000	9.89554012
1538.86500000	9.89554012
1538.86500000	9.89554012
1539.48000000	9.32879542
1539.48000000	9.32879542
1547.44000000	9.82002302
1556.28500000	9.60349507
1557.34000000	8.69135150
1557.34000000	8.69135150
1557.34000000	8.69135150
1557.63000000	9.48944208
1557.63000000	9.48944208
1557.92000000	9.86205670
1557.92000000	9.86205670
1557.92000000	9.86205670
1560.09500000	10.35284486
1562.27000000	10.35262717
1562.27000000	10.35262717
1563.20500000	10.15914417
1563.20500000	10.15914417
1563.20500000	10.15914417
1563.20500000	10.15914417
1563.20500000	10.15914417
1566.24000000	10.43584751
1566.24000000	10.43584751
1568.34000000	10.51433811
1569.95000000	10.40228140
1569.95000000	10.40228140
1569.95000000	10.40228140
1572.84000000	9.90151129
1575.73000000	9.53392739
1575.73000000	9.53392739
1577.04000000	9.12818105
1577.04000000	9.12818105
1577.04000000	9.12818105
1577.04000000	9.12818105
1578.35000000	8.46236543
1579.61500000	8.59162100
1585.01500000	8.63727468
1585.01500000	8.63727468
1589.15000000	8.99987639
1589.15000000	8.99987639
1589.15000000	8.99987639
1590.13000000	9.12484293
1590.13000000	9.12484293
1590.13000000	9.12484293
1591.15000000	9.52850385
1591.15000000	9.52850385
1591.15000000	9.52850385
1592.17000000	10.08512654
1592.17000000	10.08512654
1592.17000000	10.08512654
1595.69000000	10.20519425
1595.69000000	10.20519425
1595.69000000	10.20519425
1595.69000000	10.20519425
1595.69000000	10.20519425
1599.87500000	10.41873279
1604.06000000	10.58786353
1604.06000000	10.58786353
1604.19500000	10.73907879
1608.64500000	10.93622014
1613.32000000	10.53230266
1613.97500000	10.08362448
1614.49500000	10.02030547
1614.72000000	9.86891268
1615.23500000	9.69115618
1615.75000000	9.51983398
1615.93000000	9.44733278
1616.11000000	9.40440027
1616.52000000	9.43681827
1617.04500000	9.52006832
1617.92500000	9.33527351
1617.92500000	9.33527351
1618.77500000	9.44838077
1619.27000000	9.53117368
1619.73000000	9.45176139
1620.66500000	9.52187312
1620.66500000	9.52187312
1621.59500000	9.61972550
1622.33000000	9.62166581
1623.64000000	9.35248994
1626.36000000	9.39441356
1627.19000000	9.36393691
1628.38000000	9.29302505
1628.64000000	9.34147312
1629.34000000	9.41832938
1630.35500000	9.46439219
1631.66000000	9.50218846
1632.00000000	9.60293325
1633.12000000	9.63200154
1633.94000000	9.63134015
1634.38000000	9.57744625
1634.76500000	9.57180330
1635.53500000	9.51475487
1637.00000000	9.44703720
1639.35000000	9.65085323
1640.33500000	9.75143610
1641.16500000	9.76356885
1642.18000000	9.69056003
1643.64000000	9.72238707
1644.80500000	9.92659400
1645.18000000	9.98807994
1647.68000000	10.10369087
1648.32000000	10.27091214
1648.52000000	10.24395943
1649.41000000	10.35714238
1649.83000000	10.40302687
1650.44000000	10.48656105
1651.42500000	10.41756754
1652.22000000	10.44484378
1653.06000000	10.36644879
1653.26000000	10.44941542
1653.46000000	10.50301489
1654.52000000	10.45629576
1655.58000000	10.51098823
1656.35500000	10.28890361
1657.00000000	10.10984274
1658.37000000	9.95633326
1659.70000000	9.81982119
1662.10000000	9.62751185
1664.89500000	9.31436087
1664.89500000	9.31436087
1666.62000000	9.09269058
1668.84000000	8.60719726
1669.76500000	8.46326596
1670.50000000	7.87407871
1671.03000000	7.88235934
1671.46000000	7.79158552
1674.02500000	8.31583688
1674.02500000	8.31583688
1676.16000000	8.36086176
1676.16000000	8.36086176
1676.71000000	8.42815031
1677.26000000	8.61056883
1677.69500000	8.71606765
1678.84000000	8.98036894
1679.55000000	8.91635548
1680.67000000	9.20094617
1681.76000000	9.29388656
1685.74000000	9.69277667
1686.39500000	9.85453458
1686.39500000	9.85453458
1687.05000000	9.89306838
1687.95000000	10.06063152
1689.02000000	10.16115755
1690.87500000	10.24340622
1692.03000000	10.23289002
1692.91000000	10.24121980
1693.42000000	10.04630471
1694.23500000	9.91455075
1694.23500000	9.91455075
1695.05000000	10.03799648
1695.94000000	10.29203967
1695.94000000	10.29203967
1696.96500000	10.33833381
1697.99000000	10.34385445
1697.99000000	10.34385445
1698.72500000	10.34608695
1699.72500000	10.16171509
1699.99000000	9.96565490
1701.38500000	9.75742232
1703.49000000	9.82361158
1704.62000000	9.88661829
1708.11500000	9.95965496
1711.19000000	9.73826029
1714.42000000	9.40152724
1715.10500000	9.35537212
1715.79500000	9.28299181
1715.79500000	9.28299181
1716.12000000	9.44565655
1717.61000000	9.09220257
1718.09000000	9.12281719
1718.65000000	8.57270311
1719.13500000	8.39290132
1719.62000000	8.29265792
1719.89500000	8.64166819
1721.54000000	8.65033478
1722.91000000	8.57053394
1723.22000000	8.71199419
1723.22000000	8.71199419
1723.22000000	8.71199419
1723.93000000	8.49513747
1724.91000000	8.46301851
1726.40000000	8.17716366
1726.93000000	8.15408302
1728.46000000	8.33104135
1728.99000000	8.40843911
1729.33000000	8.48811590
1729.89000000	8.41691347
1730.45000000	8.73136423
1735.08000000	9.05308066
1735.77500000	8.82869311
1736.47000000	8.98948719
1737.50000000	9.05708402
1738.32000000	9.03145460
1740.53000000	8.62401954
1742.45000000	8.55626768
1742.98000000	8.68418881
1743.78000000	8.66082576
1745.30000000	8.79401330
1747.08500000	8.63213755
1747.35000000	8.60326613
1747.76000000	8.47704627
1748.38000000	8.71339492
1749.09000000	8.87186602
1750.62000000	9.13438831
1750.62000000	9.13438831
1751.48000000	9.23630126
1752.39000000	9.29938248
1752.90000000	9.08539659
1754.15000000	9.08975174
1755.23000000	9.15696691
1756.31000000	9.16415011
1757.49000000	9.35359958
1758.65000000	9.39405541
1760.47000000	9.50109123
1761.47000000	9.61290175
1762.52000000	9.62295931
1763.45500000	9.74717879
1764.09500000	9.77323215
1765.89000000	9.98016224
1766.59000000	9.98359017
1766.93000000	9.98699493
1767.88500000	9.89503508
1768.41000000	9.92431725
1770.29000000	9.90050075
1771.39000000	9.94026086
1772.31000000	9.89751804
1772.64000000	9.94152415
1773.24000000	9.98976831
1773.76000000	10.02895667
1774.10000000	10.02206703
1774.44000000	10.05366211
1775.61000000	10.07139077
1776.52000000	10.17968469
1777.33500000	10.17639514
1778.22500000	10.09996730
1778.79500000	10.21799533
1779.34500000	10.13269792
1780.20500000	10.20317266
1782.04000000	10.15000750
1782.52000000	10.20030515
1786.08000000	10.20310891
1787.14000000	10.23370457
1787.68000000	10.09876732
1788.61500000	10.11877548
1789.96500000	10.14158049
1790.87500000	10.34493760
1791.10000000	10.24120091
1794.34000000	10.24686442
1795.11000000	10.15835952
1795.11000000	10.15835952
1795.88000000	10.13807949
1796.96000000	10.08244464
1797.43000000	10.02635981
1797.90000000	10.07028918
1800.22000000	10.02958928
1800.76500000	9.87542748
1801.31000000	9.95835438
1801.93000000	9.88546544
1802.66000000	10.04483368
1803.23000000	10.08425639
1803.23000000	10.08425639
1804.65000000	10.22760055
1807.20000000	10.23850673
1808.90000000	10.18342233
