DEPTH d	VALUE d
1372.33000000	244.69296774
1373.32000000	243.96139840
1374.04000000	243.40481941
1374.66000000	243.35385030
1375.93000000	242.05074232
1379.37000000	241.80928142
1379.37000000	241.80928142
1384.71500000	241.27281747
1384.71500000	241.27281747
1385.02000000	241.11896366
1385.23000000	240.74054478
1385.82500000	240.93130703
1386.49000000	240.59539806
1386.99000000	239.81896808
1386.99000000	239.81896808
1387.07500000	239.70486260
1387.16000000	239.51940768
1387.16000000	239.51940768
1387.16000000	239.51940768
1387.78000000	239.90870410
1388.06500000	240.62520590
1391.23000000	240.72595982
1394.72500000	240.88950376
1395.03000000	240.76587872
1398.64500000	243.02787950
1399.14000000	243.76092466
1399.14000000	243.76092466
1399.14000000	243.76092466
1399.14000000	243.76092466
1399.14000000	243.76092466
1399.14000000	243.76092466
1402.72000000	243.23175180
1402.97000000	242.81403399
1403.22000000	241.42052220
1404.23000000	241.08052855
1405.24000000	241.54130998
1416.59000000	241.93832662
1416.59000000	241.93832662
1416.59000000	241.93832662
1417.03500000	241.32663868
1417.48000000	238.90702751
1417.48000000	238.90702751
1418.64500000	237.72590211
1418.64500000	237.72590211
1418.64500000	237.72590211
1419.81000000	239.01514082
1424.12500000	240.17799061
1428.44000000	239.98933250
1428.44000000	239.98933250
1428.44000000	239.98933250
1428.44000000	239.98933250
1429.07500000	239.63984917
1429.07500000	239.63984917
1429.71000000	240.47499130
1430.26000000	240.76414456
1430.26000000	240.76414456
1430.81000000	241.08360100
1430.81000000	241.08360100
1430.81000000	241.08360100
1430.81000000	241.08360100
1430.81000000	241.08360100
1430.81000000	241.08360100
1430.81000000	241.08360100
1440.46500000	240.81652938
1446.32500000	241.32540015
1446.49000000	241.13277098
1446.69000000	241.14085948
1446.87500000	241.43654827
1446.87500000	241.43654827
1447.06000000	240.88053251
1447.06000000	240.88053251
1447.25500000	241.33398713
1448.43500000	241.19109336
1448.43500000	241.19109336
1448.43500000	241.19109336
1448.43500000	241.19109336
1448.43500000	241.19109336
1450.85000000	241.19643321
1453.88500000	240.96323403
1455.49000000	240.80263381
1455.49000000	240.80263381
1455.49000000	240.80263381
1455.49000000	240.80263381
1458.07500000	240.89568836
1460.49500000	240.40185308
1460.49500000	240.40185308
1460.59000000	239.84333367
1461.13000000	239.75987424
1461.13000000	239.75987424
1461.67000000	240.11370304
1461.67000000	240.11370304
1461.74500000	240.34946555
1461.98000000	240.25551673
1461.98000000	240.25551673
1461.98000000	240.25551673
1461.98000000	240.25551673
1461.98000000	240.25551673
1466.31000000	239.86680650
1472.47500000	240.00721638
1474.47000000	240.67176060
1474.47000000	240.67176060
1474.47000000	240.67176060
1480.04000000	240.64067161
1485.61000000	240.55103379
1485.88000000	240.34788629
1486.57500000	240.21246103
1486.57500000	240.21246103
1487.70000000	240.05810251
1487.70000000	240.05810251
1487.70000000	240.05810251
1487.70000000	240.05810251
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.01500000	239.74437636
1488.33000000	239.60546509
1489.25500000	239.47135713
1490.32000000	239.14799670
1490.46000000	239.02316312
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
1516.60000000	240.84634639
