DEPTH d	VALUE d
1372.33000000	242.51544172
1373.32000000	241.68551688
1374.04000000	241.22351839
1374.66000000	241.22649833
1375.93000000	239.10346260
1379.37000000	238.88645169
1379.37000000	238.88645169
1384.71500000	238.05951951
1384.71500000	238.05951951
1385.02000000	237.82210696
1385.23000000	237.29773114
1385.82500000	237.67661908
1386.49000000	237.63837377
1386.99000000	237.31210797
1386.99000000	237.31210797
1387.07500000	237.28039291
1387.16000000	237.15640216
1387.16000000	237.15640216
1387.16000000	237.15640216
1387.78000000	237.43605321
1388.06500000	237.86122835
1391.23000000	237.78869484
1394.72500000	237.72100745
1395.03000000	237.48407314
1398.64500000	240.79608264
1399.14000000	241.65869662
1399.14000000	241.65869662
1399.14000000	241.65869662
1399.14000000	241.65869662
1399.14000000	241.65869662
1399.14000000	241.65869662
1402.72000000	240.86514359
1402.97000000	240.27170110
1403.22000000	238.68827954
1404.23000000	238.51630657
1405.24000000	238.84548376
1416.59000000	239.39122841
1416.59000000	239.39122841
1416.59000000	239.39122841
1417.03500000	238.63705778
1417.48000000	237.58187993
1417.48000000	237.58187993
1418.64500000	236.70728355
1418.64500000	236.70728355
1418.64500000	236.70728355
1419.81000000	237.60379086
1424.12500000	238.48963520
1428.44000000	238.43313755
1428.44000000	238.43313755
1428.44000000	238.43313755
1428.44000000	238.43313755
1429.07500000	238.12780834
1429.07500000	238.12780834
1429.71000000	239.21057923
1430.26000000	239.42344106
1430.26000000	239.42344106
1430.81000000	239.62362223
1430.81000000	239.62362223
1430.81000000	239.62362223
1430.81000000	239.62362223
1430.81000000	239.62362223
1430.81000000	239.62362223
1430.81000000	239.62362223
1440.46500000	239.70155839
1446.32500000	240.18886869
1446.49000000	239.96566040
1446.69000000	239.97389363
1446.87500000	240.25896470
1446.87500000	240.25896470
1447.06000000	239.55746201
1447.06000000	239.55746201
1447.25500000	240.10198527
1448.43500000	239.82363457
1448.43500000	239.82363457
1448.43500000	239.82363457
1448.43500000	239.82363457
1448.43500000	239.82363457
1450.85000000	239.95947922
1453.88500000	239.79183605
1455.49000000	239.63837815
1455.49000000	239.63837815
1455.49000000	239.63837815
1455.49000000	239.63837815
1458.07500000	239.58767117
1460.49500000	239.11033673
1460.49500000	239.11033673
1460.59000000	238.73479490
1461.13000000	238.70782958
1461.13000000	238.70782958
1461.67000000	239.13185147
1461.67000000	239.13185147
1461.74500000	239.36223447
1461.98000000	239.64272579
1461.98000000	239.64272579
1461.98000000	239.64272579
1461.98000000	239.64272579
1461.98000000	239.64272579
1466.31000000	239.23519439
1472.47500000	239.20364034
1474.47000000	239.86733542
1474.47000000	239.86733542
1474.47000000	239.86733542
1480.04000000	239.98328689
1485.61000000	239.97584502
1485.88000000	239.85622402
1486.57500000	239.72707777
1486.57500000	239.72707777
1487.70000000	239.52104437
1487.70000000	239.52104437
1487.70000000	239.52104437
1487.70000000	239.52104437
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.01500000	239.39224291
1488.33000000	239.27278206
1489.25500000	239.14676299
1490.32000000	238.81356771
1490.46000000	238.62773370
1516.60000000	240.33723505
1516.60000000	240.33723505
1516.60000000	240.33723505
1516.60000000	240.33723505
1516.60000000	240.33723505
1516.60000000	240.33723505
1516.60000000	240.33723505
1516.60000000	240.33723505
1516.60000000	240.33723505
1516.60000000	240.33723505
