DEPTH d	VALUE d
1373.32000000	249.27742190
1373.53000000	249.50036435
1374.04000000	248.92806015
1374.04000000	248.92806015
1375.60500000	247.54390336
1375.60500000	247.54390336
1375.93000000	246.95210417
1376.30000000	246.95600620
1376.30000000	246.95600620
1379.74000000	247.01894182
1384.90000000	247.20745930
1386.99000000	246.48807940
1387.07500000	244.79882230
1387.29000000	236.92277598
1387.29000000	236.92277598
1387.42000000	237.44051327
1388.29000000	237.49380439
1388.29000000	237.49380439
1388.29000000	237.49380439
1389.16000000	236.76396244
1389.16000000	236.76396244
1393.65500000	239.38142225
1393.65500000	239.38142225
1393.65500000	239.38142225
1399.14000000	241.28962647
1399.14000000	241.28962647
1401.86000000	242.22623201
1401.86000000	242.22623201
1401.86000000	242.22623201
1401.86000000	242.22623201
1404.58000000	240.94962798
1408.90500000	240.60502742
1413.23000000	240.39725244
1413.23000000	240.39725244
1414.56000000	241.25594998
1415.71000000	241.55523865
1416.29500000	242.01030215
1416.29500000	242.01030215
1416.29500000	242.01030215
1417.18000000	242.49357425
1417.18000000	242.49357425
1417.48000000	241.70167859
1417.48000000	241.70167859
1417.88000000	242.24911716
1417.88000000	242.24911716
1417.88000000	242.24911716
1417.88000000	242.24911716
1417.88000000	242.24911716
1417.88000000	242.24911716
1417.88000000	242.24911716
1422.10500000	242.97522481
1426.20000000	243.01263784
1426.36500000	243.25431694
1426.36500000	243.25431694
1429.78000000	243.24273180
1433.03000000	243.45891468
1433.67000000	242.74670828
1433.79500000	242.39989284
1433.79500000	242.39989284
1434.34500000	242.00164387
1434.34500000	242.00164387
1434.34500000	242.00164387
1434.34500000	242.00164387
1436.90000000	241.20937877
1436.90000000	241.20937877
1436.90000000	241.20937877
1436.90000000	241.20937877
1436.90000000	241.20937877
1436.90000000	241.20937877
1436.90000000	241.20937877
1439.13500000	238.98948247
1439.78000000	236.28958228
1440.32000000	239.90538439
1448.03500000	241.32538957
1448.03500000	241.32538957
1448.03500000	241.32538957
1456.21500000	243.51463721
1460.40000000	243.37534196
1460.59000000	243.04864007
1460.59000000	243.04864007
1460.59000000	243.04864007
1460.95000000	243.02158475
1460.95000000	243.02158475
1460.95000000	243.02158475
1460.95000000	243.02158475
1460.95000000	243.02158475
1460.95000000	243.02158475
1460.95000000	243.02158475
1461.31000000	243.02854279
1461.31000000	243.02854279
1461.31000000	243.02854279
1461.56500000	242.98872686
1463.12500000	242.68936199
1471.58000000	246.02155856
1473.02500000	248.10590808
1474.98000000	248.82256074
1475.49000000	249.17222354
1476.71000000	250.26665356
1477.89000000	251.00176086
1478.13000000	250.58901375
1478.63000000	249.79159677
1478.89000000	250.10062232
1478.89000000	250.10062232
1479.43500000	249.82018643
1479.43500000	249.82018643
1479.43500000	249.82018643
1479.43500000	249.82018643
1479.43500000	249.82018643
1479.98000000	250.12627625
1479.98000000	250.12627625
1479.98000000	250.12627625
1480.14000000	250.49353998
1480.30000000	250.87082331
1481.30500000	249.62331757
1481.66000000	248.13470611
1482.67000000	247.19928925
1483.49000000	245.83253790
1483.73000000	244.04231673
1486.51000000	241.04777482
1491.49500000	240.96306204
1497.99500000	241.02122444
1499.51000000	239.95093429
1499.51000000	239.95093429
1501.97000000	237.38919053
1501.97000000	237.38919053
1501.97000000	237.38919053
1501.97000000	237.38919053
1501.97000000	237.38919053
1501.97000000	237.38919053
1501.97000000	237.38919053
1501.97000000	237.38919053
1501.97000000	237.38919053
1501.97000000	237.38919053
1504.43000000	237.60375019
1504.43000000	237.60375019
1504.43000000	237.60375019
1504.43000000	234.58114436
1504.43000000	234.58114436
1504.43000000	234.58114436
1504.43000000	234.58114436
1529.86000000	236.92367696
1529.86000000	236.92367696
1529.86000000	236.92367696
1529.86000000	236.92367696
1529.86000000	236.92367696
1529.86000000	236.92367696
1529.86000000	236.92367696
1536.88000000	244.21417825
1537.94000000	245.98373716
1538.09500000	248.18728300
1538.09500000	248.18728300
1538.09500000	248.18728300
1538.09500000	248.18728300
1538.09500000	248.18728300
1538.09500000	248.18728300
1538.09500000	248.18728300
1538.09500000	248.18728300
1538.25000000	247.08366596
1538.25000000	247.08366596
1538.25000000	247.08366596
1538.86500000	248.18668008
1538.86500000	248.18668008
1538.86500000	248.18668008
1538.86500000	248.18668008
1538.86500000	248.18668008
1539.48000000	250.39977679
1539.48000000	250.39977679
1547.44000000	251.93963809
1556.28500000	254.60018373
1557.34000000	254.61303792
1557.34000000	254.61303792
1557.34000000	254.61303792
1557.63000000	253.30882433
1557.63000000	253.30882433
1557.92000000	252.38200352
1557.92000000	252.38200352
1557.92000000	252.38200352
1560.09500000	253.78194912
1562.27000000	252.62738895
1562.27000000	252.62738895
1563.20500000	251.32382559
1563.20500000	251.32382559
1563.20500000	251.32382559
1563.20500000	251.32382559
1563.20500000	251.32382559
1566.24000000	249.97290172
1566.24000000	249.97290172
1568.34000000	248.52246082
1569.95000000	247.45205996
1569.95000000	247.45205996
1569.95000000	247.45205996
1572.84000000	247.70824869
1575.73000000	247.68856685
1575.73000000	247.68856685
1577.04000000	247.65778051
1577.04000000	247.65778051
1577.04000000	247.65778051
1577.04000000	247.65778051
1578.35000000	248.38162135
1579.61500000	246.84355372
1585.01500000	247.59342605
1585.01500000	247.59342605
1589.15000000	246.74117668
1589.15000000	246.74117668
1589.15000000	246.74117668
1590.13000000	245.36223784
1590.13000000	245.36223784
1590.13000000	245.36223784
1591.15000000	243.31210233
1591.15000000	243.31210233
1591.15000000	243.31210233
1592.17000000	241.29375503
1592.17000000	241.29375503
1592.17000000	241.29375503
1595.69000000	245.65128726
1595.69000000	245.65128726
1595.69000000	245.65128726
1595.69000000	245.65128726
1595.69000000	245.65128726
1599.87500000	246.58906960
1604.06000000	247.46911771
1604.06000000	247.46911771
1604.19500000	248.80573535
1608.64500000	251.02581138
1613.32000000	249.24577247
1613.97500000	249.44141819
1614.49500000	249.02645997
1614.72000000	248.86189526
1615.23500000	248.61925528
1615.75000000	248.41202500
1615.93000000	249.51505495
1616.11000000	250.29400125
1616.52000000	251.57930393
1617.04500000	252.29796072
1617.92500000	252.44851251
1617.92500000	252.44851251
1618.77500000	252.37311210
1619.27000000	251.73655481
1619.73000000	251.05771430
1620.66500000	250.96619094
1620.66500000	250.96619094
1621.59500000	250.92820779
1622.33000000	250.43425529
1623.64000000	249.40669071
1626.36000000	249.58996927
1627.19000000	249.22412307
1628.38000000	248.78897979
1628.64000000	248.78768042
1629.34000000	248.36156379
1630.35500000	247.88450583
1631.66000000	246.07323509
1632.00000000	244.88992019
1633.12000000	242.55283174
1633.94000000	240.85333285
1634.38000000	240.57844967
1634.76500000	240.39215203
1635.53500000	239.39382146
1637.00000000	239.58094453
1639.35000000	239.64917609
1640.33500000	238.13820316
1641.16500000	237.90413721
1642.18000000	236.06820849
1643.64000000	234.81472659
1644.80500000	234.81230275
1645.18000000	234.84053943
1647.68000000	234.77964015
1648.32000000	234.63884131
1648.52000000	234.58197668
1649.41000000	234.53057132
1649.83000000	234.53673585
1650.44000000	234.64530748
1651.42500000	234.60150461
1652.22000000	234.56011736
1653.06000000	234.62319261
1653.26000000	234.69827853
1653.46000000	234.71539136
1654.52000000	234.63191411
1655.58000000	234.57868537
1656.35500000	234.57910918
1657.00000000	234.69145567
1658.37000000	234.76542771
1659.70000000	234.75218017
1662.10000000	234.82213839
1664.89500000	234.57889635
1664.89500000	234.57889635
1666.62000000	234.63952055
1668.84000000	234.88436079
1669.76500000	234.94465763
1670.50000000	234.96270088
1671.03000000	234.96122919
1671.46000000	234.88736238
1674.02500000	234.83923263
1674.02500000	234.83923263
1676.16000000	234.81977168
1676.16000000	234.81977168
1676.71000000	234.84218283
1677.26000000	234.95268648
1677.69500000	235.30033669
1678.84000000	235.69560659
1679.55000000	235.65926222
1680.67000000	235.95903131
1681.76000000	235.93121815
1685.74000000	235.95559901
1686.39500000	235.95516479
1686.39500000	235.95516479
1687.05000000	236.07705040
1687.95000000	236.27044698
1689.02000000	236.37990859
1690.87500000	236.36966642
1692.03000000	236.32313200
1692.91000000	236.31636269
1693.42000000	236.49118720
1694.23500000	236.34381183
1694.23500000	236.34381183
1695.05000000	236.26163963
1695.94000000	236.31524722
1695.94000000	236.31524722
1696.96500000	236.15081899
1697.99000000	235.73674501
1697.99000000	235.73674501
1698.72500000	235.46207520
1699.72500000	235.40905943
1699.99000000	235.45953456
1701.38500000	235.39084973
1703.49000000	235.56559743
1704.62000000	235.35123790
1708.11500000	235.09603026
1711.19000000	235.05687937
1714.42000000	234.94949149
1715.10500000	234.99603016
1715.79500000	235.13897841
1715.79500000	235.13897841
1716.12000000	235.22265233
1717.61000000	235.08586417
1718.09000000	235.12121073
1718.65000000	235.05577820
1719.13500000	235.00424864
1719.62000000	234.90591837
1719.89500000	235.55727426
1721.54000000	235.68748876
1722.91000000	235.67553191
1723.22000000	235.86226463
1723.22000000	235.86226463
1723.22000000	235.86226463
1723.93000000	235.82946834
1724.91000000	235.97781942
1726.40000000	235.86689086
1726.93000000	235.87880156
1728.46000000	235.94973401
1728.99000000	236.00799738
1729.33000000	235.93444075
1729.89000000	235.94265144
1730.45000000	235.95079237
1735.08000000	235.97835301
1735.77500000	236.00190670
1736.47000000	236.04394699
1737.50000000	236.01615111
1738.32000000	236.04137436
1740.53000000	235.43971853
1742.45000000	235.21108444
1742.98000000	235.20488655
1743.78000000	234.95247346
1745.30000000	234.99577050
1747.08500000	234.85940425
1747.35000000	234.81261000
1747.76000000	234.56886242
1748.38000000	234.80244105
1749.09000000	234.85214418
1750.62000000	234.95597573
1750.62000000	234.95597573
1751.48000000	235.00302198
1752.39000000	235.01733403
1752.90000000	234.99600401
1754.15000000	234.96413948
1755.23000000	234.97243404
1756.31000000	234.92922078
1757.49000000	234.93660600
1758.65000000	234.98785810
1760.47000000	234.97726676
1761.47000000	235.04611922
1762.52000000	235.00163465
1763.45500000	235.03801178
1764.09500000	235.11587879
1765.89000000	235.22815399
1766.59000000	235.28761518
1766.93000000	235.26091392
1767.88500000	235.17912842
1768.41000000	235.16558325
1770.29000000	235.09436283
1771.39000000	235.08998149
1772.31000000	235.11356570
1772.64000000	235.06867808
1773.24000000	235.06041414
1773.76000000	235.11303387
1774.10000000	235.11426054
1774.44000000	235.15398452
1775.61000000	235.13323783
1776.52000000	235.12356586
1777.33500000	235.06954408
1778.22500000	235.04714319
1778.79500000	235.09654150
1779.34500000	235.08167347
1780.20500000	234.94323032
1782.04000000	234.90071022
1782.52000000	234.85111166
1786.08000000	234.84451252
1787.14000000	234.78759741
1787.68000000	234.75619957
1788.61500000	234.87314334
1789.96500000	234.84861376
1790.87500000	235.09158971
1791.10000000	235.05594645
1794.34000000	235.01476991
1795.11000000	234.95928179
1795.11000000	234.95928179
1795.88000000	234.89945029
1796.96000000	234.95561919
1797.43000000	234.98490007
1797.90000000	235.05121392
1800.22000000	234.95170077
1800.76500000	234.91023370
1801.31000000	234.95471084
1801.93000000	234.95934467
1802.66000000	234.80017341
1803.23000000	234.79378977
1803.23000000	234.79378977
1804.65000000	234.65614231
1807.20000000	234.54520047
1808.90000000	234.41935132
