DEPTH d	VALUE d
1373.32000000	48.77956111
1373.53000000	48.27182440
1374.04000000	47.27272053
1375.60500000	43.65055792
1375.93000000	44.19067871
1376.30000000	43.72712624
1379.74000000	42.69637158
1384.90000000	41.84034344
1387.07500000	41.06005210
1387.29000000	40.87690375
1387.42000000	42.81877227
1388.29000000	44.40082334
1389.16000000	42.95621911
1393.65500000	44.43600456
1399.14000000	57.14366363
1401.86000000	58.09216787
1404.58000000	56.33334978
1408.90500000	56.33797774
1413.23000000	56.69652977
1414.56000000	56.96981643
1415.71000000	56.71395801
1416.29500000	56.53356304
1417.18000000	56.12980261
1417.48000000	55.97322723
1417.88000000	56.38905520
1422.10500000	56.52330099
1426.20000000	56.60956933
1426.36500000	56.45138331
1429.78000000	56.21735620
1433.03000000	56.25631975
1433.67000000	56.15871290
1433.79500000	55.90631482
1434.34500000	56.11280897
1436.90000000	55.73052333
1439.13500000	55.84464067
1439.78000000	55.35371411
1440.32000000	55.88589887
1448.03500000	56.24166324
1456.21500000	56.95094176
1460.40000000	61.26954845
1460.59000000	60.78822145
1460.95000000	59.22597747
1461.31000000	58.57258290
1461.56500000	58.65321670
1463.12500000	57.30531323
1471.58000000	56.38197483
1473.02500000	56.30220052
1474.98000000	56.07414834
1475.49000000	55.94263865
1476.71000000	55.37721888
1477.89000000	55.32444439
1478.13000000	55.10331227
1478.63000000	55.20495532
1478.89000000	55.30067515
1479.43500000	55.42123087
1479.98000000	55.40562241
1480.14000000	55.25275232
1480.30000000	55.55871959
1481.30500000	55.64608119
1481.66000000	55.59813476
1482.67000000	55.58762099
1483.49000000	55.87558601
1483.73000000	55.95251597
1486.51000000	55.51467184
1491.49500000	56.25894278
1497.99500000	56.29100600
1499.51000000	56.80836567
1501.97000000	56.53285126
1504.43000000	59.28544809
1529.86000000	58.16572064
1536.88000000	58.87285103
1537.94000000	57.38841738
1538.09500000	57.14823026
1538.25000000	57.47728702
1538.86500000	57.48673620
1539.48000000	55.60097155
1547.44000000	53.41886445
1556.28500000	51.40673841
1557.34000000	50.44901841
1557.63000000	51.48551976
1557.92000000	52.28229742
1560.09500000	51.48719372
1562.27000000	52.04381176
1563.20500000	52.46026521
1566.24000000	53.82313038
1568.34000000	55.23198935
1569.95000000	58.05334014
1572.84000000	58.50144897
1575.73000000	58.80868527
1577.04000000	59.15267127
1578.35000000	60.61836661
1579.61500000	59.50714357
1585.01500000	59.21327301
1589.15000000	58.41490795
1590.13000000	56.44996873
1591.15000000	55.74746707
1592.17000000	55.01593111
1595.69000000	55.66580272
1599.87500000	55.44437390
1604.06000000	55.06644252
1604.19500000	54.85045343
1608.64500000	51.12108248
1613.32000000	52.40319638
1613.97500000	52.44575122
1614.49500000	52.01302445
1614.72000000	52.06444839
1615.23500000	52.18773522
