DEPTH d	VALUE d
1372.33000000	239.84569136
1373.32000000	239.09754433
1374.04000000	237.55356432
1374.66000000	237.42820954
1375.93000000	237.27435594
1379.37000000	236.82797493
1379.37000000	236.82797493
1384.71500000	228.68912971
1384.71500000	228.68912971
1385.02000000	228.99304463
1385.23000000	230.11361445
1385.82500000	229.35552687
1386.49000000	229.26425117
1386.99000000	229.10914967
1386.99000000	229.10914967
1387.07500000	229.02126017
1387.16000000	228.80370451
1387.16000000	228.80370451
1387.16000000	228.80370451
1387.78000000	229.05791742
1388.06500000	232.89758414
1391.23000000	233.44346433
1394.72500000	233.81086634
1395.03000000	233.68764340
1398.64500000	232.75678399
1399.14000000	233.61492843
1399.14000000	233.61492843
1399.14000000	233.61492843
1399.14000000	233.61492843
1399.14000000	233.61492843
1399.14000000	233.61492843
1402.72000000	235.71359148
1402.97000000	237.31684411
1403.22000000	235.40658660
1404.23000000	233.42785789
1405.24000000	234.92255092
1416.59000000	234.68699757
1416.59000000	234.68699757
1416.59000000	234.68699757
1417.03500000	235.49805306
1417.48000000	223.60807320
1417.48000000	223.60807320
1418.64500000	223.00962511
1418.64500000	223.00962511
1418.64500000	223.00962511
1419.81000000	227.80878481
1424.12500000	237.87794328
1428.44000000	236.66949376
1428.44000000	236.66949376
1428.44000000	236.66949376
1428.44000000	236.66949376
1429.07500000	234.88941960
1429.07500000	234.88941960
1429.71000000	235.86231425
1430.26000000	239.54748885
1430.26000000	239.54748885
1430.81000000	244.08475889
1430.81000000	244.08475889
1430.81000000	244.08475889
1430.81000000	244.08475889
1430.81000000	244.08475889
1430.81000000	244.08475889
1430.81000000	244.08475889
1440.46500000	235.98224625
1446.32500000	234.12333027
1446.49000000	233.43681786
1446.69000000	228.35099255
1446.87500000	228.39187291
1446.87500000	228.39187291
1447.06000000	228.12516677
1447.06000000	228.12516677
1447.25500000	225.52505503
1448.43500000	233.78866860
1448.43500000	233.78866860
1448.43500000	233.78866860
1448.43500000	233.78866860
1448.43500000	233.78866860
1450.85000000	233.65851381
1453.88500000	232.78531082
1455.49000000	232.22649602
1455.49000000	232.22649602
1455.49000000	232.22649602
1455.49000000	232.22649602
1458.07500000	234.22319612
1460.49500000	236.05919644
1460.49500000	236.05919644
1460.59000000	236.31632053
1461.13000000	235.14117731
1461.13000000	235.14117731
1461.67000000	236.32342380
1461.67000000	236.32342380
1461.74500000	235.37960475
1461.98000000	226.73690864
1461.98000000	226.73690864
1461.98000000	226.73690864
1461.98000000	226.73690864
1461.98000000	226.73690864
1466.31000000	223.22198379
1472.47500000	222.54995815
1474.47000000	222.82885487
1474.47000000	222.82885487
1474.47000000	222.82885487
1480.04000000	222.70692857
1485.61000000	222.36029553
1485.88000000	222.26750526
1486.57500000	221.93461070
1486.57500000	221.93461070
1487.70000000	218.21153513
1487.70000000	218.21153513
1487.70000000	218.21153513
1487.70000000	218.21153513
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.01500000	217.22237176
1488.33000000	215.91322519
1489.25500000	214.77398327
1490.32000000	204.99851462
1490.46000000	194.93315563
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1516.60000000	235.63785182
1536.88000000	205.59668311
1536.88000000	205.59668311
1536.88000000	205.59668311
1536.88000000	205.59668311
1536.88000000	205.59668311
1536.88000000	205.59668311
1536.88000000	205.59668311
1536.88000000	205.59668311
1536.88000000	205.59668311
1536.88000000	205.59668311
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	212.62206751
1547.44000000	214.63848112
1547.44000000	214.63848112
1547.44000000	214.63848112
1547.44000000	214.63848112
1547.44000000	214.63848112
1547.44000000	214.63848112
1547.44000000	214.63848112
1547.44000000	214.63848112
1547.44000000	214.63848112
1578.35000000	219.00361926
1578.35000000	219.00361926
1578.35000000	219.00361926
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	212.60969736
1580.88000000	199.90750443
1580.88000000	199.90750443
1600.68000000	222.43912251
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1600.68000000	229.15883845
1614.72000000	228.88021198
1614.72000000	228.88021198
