DEPTH d	VALUE d
1372.33000000	19.64438909
1373.32000000	19.35891732
1374.04000000	18.21668876
1374.66000000	17.81986552
1375.93000000	16.76956626
1379.37000000	16.56604269
1379.37000000	16.56604269
1384.71500000	8.07766698
1384.71500000	8.07766698
1385.02000000	8.17402985
1385.23000000	8.44665181
1385.82500000	8.97176665
1386.49000000	9.26658378
1386.99000000	9.40614480
1386.99000000	9.40614480
1387.07500000	9.25087747
1387.16000000	9.09873238
1387.16000000	9.09873238
1387.16000000	9.09873238
1387.78000000	9.27502952
1388.06500000	9.47842926
1391.23000000	9.46014999
1394.72500000	9.91607787
1395.03000000	10.05009368
1398.64500000	10.65685116
1399.14000000	10.72547562
1399.14000000	10.72547562
1399.14000000	10.72547562
1399.14000000	10.72547562
1399.14000000	10.72547562
1399.14000000	10.72547562
1402.72000000	10.67329754
1402.97000000	10.54944134
1403.22000000	13.37476709
1404.23000000	12.64193108
1405.24000000	13.44524672
1416.59000000	13.71437458
1416.59000000	13.71437458
1416.59000000	13.71437458
1417.03500000	14.27349028
1417.48000000	14.96550729
1417.48000000	14.96550729
1418.64500000	14.79720682
1418.64500000	14.79720682
1418.64500000	14.79720682
1419.81000000	13.45001637
1424.12500000	13.11550736
1428.44000000	12.54370904
1428.44000000	12.54370904
1428.44000000	12.54370904
1428.44000000	12.54370904
1429.07500000	11.78701780
1429.07500000	11.78701780
1429.71000000	8.60277622
1430.26000000	8.91874593
1430.26000000	8.91874593
1430.81000000	8.98731895
1430.81000000	8.98731895
1430.81000000	8.98731895
1430.81000000	8.98731895
1430.81000000	8.98731895
1430.81000000	8.98731895
1430.81000000	8.98731895
1440.46500000	12.69771468
1446.32500000	12.68650112
1446.49000000	13.06718088
1446.69000000	13.88928969
1446.87500000	14.36314834
1446.87500000	14.36314834
1447.06000000	14.04567930
1447.06000000	14.04567930
1447.25500000	14.55341799
1448.43500000	13.66131593
1448.43500000	13.66131593
1448.43500000	13.66131593
1448.43500000	13.66131593
1448.43500000	13.66131593
1450.85000000	12.94994689
1453.88500000	12.33040161
1455.49000000	12.22268843
1455.49000000	12.22268843
1455.49000000	12.22268843
1455.49000000	12.22268843
1458.07500000	10.74122151
1460.49500000	10.21502038
1460.49500000	10.21502038
1460.59000000	8.76382940
1461.13000000	8.98945359
1461.13000000	8.98945359
1461.67000000	8.61253198
1461.67000000	8.61253198
1461.74500000	8.46656024
1461.98000000	8.36810148
1461.98000000	8.36810148
1461.98000000	8.36810148
1461.98000000	8.36810148
1461.98000000	8.36810148
1466.31000000	8.86015545
1472.47500000	9.64117700
1474.47000000	9.14194876
1474.47000000	9.14194876
1474.47000000	9.14194876
1480.04000000	8.87944773
1485.61000000	8.67301979
1485.88000000	9.26803384
1486.57500000	9.17659551
1486.57500000	9.17659551
1487.70000000	9.53329365
1487.70000000	9.53329365
1487.70000000	9.53329365
1487.70000000	9.53329365
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.01500000	9.75836361
1488.33000000	9.96040475
1489.25500000	10.21367600
1490.32000000	10.52899604
1490.46000000	11.22168189
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1516.60000000	20.23903162
1536.88000000	5.60026795
1536.88000000	5.60026795
1536.88000000	5.60026795
1536.88000000	5.60026795
1536.88000000	5.60026795
1536.88000000	5.60026795
1536.88000000	5.60026795
1536.88000000	5.60026795
1536.88000000	5.60026795
1536.88000000	5.60026795
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.04757121
1547.44000000	6.23832068
1547.44000000	6.23832068
1547.44000000	6.23832068
1547.44000000	6.23832068
1547.44000000	6.23832068
1547.44000000	6.23832068
1547.44000000	6.23832068
1547.44000000	6.23832068
1547.44000000	6.23832068
1578.35000000	5.07442340
1578.35000000	5.07442340
1578.35000000	5.07442340
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	6.59264616
1580.88000000	7.22207803
1580.88000000	7.22207803
1600.68000000	7.46542400
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1600.68000000	7.82903101
1614.72000000	7.07836272
1614.72000000	7.07836272
1614.72000000	7.07836272
1614.72000000	7.07836272
1614.72000000	7.07836272
1614.72000000	7.07836272
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1614.72000000	4.88153642
1661.96000000	10.44484837
1662.86000000	9.75093884
1662.86000000	9.75093884
1664.22000000	9.77979483
1665.80500000	9.20833717
1665.80500000	9.20833717
1665.80500000	9.20833717
1665.80500000	9.20833717
1665.80500000	9.20833717
1665.80500000	9.20833717
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.03000000	8.85654336
1666.32500000	8.24609656
1666.62000000	8.27204869
1669.25500000	8.60108954
1671.89000000	8.13125638
1684.66000000	8.14336282
1684.66000000	8.14336282
1684.66000000	8.14336282
1684.66000000	8.14336282
1684.66000000	8.14336282
1684.66000000	8.14336282
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1684.66000000	9.20476846
1711.19000000	7.00802630
1711.19000000	7.00802630
1711.19000000	7.00802630
1711.19000000	7.00802630
1711.19000000	7.00802630
1711.19000000	7.00802630
1717.61000000	6.50183098
1717.61000000	6.50183098
1717.61000000	6.50183098
1717.61000000	6.50183098
1717.61000000	6.50183098
1717.61000000	6.50183098
1720.41500000	6.18067484
1720.41500000	6.18067484
1723.22000000	6.31069678
1724.06500000	6.36937641
1724.06500000	6.36937641
1724.06500000	6.36937641
1724.06500000	6.36937641
1724.06500000	6.36937641
1724.91000000	6.27329908
1724.91000000	6.27329908
1724.91000000	6.27329908
1724.91000000	6.27329908
1724.91000000	6.27329908
1724.91000000	6.27329908
1726.40000000	6.63743664
1726.40000000	6.63743664
1726.40000000	6.63743664
1726.40000000	6.63743664
1726.40000000	6.63743664
1726.40000000	6.63743664
1731.95000000	6.80483754
1731.95000000	6.80483754
1737.50000000	6.86588284
1745.95000000	9.56076228
1747.35000000	9.27784453
1747.35000000	9.27784453
1747.35000000	9.27784453
1747.35000000	9.27784453
1747.35000000	9.27784453
1747.35000000	9.27784453
1747.48500000	8.78585566
1747.48500000	8.78585566
1747.48500000	8.78585566
1747.48500000	8.78585566
1747.62000000	9.09305055
1747.62000000	9.09305055
1747.62000000	9.09305055
1747.62000000	9.09305055
1747.62000000	9.09305055
1747.62000000	9.09305055
1747.62000000	9.09305055
1747.62000000	9.09305055
1747.62000000	9.09305055
1750.69500000	8.17979088
1753.77000000	5.20579599
1753.77000000	5.20579599
1753.77000000	5.20579599
1753.77000000	5.20579599
1753.77000000	5.20579599
1779.67000000	5.14248849
1779.67000000	5.14248849
1779.67000000	5.14248849
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.60817165
1782.04000000	5.78644466
1782.04000000	5.78644466
