DEPTH d	VALUE d
1373.32000000	9.93667830
1373.53000000	13.44051373
1374.04000000	23.42871857
1374.04000000	23.42871857
1375.60500000	43.16677681
1375.60500000	43.16677681
1375.93000000	44.35792512
1376.30000000	45.72336115
1376.30000000	45.72336115
1379.74000000	48.19635574
1384.90000000	49.74244130
1386.99000000	52.90179335
1387.07500000	58.79406808
1387.29000000	77.94856969
1387.29000000	77.94856969
1387.42000000	80.59568350
1388.29000000	84.85382224
1388.29000000	84.85382224
1388.29000000	84.85382224
1389.16000000	83.41779599
1389.16000000	83.41779599
1393.65500000	79.32061217
1393.65500000	79.32061217
1393.65500000	79.32061217
1399.14000000	221.30854131
1399.14000000	221.30854131
1401.86000000	241.32047302
1401.86000000	241.32047302
1401.86000000	241.32047302
1401.86000000	241.32047302
1404.58000000	200.88428338
1408.90500000	196.86038065
1413.23000000	203.70882403
1413.23000000	203.70882403
1414.56000000	222.69313927
1415.71000000	228.27204847
1416.29500000	239.03267699
1416.29500000	239.03267699
1416.29500000	239.03267699
1417.18000000	260.45099064
1417.18000000	260.45099064
1417.48000000	237.09885133
1417.48000000	237.09885133
1417.88000000	255.80187304
1417.88000000	255.80187304
1417.88000000	255.80187304
1417.88000000	255.80187304
1417.88000000	255.80187304
1417.88000000	255.80187304
1417.88000000	255.80187304
1422.10500000	281.40059845
1426.20000000	280.66887196
1426.36500000	289.50991949
1426.36500000	289.50991949
1429.78000000	297.51762738
1433.03000000	298.44887773
1433.67000000	275.81130937
1433.79500000	266.53687803
1433.79500000	266.53687803
1434.34500000	240.57257340
1434.34500000	240.57257340
1434.34500000	240.57257340
1434.34500000	240.57257340
1436.90000000	183.56874687
1436.90000000	183.56874687
1436.90000000	183.56874687
1436.90000000	183.56874687
1436.90000000	183.56874687
1436.90000000	183.56874687
1436.90000000	183.56874687
1439.13500000	165.87980711
1439.78000000	148.91164150
1440.32000000	193.10841050
1448.03500000	217.94902909
1448.03500000	217.94902909
1448.03500000	217.94902909
1456.21500000	265.24150125
1460.40000000	258.30101638
1460.59000000	256.25302406
1460.59000000	256.25302406
1460.59000000	256.25302406
1460.95000000	259.42571957
1460.95000000	259.42571957
1460.95000000	259.42571957
1460.95000000	259.42571957
1460.95000000	259.42571957
1460.95000000	259.42571957
1460.95000000	259.42571957
1461.31000000	262.08965475
1461.31000000	262.08965475
1461.31000000	262.08965475
1461.56500000	262.18582832
1463.12500000	265.36451640
1471.58000000	287.73982610
1473.02500000	299.30427400
1474.98000000	306.89759296
1475.49000000	310.12500695
1476.71000000	324.07528470
1477.89000000	327.93514274
1478.13000000	329.23150855
1478.63000000	328.08694144
1478.89000000	327.33458709
1478.89000000	327.33458709
