DEPTH d	VALUE d
1373.32000000	0.01691235
1373.53000000	0.07210489
1374.04000000	0.00000000
1374.04000000	0.08059518
1375.60500000	0.00000000
1375.60500000	0.06769937
1375.93000000	0.01948527
1376.30000000	0.00000000
1376.30000000	0.00421454
1379.74000000	0.00209628
1384.90000000	0.01696902
1386.99000000	0.00000000
1387.07500000	1.00000000
1387.29000000	0.00000000
1387.29000000	0.22047051
1387.42000000	0.01224249
1388.29000000	0.00000000
1388.29000000	0.00000000
1388.29000000	0.03470538
1389.16000000	0.00000000
1389.16000000	0.01698130
1393.65500000	0.00000000
1393.65500000	0.00000000
1393.65500000	0.02237553
1399.14000000	0.00000000
1399.14000000	0.01442149
1401.86000000	0.00000000
1401.86000000	0.00000000
1401.86000000	0.00000000
1401.86000000	0.02555946
1404.58000000	0.00133229
1408.90500000	0.00014673
1413.23000000	0.00000000
1413.23000000	0.02791558
1414.56000000	0.01159390
1415.71000000	0.03188340
1416.29500000	0.00000000
1416.29500000	0.00000000
1416.29500000	0.02947769
1417.18000000	0.00000000
1417.18000000	0.09771322
1417.48000000	0.00000000
1417.48000000	0.07083045
1417.88000000	0.00000000
1417.88000000	0.00000000
1417.88000000	0.00000000
1417.88000000	0.00000000
1417.88000000	0.00000000
1417.88000000	0.00000000
1417.88000000	0.01212812
1422.10500000	0.00020308
1426.20000000	0.08389120
1426.36500000	0.00000000
1426.36500000	0.00082076
1429.78000000	0.00293607
1433.03000000	0.09886232
1433.67000000	0.14780778
1433.79500000	0.00000000
1433.79500000	0.03883942
1434.34500000	0.00000000
1434.34500000	0.00000000
1434.34500000	0.00000000
1434.34500000	0.01557636
1436.90000000	0.00000000
1436.90000000	0.00000000
1436.90000000	0.00000000
1436.90000000	0.00000000
1436.90000000	0.00000000
1436.90000000	0.00000000
1436.90000000	0.03575836
1439.13500000	0.12195874
1439.78000000	0.19084427
1440.32000000	0.00723600
1448.03500000	0.00000000
1448.03500000	0.00000000
1448.03500000	0.01417531
1456.21500000	0.01285301
1460.40000000	0.12007848
1460.59000000	0.00000000
1460.59000000	0.00000000
1460.59000000	0.00503061
1460.95000000	0.00000000
1460.95000000	0.00000000
1460.95000000	0.00000000
1460.95000000	0.00000000
1460.95000000	0.00000000
1460.95000000	0.00000000
1460.95000000	0.00158996
1461.31000000	0.00000000
1461.31000000	0.00000000
1461.31000000	0.00025825
1461.56500000	0.00868361
1463.12500000	0.00753746
1471.58000000	0.04245081
1473.02500000	0.01862636
1474.98000000	0.03314745
1475.49000000	0.04220488
1476.71000000	0.03843342
1477.89000000	0.09607142
1478.13000000	0.08288433
1478.63000000	0.05041743
1478.89000000	0.00000000
1478.89000000	0.01813030
1479.43500000	0.00000000
1479.43500000	0.00000000
1479.43500000	0.00000000
1479.43500000	0.00000000
1479.43500000	0.02283144
1479.98000000	0.00000000
1479.98000000	0.00000000
1479.98000000	0.09199648
1480.14000000	0.11056924
1480.30000000	0.05812286
1481.30500000	0.12907016
1481.66000000	0.04104743
1482.67000000	0.06842517
1483.49000000	0.27583140
1483.73000000	0.03438791
1486.51000000	0.00117021
1491.49500000	0.00154928
1497.99500000	0.03726555
1499.51000000	0.00000000
1499.51000000	0.03224767
1501.97000000	0.00000000
1501.97000000	0.00000000
1501.97000000	0.00000000
1501.97000000	0.00000000
1501.97000000	0.00000000
1501.97000000	0.00000000
1501.97000000	0.00000000
1501.97000000	0.00000000
1501.97000000	0.00000000
1501.97000000	0.00211456
1504.43000000	0.00000000
1504.43000000	0.00000000
1504.43000000	0.00000000
1504.43000000	0.00000000
1504.43000000	0.00000000
1504.43000000	0.00000000
1504.43000000	0.00000000
1529.86000000	0.00000000
1529.86000000	0.00000000
1529.86000000	0.00000000
1529.86000000	0.00000000
1529.86000000	0.00000000
1529.86000000	0.00000000
1529.86000000	0.03253647
1536.88000000	0.08798918
1537.94000000	0.50013112
1538.09500000	0.00000000
1538.09500000	0.00000000
1538.09500000	0.00000000
1538.09500000	0.00000000
1538.09500000	0.00000000
1538.09500000	0.00000000
1538.09500000	0.00000000
1538.09500000	0.36528957
1538.25000000	0.00000000
1538.25000000	0.00000000
1538.25000000	0.11178195
1538.86500000	0.00000000
1538.86500000	0.00000000
1538.86500000	0.00000000
1538.86500000	0.00000000
1538.86500000	0.11273246
1539.48000000	0.00000000
1539.48000000	0.00622742
1547.44000000	0.01132778
1556.28500000	0.02043460
1557.34000000	0.00000000
1557.34000000	0.00000000
1557.34000000	0.14641488
1557.63000000	0.00000000
1557.63000000	0.09871608
1557.92000000	0.00000000
1557.92000000	0.00000000
1557.92000000	0.04566950
1560.09500000	0.03024011
1562.27000000	0.00000000
1562.27000000	0.14925907
1563.20500000	0.00000000
1563.20500000	0.00000000
1563.20500000	0.00000000
1563.20500000	0.00000000
1563.20500000	0.01227929
1566.24000000	0.00000000
1566.24000000	0.02749788
1568.34000000	0.01199213
1569.95000000	0.00000000
1569.95000000	0.00000000
1569.95000000	0.00834352
1572.84000000	0.00396057
1575.73000000	0.00000000
1575.73000000	0.01150020
1577.04000000	0.00000000
1577.04000000	0.00000000
1577.04000000	0.00000000
1577.04000000	0.01172072
1578.35000000	0.04745659
1579.61500000	0.02157543
1585.01500000	0.00000000
1585.01500000	0.00993179
1589.15000000	0.00000000
1589.15000000	0.00000000
1589.15000000	0.05770214
1590.13000000	0.00000000
1590.13000000	0.00000000
1590.13000000	0.06877290
1591.15000000	0.00000000
1591.15000000	0.00000000
1591.15000000	0.06619321
1592.17000000	0.00000000
1592.17000000	0.00000000
1592.17000000	0.03964153
1595.69000000	0.00000000
1595.69000000	0.00000000
1595.69000000	0.00000000
1595.69000000	0.00000000
1595.69000000	0.01249696
1599.87500000	0.00868010
1604.06000000	0.00000000
1604.06000000	0.60327750
1604.19500000	0.01695522
1608.64500000	0.03329590
1613.32000000	0.01624886
1613.97500000	0.00378035
1614.49500000	0.00100180
1614.72000000	0.00901653
1615.23500000	0.00711658
1615.75000000	0.22531873
1615.93000000	0.17472624
1616.11000000	0.12988766
1616.52000000	0.05365683
1617.04500000	0.00529900
1617.92500000	0.00000000
1617.92500000	0.03987262
1618.77500000	0.09449437
1619.27000000	0.09238057
1619.73000000	0.00606221
1620.66500000	0.00000000
1620.66500000	0.00701500
1621.59500000	0.04968577
1622.33000000	0.04829561
1623.64000000	0.00294757
1626.36000000	0.02290826
1627.19000000	0.02189960
1628.38000000	0.02005835
1628.64000000	0.03009181
1629.34000000	0.02350875
1630.35500000	0.05608350
1631.66000000	0.12958632
1632.00000000	0.07315777
1633.12000000	0.06360941
1633.94000000	0.01986080
1634.38000000	0.01125941
1634.76500000	0.02954907
1635.53500000	0.00849119
1637.00000000	0.00438828
1639.35000000	0.04964723
1640.33500000	0.00567692
1641.16500000	0.04986987
1642.18000000	0.00811169
1643.64000000	0.02493118
1644.80500000	0.00131271
1645.18000000	0.00131242
1647.68000000	0.01107049
1648.32000000	0.01330596
1648.52000000	0.00215809
1649.41000000	0.00104864
1649.83000000	0.01184125
1650.44000000	0.00139607
1651.42500000	0.00273296
1652.22000000	0.00358165
1653.06000000	0.02187500
1653.26000000	0.00015148
1653.46000000	0.00393646
1654.52000000	0.00257603
1655.58000000	0.00067686
1656.35500000	0.00612454
1657.00000000	0.00218121
1658.37000000	0.00048059
1659.70000000	0.00273739
1662.10000000	0.00320447
1664.89500000	0.00000000
1664.89500000	0.00147335
1666.62000000	0.00608517
1668.84000000	0.00669653
1669.76500000	0.00217964
1670.50000000	0.00128598
1671.03000000	0.00856177
1671.46000000	0.00349430
1674.02500000	0.00000000
1674.02500000	0.00083716
1676.16000000	0.00000000
1676.16000000	0.00309410
1676.71000000	0.01212649
1677.26000000	0.02380907
1677.69500000	0.00807218
1678.84000000	0.00382910
1679.55000000	0.00914547
1680.67000000	0.00190230
1681.76000000	0.00010748
1685.74000000	0.00187650
1686.39500000	0.00000000
1686.39500000	0.00863833
1687.05000000	0.00759929
1687.95000000	0.00368273
1689.02000000	0.00053316
1690.87500000	0.00253080
1692.03000000	0.00112477
1692.91000000	0.02690758
1693.42000000	0.00812945
1694.23500000	0.00000000
1694.23500000	0.00361013
1695.05000000	0.00251388
1695.94000000	0.00000000
1695.94000000	0.00684575
1696.96500000	0.01272667
1697.99000000	0.00000000
1697.99000000	0.01308183
1698.72500000	0.01480040
1699.72500000	0.00264210
1699.99000000	0.00321884
1701.38500000	0.00504688
1703.49000000	0.00643792
1704.62000000	0.00212542
1708.11500000	0.00012104
1711.19000000	0.00097828
1714.42000000	0.00342101
1715.10500000	0.01041409
1715.79500000	0.00000000
1715.79500000	0.00828600
1716.12000000	0.00245447
1717.61000000	0.00286055
1718.09000000	0.00227894
1718.65000000	0.00219383
1719.13500000	0.01101901
1719.62000000	0.05764822
1719.89500000	0.00433467
1721.54000000	0.00048427
1722.91000000	0.04823241
1723.22000000	0.00000000
1723.22000000	0.00000000
1723.22000000	0.00379765
1723.93000000	0.00540518
1724.91000000	0.00453950
1726.40000000	0.00152072
1726.93000000	0.00130493
1728.46000000	0.00269864
1728.99000000	0.01230292
1729.33000000	0.00301773
1729.89000000	0.00173738
1730.45000000	0.00034679
1735.08000000	0.00032584
1735.77500000	0.00017257
1736.47000000	0.00235911
1737.50000000	0.00346219
1738.32000000	0.00646624
1740.53000000	0.00494975
1742.45000000	0.00100434
1742.98000000	0.01180567
1743.78000000	0.00145789
1745.30000000	0.00337164
1747.08500000	0.00628447
1747.35000000	0.01696213
1747.76000000	0.01394878
1748.38000000	0.00181893
1749.09000000	0.00316380
1750.62000000	0.00000000
1750.62000000	0.00246069
1751.48000000	0.00028648
1752.39000000	0.00075262
1752.90000000	0.00148841
1754.15000000	0.00065902
1755.23000000	0.00186136
1756.31000000	0.00088436
1757.49000000	0.00250310
1758.65000000	0.00035360
1760.47000000	0.00255459
1761.47000000	0.00222273
1762.52000000	0.00215999
1763.45500000	0.00343547
1764.09500000	0.00421696
1765.89000000	0.00503957
1766.59000000	0.00150927
1766.93000000	0.00199319
1767.88500000	0.00167372
1768.41000000	0.00201212
1770.29000000	0.00052494
1771.39000000	0.00106482
1772.31000000	0.00578755
1772.64000000	0.00108389
1773.24000000	0.00401575
1773.76000000	0.00079147
1774.10000000	0.00634951
1774.44000000	0.00178288
1775.61000000	0.00119558
1776.52000000	0.00401441
1777.33500000	0.00062983
1778.22500000	0.00452730
1778.79500000	0.00139286
1779.34500000	0.00554948
1780.20500000	0.00134146
1782.04000000	0.00395871
1782.52000000	0.00027240
1786.08000000	0.00232850
1787.14000000	0.00154975
1787.68000000	0.00524898
1788.61500000	0.00003591
1789.96500000	0.00549049
1790.87500000	0.00410508
1791.10000000	0.00018132
1794.34000000	0.00359615
1795.11000000	0.00000000
1795.11000000	0.00540813
1795.88000000	0.00161283
1796.96000000	0.00180407
1797.43000000	0.00659412
1797.90000000	0.00209863
1800.22000000	0.00374996
1800.76500000	0.00207989
1801.31000000	0.00058773
1801.93000000	0.01397954
1802.66000000	0.00210546
1803.23000000	0.00000000
1803.23000000	0.00640081
1804.65000000	0.00352753
1807.20000000	0.00321243
1808.90000000	0.00063884
