DEPTH d	VALUE d
1372.33000000	201.79138530
1373.32000000	202.37438379
1374.04000000	205.29368625
1374.66000000	206.20589320
1375.93000000	207.35706428
1379.37000000	207.89274731
1379.37000000	207.89274731
1384.71500000	236.42388131
1384.71500000	236.42388131
1385.02000000	236.20917190
1385.23000000	235.75746752
1385.82500000	236.18244874
1386.49000000	236.16063876
1386.99000000	235.79400587
1386.99000000	235.79400587
1387.07500000	235.77881452
1387.16000000	235.68131319
1387.16000000	235.68131319
1387.16000000	235.68131319
1387.78000000	235.95345499
1388.06500000	236.35818468
1391.23000000	236.27010487
1394.72500000	236.24550246
1395.03000000	236.03299934
1398.64500000	239.56433757
1399.14000000	240.38231896
1399.14000000	240.38231896
1399.14000000	240.38231896
1399.14000000	240.38231896
1399.14000000	240.38231896
1399.14000000	240.38231896
1402.72000000	239.55730841
1402.97000000	238.93987267
1403.22000000	237.66866271
1404.23000000	237.46209649
1405.24000000	237.84368583
1416.59000000	238.41365021
1416.59000000	238.41365021
1416.59000000	238.41365021
1417.03500000	237.73116036
1417.48000000	236.78898988
1417.48000000	236.78898988
1418.64500000	236.04053718
1418.64500000	236.04053718
1418.64500000	236.04053718
1419.81000000	236.79821488
1424.12500000	237.59389574
1428.44000000	237.52488455
1428.44000000	237.52488455
1428.44000000	237.52488455
1428.44000000	237.52488455
1429.07500000	237.15496227
1429.07500000	237.15496227
1429.71000000	237.98777854
1430.26000000	238.21824143
1430.26000000	238.21824143
1430.81000000	238.41127513
1430.81000000	238.41127513
1430.81000000	238.41127513
1430.81000000	238.41127513
1430.81000000	238.41127513
1430.81000000	238.41127513
1430.81000000	238.41127513
1440.46500000	238.65144398
1446.32500000	239.12304130
1446.49000000	238.92026322
1446.69000000	238.93039448
1446.87500000	239.21673007
1446.87500000	239.21673007
1447.06000000	238.54618851
1447.06000000	238.54618851
1447.25500000	239.16882384
1448.43500000	238.87110674
1448.43500000	238.87110674
1448.43500000	238.87110674
1448.43500000	238.87110674
1448.43500000	238.87110674
1450.85000000	238.96849013
1453.88500000	238.77974317
1455.49000000	238.64253192
1455.49000000	238.64253192
1455.49000000	238.64253192
1455.49000000	238.64253192
1458.07500000	238.54472078
