DEPTH d	VALUE d
1373.32000000	246.22330972
1373.53000000	246.36306849
1374.04000000	245.62850197
1374.04000000	245.62850197
1375.60500000	244.33643318
1375.60500000	244.33643318
1375.93000000	243.86592036
1376.30000000	243.82615624
1376.30000000	243.82615624
1379.74000000	243.78901823
1384.90000000	243.89771971
1386.99000000	243.27485355
1387.07500000	241.78667999
1387.29000000	235.23582248
1387.29000000	235.23582248
1387.42000000	235.82403906
1388.29000000	235.95938961
1388.29000000	235.95938961
1388.29000000	235.95938961
1389.16000000	235.24325222
1389.16000000	235.24325222
1393.65500000	237.63144834
1393.65500000	237.63144834
1393.65500000	237.63144834
1399.14000000	239.68709709
1399.14000000	239.68709709
1401.86000000	240.56397430
1401.86000000	240.56397430
1401.86000000	240.56397430
1401.86000000	240.56397430
1404.58000000	239.36504595
1408.90500000	239.04506912
1413.23000000	238.87820662
1413.23000000	238.87820662
1414.56000000	239.66588479
1415.71000000	239.92367869
1416.29500000	240.33267736
1416.29500000	240.33267736
1416.29500000	240.33267736
1417.18000000	240.73271337
1417.18000000	240.73271337
1417.48000000	239.99763703
1417.48000000	239.99763703
1417.88000000	240.53282321
1417.88000000	240.53282321
1417.88000000	240.53282321
1417.88000000	240.53282321
1417.88000000	240.53282321
1417.88000000	240.53282321
1417.88000000	240.53282321
1422.10500000	241.16687119
1426.20000000	241.20119201
1426.36500000	241.41298720
1426.36500000	241.41298720
1429.78000000	241.38794514
1433.03000000	241.58608042
1433.67000000	240.93991989
1433.79500000	240.61834584
1433.79500000	240.61834584
1434.34500000	240.27946000
1434.34500000	240.27946000
1434.34500000	240.27946000
1434.34500000	240.27946000
1436.90000000	239.50628300
1436.90000000	239.50628300
1436.90000000	239.50628300
1436.90000000	239.50628300
1436.90000000	239.50628300
1436.90000000	239.50628300
1436.90000000	239.50628300
1439.13500000	237.51964302
1439.78000000	235.02335724
1440.32000000	238.50322972
1448.03500000	239.78451705
1448.03500000	239.78451705
1448.03500000	239.78451705
1456.21500000	241.85641408
1460.40000000	241.86130625
1460.59000000	241.53868142
1460.59000000	241.53868142
1460.59000000	241.53868142
1460.95000000	241.44856811
1460.95000000	241.44856811
1460.95000000	241.44856811
1460.95000000	241.44856811
1460.95000000	241.44856811
1460.95000000	241.44856811
1460.95000000	241.44856811
1461.31000000	241.41513621
1461.31000000	241.41513621
1461.31000000	241.41513621
1461.56500000	241.37916612
1463.12500000	241.00650720
1471.58000000	244.01920358
1473.02500000	245.90851198
1474.98000000	246.52778453
1475.49000000	246.82800156
1476.71000000	247.75246439
1477.89000000	248.41707391
1478.13000000	248.03068096
1478.63000000	247.30523750
1478.89000000	247.59237560
1478.89000000	247.59237560
1479.43500000	247.34535078
1479.43500000	247.34535078
1479.43500000	247.34535078
1479.43500000	247.34535078
1479.43500000	247.34535078
1479.98000000	247.62451238
1479.98000000	247.62451238
1479.98000000	247.62451238
1480.14000000	247.94393562
1480.30000000	248.30023777
1481.30500000	247.16329350
1481.66000000	245.80374838
1482.67000000	244.96760335
1483.49000000	243.75809553
1483.73000000	242.16619816
1486.51000000	239.39914838
1491.49500000	239.36755490
1497.99500000	239.44685440
1499.51000000	238.47912363
1499.51000000	238.47912363
1501.97000000	236.13592032
1501.97000000	236.13592032
1501.97000000	236.13592032
1501.97000000	236.13592032
1501.97000000	236.13592032
1501.97000000	236.13592032
1501.97000000	236.13592032
1501.97000000	236.13592032
1501.97000000	236.13592032
1501.97000000	236.13592032
1504.43000000	236.40502260
1504.43000000	236.40502260
1504.43000000	236.40502260
1504.43000000	233.64126565
1504.43000000	233.64126565
1504.43000000	233.64126565
1504.43000000	233.64126565
1529.86000000	235.73023746
1529.86000000	235.73023746
1529.86000000	235.73023746
1529.86000000	235.73023746
1529.86000000	235.73023746
1529.86000000	235.73023746
1529.86000000	235.73023746
1536.88000000	242.54364576
1537.94000000	244.01148978
1538.09500000	245.97794600
1538.09500000	245.97794600
1538.09500000	245.97794600
1538.09500000	245.97794600
1538.09500000	245.97794600
1538.09500000	245.97794600
1538.09500000	245.97794600
1538.09500000	245.97794600
1538.25000000	244.98952431
1538.25000000	244.98952431
1538.25000000	244.98952431
1538.86500000	245.99399577
1538.86500000	245.99399577
1538.86500000	245.99399577
1538.86500000	245.99399577
1538.86500000	245.99399577
1539.48000000	247.80801765
1539.48000000	247.80801765
1547.44000000	248.98144002
1556.28500000	251.18233928
1557.34000000	251.06453325
1557.34000000	251.06453325
1557.34000000	251.06453325
1557.63000000	249.99846775
1557.63000000	249.99846775
1557.92000000	249.24216763
1557.92000000	249.24216763
1557.92000000	249.24216763
1560.09500000	250.38370801
1562.27000000	249.41595846
1562.27000000	249.41595846
1563.20500000	248.34946071
1563.20500000	248.34946071
1563.20500000	248.34946071
1563.20500000	248.34946071
1563.20500000	248.34946071
1566.24000000	247.30448267
1566.24000000	247.30448267
1568.34000000	246.12548618
1569.95000000	245.44891003
1569.95000000	245.44891003
1569.95000000	245.44891003
1572.84000000	245.73198409
1575.73000000	245.74436286
1575.73000000	245.74436286
1577.04000000	245.75106182
1577.04000000	245.75106182
1577.04000000	245.75106182
1577.04000000	245.75106182
1578.35000000	246.48754573
1579.61500000	245.02436669
1585.01500000	245.73105681
1585.01500000	245.73105681
1589.15000000	244.90483946
1589.15000000	244.90483946
1589.15000000	244.90483946
1590.13000000	243.54073112
1590.13000000	243.54073112
1590.13000000	243.54073112
1591.15000000	241.57762430
1591.15000000	241.57762430
1591.15000000	241.57762430
1592.17000000	239.52849582
1592.17000000	239.52849582
1592.17000000	239.52849582
1595.69000000	243.59069685
1595.69000000	243.59069685
1595.69000000	243.59069685
1595.69000000	243.59069685
1595.69000000	243.59069685
1599.87500000	244.44465780
1604.06000000	245.23444683
1604.06000000	245.23444683
1604.19500000	246.48260876
1608.64500000	248.29155628
1613.32000000	246.68763176
1613.97500000	246.86466638
1614.49500000	246.43519235
1614.72000000	246.28014305
1615.23500000	246.06193239
1615.75000000	245.87850233
1615.93000000	246.93963076
1616.11000000	247.68028543
1616.52000000	248.88557811
1617.04500000	249.55519352
1617.92500000	249.66313227
1617.92500000	249.66313227
1618.77500000	249.57854813
1619.27000000	248.98743869
1619.73000000	248.37372429
1620.66500000	248.26927202
1620.66500000	248.26927202
1621.59500000	248.21543385
1622.33000000	247.76150119
1623.64000000	246.87421194
1626.36000000	247.03825091
1627.19000000	246.73360470
1628.38000000	246.38034050
1628.64000000	246.38934960
1629.34000000	246.02018234
1630.35500000	245.60326635
1631.66000000	243.95743537
1632.00000000	242.87845601
1633.12000000	240.74791899
1633.94000000	239.19348842
1634.38000000	238.95156145
1634.76500000	238.78798392
1635.53500000	237.87504699
1637.00000000	238.05447880
1639.35000000	238.12141907
1640.33500000	236.78694153
1641.16500000	236.57950789
1642.18000000	234.96677243
1643.64000000	233.87417114
1644.80500000	233.86514229
