DEPTH d	VALUE d
1372.33000000	0.00981667
1373.32000000	0.07073126
1374.04000000	0.03961438
1374.66000000	0.22898303
1375.93000000	0.01068397
1379.37000000	0.00000000
1379.37000000	0.10541799
1384.71500000	0.00000000
1384.71500000	0.03525735
1385.02000000	0.19863604
1385.23000000	0.49772618
1385.82500000	0.25347169
1386.49000000	0.15248961
1386.99000000	0.00000000
1386.99000000	0.00000000
1387.07500000	0.00000000
1387.16000000	0.00000000
1387.16000000	0.00000000
1387.16000000	0.06619069
1387.78000000	0.19122535
1388.06500000	0.00516369
1391.23000000	0.02901102
1394.72500000	0.10740337
1395.03000000	0.17942625
1398.64500000	0.04466174
1399.14000000	0.00000000
1399.14000000	0.00000000
1399.14000000	0.00000000
1399.14000000	0.00000000
1399.14000000	0.00000000
1399.14000000	0.03866263
1402.72000000	0.46868863
1402.97000000	1.00000000
1403.22000000	0.07176055
1404.23000000	0.10752323
1405.24000000	0.00616656
1416.59000000	0.00000000
1416.59000000	0.00000000
1416.59000000	0.14455778
1417.03500000	0.05792252
1417.48000000	0.00000000
1417.48000000	0.01440854
1418.64500000	0.00000000
1418.64500000	0.00000000
1418.64500000	0.06736920
1419.81000000	0.01308928
1424.12500000	0.00542989
1428.44000000	0.00000000
1428.44000000	0.00000000
1428.44000000	0.00000000
1428.44000000	0.19200370
1429.07500000	0.00000000
1429.07500000	0.32550668
1429.71000000	0.11040475
1430.26000000	0.00000000
1430.26000000	0.04511934
1430.81000000	0.00000000
1430.81000000	0.00000000
1430.81000000	0.00000000
1430.81000000	0.00000000
1430.81000000	0.00000000
1430.81000000	0.00000000
1430.81000000	0.02769663
1440.46500000	0.00206673
1446.32500000	0.22399222
1446.49000000	0.21980872
1446.69000000	0.18204300
1446.87500000	0.00000000
1446.87500000	0.14809689
1447.06000000	0.00000000
1447.06000000	0.70366735
1447.25500000	0.08642318
1448.43500000	0.00000000
1448.43500000	0.00000000
1448.43500000	0.00000000
1448.43500000	0.00000000
1448.43500000	0.02500260
1450.85000000	0.01551501
1453.88500000	0.00541900
1455.49000000	0.00000000
1455.49000000	0.00000000
1455.49000000	0.00000000
1455.49000000	0.03363002
1458.07500000	0.00964902
1460.49500000	0.00000000
1460.49500000	0.00000000
1460.59000000	0.00510781
1461.13000000	0.00000000
1461.13000000	0.01606616
1461.67000000	0.00000000
1461.67000000	0.00000000
1461.74500000	0.00173731
1461.98000000	0.00000000
1461.98000000	0.00000000
1461.98000000	0.00000000
1461.98000000	0.00000000
1461.98000000	0.00225258
1466.31000000	0.00000899
1472.47500000	0.09530192
1474.47000000	0.00000000
1474.47000000	0.00000000
1474.47000000	0.00075333
1480.04000000	0.00141952
1485.61000000	0.25338259
1485.88000000	0.00956859
1486.57500000	0.00000000
1486.57500000	0.03297727
1487.70000000	0.00000000
1487.70000000	0.00000000
1487.70000000	0.00000000
1487.70000000	0.11887588
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.02436563
1488.33000000	0.02023852
1489.25500000	0.07290198
1490.32000000	0.04001136
1490.46000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00000000
1536.88000000	0.00338651
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1547.44000000	0.00000000
1578.35000000	0.00000000
1578.35000000	0.00000000
1578.35000000	0.01369082
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00000000
1580.88000000	0.00728525
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.04179053
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1614.72000000	0.00000000
1661.96000000	0.17317510
1662.86000000	0.00000000
1662.86000000	0.01095717
1664.22000000	0.05024644
1665.80500000	0.00000000
1665.80500000	0.00000000
1665.80500000	0.00000000
1665.80500000	0.00000000
1665.80500000	0.00000000
1665.80500000	0.28523263
1666.03000000	0.00000000
1666.03000000	0.00000000
1666.03000000	0.00000000
1666.03000000	0.00000000
1666.03000000	0.00000000
1666.03000000	0.00000000
1666.03000000	0.00000000
1666.03000000	0.00000000
1666.03000000	0.00000000
1666.03000000	0.19310312
1666.32500000	0.02548852
1666.62000000	0.01651757
1669.25500000	0.01847792
1671.89000000	0.00111368
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1711.19000000	0.00000000
1711.19000000	0.00000000
1711.19000000	0.00000000
1711.19000000	0.00000000
1711.19000000	0.00000000
1711.19000000	0.00058017
1717.61000000	0.00000000
1717.61000000	0.00000000
1717.61000000	0.00000000
1717.61000000	0.00000000
1717.61000000	0.00000000
1717.61000000	0.01070192
1720.41500000	0.00000000
1720.41500000	0.01137108
1723.22000000	0.01633247
1724.06500000	0.00000000
1724.06500000	0.00000000
1724.06500000	0.00000000
1724.06500000	0.00000000
1724.06500000	0.00657113
1724.91000000	0.00000000
1724.91000000	0.00000000
1724.91000000	0.00000000
1724.91000000	0.00000000
1724.91000000	0.00000000
1724.91000000	0.02308505
1726.40000000	0.00000000
1726.40000000	0.00000000
1726.40000000	0.00000000
1726.40000000	0.00000000
1726.40000000	0.00000000
1726.40000000	0.00872009
1731.95000000	0.00000000
1731.95000000	0.00052826
1737.50000000	0.02637841
1745.95000000	0.01765299
1747.35000000	0.00000000
1747.35000000	0.00000000
1747.35000000	0.00000000
1747.35000000	0.00000000
1747.35000000	0.00000000
1747.35000000	0.59803660
1747.48500000	0.00000000
1747.48500000	0.00000000
1747.48500000	0.00000000
1747.48500000	0.15158768
1747.62000000	0.00000000
1747.62000000	0.00000000
1747.62000000	0.00000000
1747.62000000	0.00000000
1747.62000000	0.00000000
1747.62000000	0.00000000
1747.62000000	0.00000000
1747.62000000	0.00000000
1747.62000000	0.02951113
1750.69500000	0.08215707
1753.77000000	0.00000000
1753.77000000	0.00000000
1753.77000000	0.00000000
1753.77000000	0.00000000
1753.77000000	0.00000000
1779.67000000	0.00000000
1779.67000000	0.00000000
1779.67000000	0.01709623
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
1782.04000000	0.00000000
