DEPTH d	VALUE d
1384.71500000	11.36787185
1385.66000000	2.08618967
1385.66000000	2.08618967
1385.66000000	2.08618967
1385.82500000	1.96847724
1386.88500000	1.81257977
1386.88500000	1.81257977
1386.88500000	1.81257977
1386.88500000	1.81257977
1386.88500000	1.81257977
1386.88500000	1.81257977
1386.88500000	1.81257977
1386.88500000	1.81257977
1387.78000000	1.79393988
1388.35000000	2.31924805
1394.11000000	2.42412692
1395.03000000	1.99433870
1395.03000000	1.99433870
1398.87500000	2.13986802
1402.72000000	2.36550050
1402.72000000	2.36550050
1402.72000000	2.36550050
1402.72000000	2.36550050
1402.72000000	2.36550050
1402.97000000	2.63458692
1404.23000000	3.59665537
1404.23000000	3.59665537
1405.24000000	5.17890302
1405.24000000	5.17890302
1405.24000000	5.17890302
1410.91500000	4.12023114
1410.91500000	4.12023114
1410.91500000	4.12023114
1416.59000000	4.83541192
1418.20000000	5.37766889
1418.20000000	5.37766889
1419.81000000	5.92242046
1419.81000000	5.92242046
1419.81000000	5.92242046
1424.12500000	3.94976985
1428.44000000	4.27529983
1429.07500000	3.73160836
1429.07500000	3.73160836
1429.07500000	3.73160836
1429.07500000	3.73160836
1429.07500000	3.73160836
1429.07500000	3.73160836
1429.71000000	3.70469389
1429.71000000	3.70469389
1429.71000000	3.70469389
1430.26000000	4.33443190
1430.26000000	4.33443190
1430.26000000	4.33443190
1430.26000000	4.33443190
1430.26000000	4.33443190
1430.26000000	4.33443190
1430.26000000	4.33443190
1446.32500000	2.91246037
1446.49000000	2.78165540
1446.59000000	3.09661272
1446.87500000	3.39672108
1447.06000000	4.19864373
1447.06000000	4.19864373
1447.25500000	3.84491496
1447.25500000	3.84491496
1447.25500000	3.84491496
1447.45000000	3.38683346
1447.45000000	3.38683346
1447.45000000	3.38683346
1447.45000000	3.38683346
1447.45000000	3.38683346
1447.45000000	3.38683346
1449.42000000	2.58743174
1449.42000000	2.58743174
1449.42000000	2.58743174
1449.42000000	2.58743174
1449.42000000	2.58743174
1455.49000000	1.52887851
1458.58000000	1.52715632
1458.58000000	1.52715632
1461.67000000	1.62236068
1461.90500000	1.50572371
1461.90500000	1.50572371
1462.14000000	1.72858639
1462.14000000	1.72858639
1462.14000000	1.72858639
1466.31000000	1.92159594
1466.31000000	1.92159594
1466.31000000	1.92159594
1466.31000000	1.92159594
1466.31000000	1.92159594
1466.31000000	1.92159594
1470.48000000	0.77000000
1470.48000000	0.77000000
1470.48000000	0.77000000
1470.48000000	0.77000000
1485.74500000	2.72543722
1485.74500000	2.72543722
1486.57500000	2.28436372
1487.27000000	2.43145917
1487.27000000	2.43145917
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1488.01500000	3.50105934
1489.25500000	3.83823446
1489.25500000	3.83823446
1490.32000000	4.85308906
1490.46000000	5.46111691
1490.46000000	5.46111691
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1516.60000000	9.96687841
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1600.68000000	3.04000000
1661.96000000	0.30000000
1662.86000000	2.36955235
1662.86000000	2.36955235
1662.86000000	2.36955235
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.58000000	2.33455928
1665.80500000	2.66074533
1666.03000000	2.24214380
1666.03000000	2.24214380
1675.34500000	2.00257551
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1684.66000000	1.61000000
1745.95000000	0.30000000
1745.95000000	0.30000000
