DEPTH d	VALUE d
1384.71500000	0.93412310
1385.66000000	1.00000000
1385.82500000	0.22161513
1386.88500000	0.03924840
1387.78000000	0.09101752
1388.35000000	0.01441378
1394.11000000	0.32901390
1395.03000000	0.08595315
1398.87500000	0.01879303
1402.72000000	0.18660921
1402.97000000	0.11848034
1404.23000000	0.28918563
1405.24000000	0.02228482
1410.91500000	0.01960845
1416.59000000	0.04695066
1418.20000000	0.05542921
1419.81000000	0.05083651
1424.12500000	0.00652693
1428.44000000	0.10316250
1429.07500000	0.39475772
1429.71000000	0.16155763
1430.26000000	0.01160060
1446.32500000	0.02857020
1446.49000000	0.58665979
1446.59000000	0.18245777
1446.87500000	0.35984289
1447.06000000	0.31289629
1447.25500000	0.21796437
1447.45000000	0.01742281
1449.42000000	0.01055232
1455.49000000	0.00350092
1458.58000000	0.04155490
1461.67000000	0.13996798
1461.90500000	0.04982880
1462.14000000	0.00271917
1466.31000000	0.03700434
1470.48000000	0.01093152
1485.74500000	0.06283922
1486.57500000	0.02749290
1487.27000000	0.06977782
1488.01500000	0.02081639
1489.25500000	0.07718118
1490.32000000	0.04626882
1490.46000000	0.04923655
1516.60000000	0.01108082
1600.68000000	0.00677546
1661.96000000	0.17922716
1662.86000000	0.00432932
1665.58000000	0.25636123
1665.80500000	0.20423887
1666.03000000	0.00182331
1675.34500000	0.00368735
1684.66000000	0.00219271
