DEPTH d	VALUE d
1374.06000000	0.00084084
1378.41000000	0.00000000
1378.41000000	0.56542152
1378.57500000	1.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1401.47000000	0.90345532
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.93000000	0.00000000
1401.98000000	0.05632233
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00253599
1408.01000000	0.22056837
1409.70000000	0.00000000
1409.70000000	0.00000000
1409.70000000	0.00835619
1417.56000000	0.00000000
1417.56000000	0.00000000
1417.56000000	0.00428240
1424.66000000	0.05281290
1424.99000000	0.75253459
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.01532767
1430.36000000	0.00888863
1435.65500000	0.00000000
1435.65500000	0.00000000
1435.65500000	0.00000000
1435.65500000	0.00000000
1435.65500000	0.01711798
1435.91000000	0.00000000
1435.91000000	0.25658493
1436.28000000	0.02784041
1438.64000000	0.00568557
1442.59000000	0.06407212
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.10677156
1443.15000000	0.04360362
1443.69000000	0.00000000
1443.69000000	0.00000000
1443.69000000	0.00000000
1443.69000000	0.00000000
1443.69000000	0.01886910
1444.45000000	0.00000000
1444.45000000	0.02217538
1445.40500000	0.50814173
1445.60000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.03453886
1503.01000000	0.00000000
1503.01000000	0.00000000
1503.01000000	0.00000000
1503.01000000	0.00000000
1503.01000000	0.21510503
1503.36000000	0.00000000
1503.36000000	0.00000000
1503.36000000	0.00000000
1503.36000000	0.00000000
1503.36000000	0.02218274
1505.81500000	0.00000000
1505.81500000	0.03017710
1508.27000000	0.01002300
1511.86500000	0.01025704
1515.46000000	0.00000000
1515.56000000	0.01608296
1517.21000000	0.07016484
1517.41000000	0.00000000
1517.41000000	0.00000000
1517.41000000	0.02713846
1517.79000000	0.00000000
1517.79000000	0.07038663
1518.17500000	0.00000000
1518.17500000	0.03263461
1518.56000000	0.04906450
1519.38000000	0.00174730
1519.93500000	0.00682415
1520.49000000	0.00266274
1522.02000000	0.00151459
1524.05500000	0.00000000
1524.05500000	0.00000000
1524.05500000	0.02879922
1524.56000000	0.00939609
1525.97000000	0.00914136
1527.38000000	0.01433338
1528.48000000	0.06691689
1529.07000000	0.06224442
1529.70000000	0.00000000
1529.70000000	0.00000000
1529.70000000	0.00000000
1529.70000000	0.01171181
1530.33000000	0.07015552
1530.64500000	0.00000000
1530.64500000	0.07048563
1530.96000000	0.15237724
1531.60000000	0.08601235
1531.74000000	0.18668140
1531.88000000	0.00073309
1540.20000000	0.04070808
1548.52000000	0.06344801
1553.03500000	0.00000000
1553.03500000	0.37144304
1553.16000000	0.01345709
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.03971121
1555.54000000	0.07262386
1556.08000000	0.00000000
1556.08000000	0.00000000
1556.08000000	0.00000000
1556.08000000	0.08059384
1556.54000000	0.00144249
1567.20000000	0.00000000
1567.20000000	0.00880114
1569.58500000	0.01925135
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.55168598
1572.32000000	0.00000000
1572.32000000	0.00766512
1580.82000000	0.02774457
1589.66500000	0.00000000
1589.66500000	0.26046321
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00348952
1599.91000000	0.04162799
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1716.95000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00000000
1739.42000000	0.00958102
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1750.22000000	0.00000000
1782.78000000	0.00000000
1782.78000000	0.09898567
