DEPTH d	VALUE d
1374.06000000	265.34652141
1378.41000000	270.39918789
1378.41000000	270.39918789
1378.57500000	270.81331969
1378.74000000	267.71390872
1378.74000000	267.71390872
1378.74000000	267.71390872
1378.74000000	267.71390872
1378.74000000	267.71390872
1378.74000000	267.71390872
1378.74000000	267.71390872
1378.74000000	267.71390872
1401.47000000	249.35559468
1401.88000000	244.45799562
1401.88000000	244.45799562
1401.88000000	244.45799562
1401.88000000	244.45799562
1401.88000000	244.45799562
1401.88000000	244.45799562
1401.93000000	245.47529036
1401.98000000	246.82212816
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1404.99500000	249.67759852
1408.01000000	249.74772000
1409.70000000	257.32715410
1409.70000000	257.32715410
1409.70000000	257.32715410
1417.56000000	252.08891870
1417.56000000	252.08891870
1417.56000000	252.08891870
1424.66000000	252.70235749
1424.99000000	252.34815538
1425.32000000	245.24849364
1425.32000000	245.24849364
1425.32000000	245.24849364
1425.32000000	245.24849364
1425.32000000	245.24849364
1430.36000000	245.52293492
1435.65500000	243.92383186
1435.65500000	243.92383186
1435.65500000	243.92383186
1435.65500000	243.92383186
1435.65500000	243.92383186
1435.91000000	242.28286582
1435.91000000	242.28286582
1436.28000000	242.43645005
1438.64000000	241.58425000
1442.59000000	241.41054384
1442.87000000	241.29498463
1442.87000000	241.29498463
1442.87000000	241.29498463
1442.87000000	241.29498463
1442.87000000	241.29498463
1442.87000000	241.29498463
1442.87000000	241.29498463
1442.87000000	241.29498463
1442.87000000	241.29498463
1443.15000000	240.71038678
1443.69000000	240.35689702
1443.69000000	240.35689702
1443.69000000	240.35689702
1443.69000000	240.35689702
1443.69000000	240.35689702
1444.45000000	241.81045655
1444.45000000	241.81045655
1445.40500000	241.01946611
1445.60000000	244.74868412
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1503.01000000	240.36560121
1503.01000000	240.36560121
1503.01000000	240.36560121
1503.01000000	240.36560121
1503.01000000	240.36560121
1503.36000000	241.60311052
1503.36000000	241.60311052
1503.36000000	241.60311052
1503.36000000	241.60311052
1503.36000000	241.60311052
1505.81500000	237.22062899
1505.81500000	237.22062899
1508.27000000	238.25256647
1511.86500000	239.27605765
1515.46000000	240.82835954
1515.56000000	243.00345773
1517.21000000	244.51389689
1517.41000000	245.30768414
1517.41000000	245.30768414
1517.41000000	245.30768414
1517.79000000	247.76553572
1517.79000000	247.76553572
1518.17500000	247.28813773
1518.17500000	247.28813773
1518.56000000	246.30395519
1519.38000000	245.52796958
1519.93500000	245.00530973
1520.49000000	244.28922083
1522.02000000	243.88746101
1524.05500000	243.13374900
1524.05500000	243.13374900
1524.05500000	243.13374900
1524.56000000	243.25317529
1525.97000000	243.23674164
1527.38000000	242.86324379
1528.48000000	241.74082877
