DEPTH d	VALUE d
1374.06000000	0.03611120
1378.41000000	0.00000000
1378.41000000	0.07803065
1378.57500000	0.58399053
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1378.74000000	0.00000000
1401.47000000	0.37137268
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.88000000	0.00000000
1401.93000000	0.00000000
1401.98000000	0.02944428
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00000000
1404.99500000	0.00072306
1408.01000000	0.13943142
1409.70000000	0.00000000
1409.70000000	0.00000000
1409.70000000	0.02071920
1417.56000000	0.00000000
1417.56000000	0.00000000
1417.56000000	0.00268611
1424.66000000	0.03336935
1424.99000000	0.66885857
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00169289
1430.36000000	0.00938904
1435.65500000	0.00000000
1435.65500000	0.00000000
1435.65500000	0.00000000
1435.65500000	0.00000000
1435.65500000	0.20006448
1435.91000000	0.00000000
1435.91000000	0.01290492
1436.28000000	0.01122639
1438.64000000	0.00136719
1442.59000000	0.01283090
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.00000000
1442.87000000	0.06490972
1443.15000000	0.02035137
1443.69000000	0.00000000
1443.69000000	0.00000000
1443.69000000	0.00000000
1443.69000000	0.00000000
1443.69000000	0.05946067
1444.45000000	0.00000000
1444.45000000	0.02575007
1445.40500000	0.59455734
1445.60000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.04340251
1503.01000000	0.00000000
1503.01000000	0.00000000
1503.01000000	0.00000000
1503.01000000	0.00000000
1503.01000000	0.10992362
1503.36000000	0.00000000
1503.36000000	0.00000000
1503.36000000	0.00000000
1503.36000000	0.00000000
1503.36000000	0.05549824
1505.81500000	0.00000000
1505.81500000	0.01306810
1508.27000000	0.00885107
1511.86500000	0.01342418
1515.46000000	0.00000000
1515.56000000	0.02845967
1517.21000000	0.12339135
1517.41000000	0.00000000
1517.41000000	0.00000000
1517.41000000	0.20108637
1517.79000000	0.00000000
1517.79000000	0.03855054
1518.17500000	0.00000000
1518.17500000	0.07947408
1518.56000000	0.02942052
1519.38000000	0.02927769
1519.93500000	0.04011294
1520.49000000	0.00816367
1522.02000000	0.01151467
1524.05500000	0.00000000
1524.05500000	0.00000000
1524.05500000	0.00735223
1524.56000000	0.00036235
1525.97000000	0.00823530
1527.38000000	0.03172279
1528.48000000	0.09113455
1529.07000000	0.06781749
1529.70000000	0.00000000
1529.70000000	0.00000000
1529.70000000	0.00000000
1529.70000000	0.03564474
1530.33000000	0.04951694
1530.64500000	0.00000000
1530.64500000	0.01541404
1530.96000000	0.08397966
1531.60000000	0.00084909
1531.74000000	0.21385010
1531.88000000	0.00226025
1540.20000000	0.02337654
1548.52000000	0.01967155
1553.03500000	0.00000000
1553.03500000	0.99757601
1553.16000000	0.08122627
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.00000000
1555.00000000	0.02747892
1555.54000000	0.06093067
1556.08000000	0.00000000
1556.08000000	0.00000000
1556.08000000	0.00000000
1556.08000000	0.10683699
1556.54000000	0.01263714
1567.20000000	0.00000000
1567.20000000	0.00973210
1569.58500000	0.02962268
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.00000000
1572.14500000	0.52771915
1572.32000000	0.00000000
1572.32000000	0.02512898
1580.82000000	0.00572660
1589.66500000	0.00000000
1589.66500000	0.35468189
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00000000
1590.20000000	0.00917277
1599.91000000	0.00036430
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1610.48000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1637.66000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
1663.33000000	0.00000000
