DEPTH d	VALUE d
1374.06000000	260.58538131
1378.41000000	267.71859245
1378.41000000	267.71859245
1378.57500000	267.81041443
1378.74000000	266.87161016
1378.74000000	266.87161016
1378.74000000	266.87161016
1378.74000000	266.87161016
1378.74000000	266.87161016
1378.74000000	266.87161016
1378.74000000	266.87161016
1378.74000000	266.87161016
1401.47000000	249.34278295
1401.88000000	242.05989283
1401.88000000	242.05989283
1401.88000000	242.05989283
1401.88000000	242.05989283
1401.88000000	242.05989283
1401.88000000	242.05989283
1401.93000000	243.06228476
1401.98000000	244.11411908
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1404.99500000	244.89190903
1408.01000000	244.58027692
1409.70000000	252.94196826
1409.70000000	252.94196826
1409.70000000	252.94196826
1417.56000000	247.40644414
1417.56000000	247.40644414
1417.56000000	247.40644414
1424.66000000	247.53473980
1424.99000000	246.37681708
1425.32000000	243.83732122
1425.32000000	243.83732122
1425.32000000	243.83732122
1425.32000000	243.83732122
1425.32000000	243.83732122
1430.36000000	244.34380514
1435.65500000	242.59607932
1435.65500000	242.59607932
1435.65500000	242.59607932
1435.65500000	242.59607932
1435.65500000	242.59607932
1435.91000000	240.13988229
1435.91000000	240.13988229
1436.28000000	240.48664509
1438.64000000	239.31530529
1442.59000000	238.91582525
1442.87000000	238.93229695
1442.87000000	238.93229695
1442.87000000	238.93229695
1442.87000000	238.93229695
1442.87000000	238.93229695
1442.87000000	238.93229695
1442.87000000	238.93229695
1442.87000000	238.93229695
1442.87000000	238.93229695
1443.15000000	238.36748526
1443.69000000	237.66574161
1443.69000000	237.66574161
1443.69000000	237.66574161
1443.69000000	237.66574161
1443.69000000	237.66574161
1444.45000000	239.28249501
1444.45000000	239.28249501
1445.40500000	237.95860729
1445.60000000	242.54223581
1493.33000000	253.86665579
1493.33000000	253.86665579
1493.33000000	253.86665579
1493.33000000	253.86665579
1493.33000000	253.86665579
1493.33000000	253.86665579
1493.33000000	253.86665579
1493.33000000	253.86665579
1493.33000000	253.86665579
1493.33000000	253.86665579
1503.01000000	235.44686420
1503.01000000	235.44686420
1503.01000000	235.44686420
1503.01000000	235.44686420
1503.01000000	235.44686420
1503.36000000	237.17941089
1503.36000000	237.17941089
1503.36000000	237.17941089
1503.36000000	237.17941089
1503.36000000	237.17941089
1505.81500000	234.11006855
1505.81500000	234.11006855
1508.27000000	235.44787080
1511.86500000	236.58028888
1515.46000000	237.90247233
1515.56000000	239.80682370
1517.21000000	241.28929916
1517.41000000	241.97363362
1517.41000000	241.97363362
1517.41000000	241.97363362
1517.79000000	245.91525802
1517.79000000	245.91525802
1518.17500000	245.34158871
1518.17500000	245.34158871
1518.56000000	243.92193216
1519.38000000	242.82173296
1519.93500000	242.27016499
1520.49000000	241.38222455
1522.02000000	240.98137861
1524.05500000	240.17051566
1524.05500000	240.17051566
1524.05500000	240.17051566
1524.56000000	240.20983238
1525.97000000	240.09351447
1527.38000000	239.67272276
1528.48000000	238.64225254
1529.07000000	237.35320661
1529.70000000	237.10653201
1529.70000000	237.10653201
1529.70000000	237.10653201
1529.70000000	237.10653201
1530.33000000	236.74948212
1530.64500000	236.47110502
1530.64500000	236.47110502
1530.96000000	236.57266482
1531.60000000	237.28389533
1531.74000000	237.09547357
1531.88000000	238.01812738
1540.20000000	238.33876530
1548.52000000	247.11282947
1553.03500000	243.15859142
1553.03500000	243.15859142
1553.16000000	243.85846303
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.00000000	248.07809122
1555.54000000	247.92870183
1556.08000000	248.80825736
1556.08000000	248.80825736
1556.08000000	248.80825736
1556.08000000	248.80825736
1556.54000000	250.91255476
1567.20000000	257.05366574
1567.20000000	257.05366574
1569.58500000	256.25515300
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.14500000	254.23026955
1572.32000000	259.00527370
1572.32000000	259.00527370
1580.82000000	247.31911405
1589.66500000	246.08985172
1589.66500000	246.08985172
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1590.20000000	240.65841919
1599.91000000	244.38535423
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1610.48000000	246.53566184
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1637.66000000	248.57080643
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1663.33000000	234.30827794
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1716.95000000	230.80911582
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1739.42000000	233.84867440
1750.22000000	231.99284908
1750.22000000	231.99284908
1750.22000000	231.99284908
1750.22000000	231.99284908
1750.22000000	231.99284908
1750.22000000	231.99284908
1750.22000000	231.99284908
1750.22000000	231.99284908
1750.22000000	231.99284908
1750.22000000	231.38131399
1750.22000000	231.38131399
1750.22000000	231.38131399
1750.22000000	231.38131399
1750.22000000	231.38131399
1750.22000000	231.38131399
1750.22000000	231.38131399
1750.22000000	231.38131399
1750.22000000	231.38131399
1750.22000000	231.38131399
1782.78000000	244.64556984
1782.78000000	244.64556984
