DEPTH d	VALUE d
1374.06000000	270.10766151
1378.41000000	273.07978332
1378.41000000	273.07978332
1378.57500000	273.81622495
1378.74000000	268.55642941
1378.74000000	268.55642941
1378.74000000	268.55642941
1378.74000000	268.55642941
1378.74000000	268.55642941
1378.74000000	268.55642941
1378.74000000	268.55642941
1378.74000000	268.55642941
1401.47000000	249.36840640
1401.88000000	246.85609841
1401.88000000	246.85609841
1401.88000000	246.85609841
1401.88000000	246.85609841
1401.88000000	246.85609841
1401.88000000	246.85609841
1401.93000000	247.88829596
1401.98000000	249.53013725
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1404.99500000	254.46328802
1408.01000000	254.91516307
1409.70000000	261.71233994
1409.70000000	261.71233994
1409.70000000	261.71233994
1417.56000000	256.77139325
1417.56000000	256.77139325
1417.56000000	256.77139325
1424.66000000	257.86997518
1424.99000000	258.31949368
1425.32000000	246.66164495
1425.32000000	246.66164495
1425.32000000	246.66164495
1425.32000000	246.66164495
1425.32000000	246.66164495
1430.36000000	246.70206471
1435.65500000	245.25158440
1435.65500000	245.25158440
1435.65500000	245.25158440
1435.65500000	245.25158440
1435.65500000	245.25158440
1435.91000000	244.42584936
1435.91000000	244.42584936
1436.28000000	244.38625501
1438.64000000	243.85319472
1442.59000000	243.90526243
1442.87000000	243.65767230
1442.87000000	243.65767230
1442.87000000	243.65767230
1442.87000000	243.65767230
1442.87000000	243.65767230
1442.87000000	243.65767230
1442.87000000	243.65767230
1442.87000000	243.65767230
1442.87000000	243.65767230
1443.15000000	243.05328829
1443.69000000	243.04805244
1443.69000000	243.04805244
1443.69000000	243.04805244
1443.69000000	243.04805244
1443.69000000	243.04805244
1444.45000000	244.33841810
1444.45000000	244.33841810
1445.40500000	244.08032493
1445.60000000	246.95513242
1493.33000000	253.89227924
1493.33000000	253.89227924
1493.33000000	253.89227924
1493.33000000	253.89227924
1493.33000000	253.89227924
1493.33000000	253.89227924
1493.33000000	253.89227924
1493.33000000	253.89227924
1493.33000000	253.89227924
1493.33000000	253.89227924
1503.01000000	245.28433821
1503.01000000	245.28433821
1503.01000000	245.28433821
1503.01000000	245.28433821
1503.01000000	245.28433821
1503.36000000	246.02681014
1503.36000000	246.02681014
1503.36000000	246.02681014
1503.36000000	246.02681014
1503.36000000	246.02681014
1505.81500000	240.33118943
1505.81500000	240.33118943
1508.27000000	241.05726215
1511.86500000	241.97182643
1515.46000000	243.75424676
1515.56000000	246.20009176
1517.21000000	247.73849462
1517.41000000	248.64173466
1517.41000000	248.64173466
1517.41000000	248.64173466
1517.79000000	249.61581342
1517.79000000	249.61581342
1518.17500000	249.23468675
1518.17500000	249.23468675
1518.56000000	248.68597822
1519.38000000	248.23420620
1519.93500000	247.74045446
1520.49000000	247.19621712
1522.02000000	246.79354342
1524.05500000	246.09698234
1524.05500000	246.09698234
1524.05500000	246.09698234
