DEPTH d	VALUE d
1384.71500000	0.94804182
1385.66000000	0.00000000
1385.66000000	0.00000000
1385.66000000	1.00000000
1385.82500000	0.22097623
1386.88500000	0.00000000
1386.88500000	0.00000000
1386.88500000	0.00000000
1386.88500000	0.00000000
1386.88500000	0.00000000
1386.88500000	0.00000000
1386.88500000	0.00000000
1386.88500000	0.03770594
1387.78000000	0.08111250
1388.35000000	0.01440616
1394.11000000	0.33360459
1395.03000000	0.00000000
1395.03000000	0.08538679
1398.87500000	0.01686975
1402.72000000	0.00000000
1402.72000000	0.00000000
1402.72000000	0.00000000
1402.72000000	0.00000000
1402.72000000	0.19501114
1402.97000000	0.12345613
1404.23000000	0.00000000
1404.23000000	0.31802986
1405.24000000	0.00000000
1405.24000000	0.00000000
1405.24000000	0.02193570
1410.91500000	0.00000000
1410.91500000	0.00000000
1410.91500000	0.02083141
1416.59000000	0.05955213
1418.20000000	0.00000000
1418.20000000	0.06260622
1419.81000000	0.00000000
1419.81000000	0.00000000
1419.81000000	0.05445988
1424.12500000	0.00472665
1428.44000000	0.10308535
1429.07500000	0.00000000
1429.07500000	0.00000000
1429.07500000	0.00000000
1429.07500000	0.00000000
1429.07500000	0.00000000
1429.07500000	0.41819951
1429.71000000	0.00000000
1429.71000000	0.00000000
1429.71000000	0.15745510
1430.26000000	0.00000000
1430.26000000	0.00000000
1430.26000000	0.00000000
1430.26000000	0.00000000
1430.26000000	0.00000000
1430.26000000	0.00000000
1430.26000000	0.01222943
1446.32500000	0.01442525
1446.49000000	0.61142552
1446.59000000	0.18680243
1446.87500000	0.35376716
1447.06000000	0.00000000
1447.06000000	0.29662315
1447.25500000	0.00000000
1447.25500000	0.00000000
1447.25500000	0.20693020
1447.45000000	0.00000000
1447.45000000	0.00000000
1447.45000000	0.00000000
1447.45000000	0.00000000
1447.45000000	0.00000000
1447.45000000	0.01687683
1449.42000000	0.00000000
1449.42000000	0.00000000
1449.42000000	0.00000000
1449.42000000	0.00000000
1449.42000000	0.01063131
1455.49000000	0.00201773
1458.58000000	0.00000000
1458.58000000	0.04020951
1461.67000000	0.14760482
1461.90500000	0.00000000
1461.90500000	0.04293612
1462.14000000	0.00000000
1462.14000000	0.00000000
1462.14000000	0.00212796
1466.31000000	0.00000000
1466.31000000	0.00000000
1466.31000000	0.00000000
1466.31000000	0.00000000
1466.31000000	0.00000000
1466.31000000	0.03777751
1470.48000000	0.00000000
1470.48000000	0.00000000
1470.48000000	0.00000000
1470.48000000	0.01153956
1485.74500000	0.00000000
1485.74500000	0.06450116
1486.57500000	0.02738631
1487.27000000	0.00000000
1487.27000000	0.07052396
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.00000000
1488.01500000	0.02260391
1489.25500000	0.00000000
1489.25500000	0.07741223
1490.32000000	0.04248676
1490.46000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1516.60000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1600.68000000	0.00000000
1661.96000000	0.18388900
1662.86000000	0.00000000
1662.86000000	0.00000000
1662.86000000	0.00415634
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.00000000
1665.58000000	0.26188911
1665.80500000	0.21178062
1666.03000000	0.00000000
1666.03000000	0.00171859
1675.34500000	0.00345877
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1684.66000000	0.00000000
1745.95000000	0.00000000
1745.95000000	0.03033652
