DEPTH d	VALUE d
1366.75000000	19.11184606
1372.58000000	19.67551948
1378.41000000	22.03000000
1401.09000000	21.70000000
1401.62000000	18.35536525
1425.32000000	20.42118403
1435.91000000	20.70460304
1436.09500000	20.24833306
1436.51000000	18.97610143
1436.74000000	18.42279017
1437.13000000	18.53045182
1437.52000000	18.38130152
1437.78500000	18.34931822
1438.40000000	17.71969087
1439.87500000	16.09344304
1441.22500000	15.89471569
1442.81000000	16.61187586
1444.17000000	16.94327960
1450.66000000	16.39588620
1457.15000000	16.36964375
1460.24000000	16.62145861
1463.51000000	16.24826921
1463.69000000	15.15000000
1493.33000000	19.96000000
1497.00000000	18.75236657
1500.02000000	17.56005589
1500.33000000	17.15981562
1500.47000000	16.84942955
1500.61000000	16.96729438
1500.78500000	16.69866469
1501.33000000	16.52656772
1502.79000000	16.72669988
1503.88000000	16.29235743
1504.65000000	16.89327436
1505.58000000	17.00485217
1505.97000000	17.13935896
1506.36500000	17.42404785
1506.76000000	17.37655252
1507.00000000	17.87869505
1512.22500000	18.98284425
1527.38000000	19.74211786
1528.22500000	19.97661718
1529.07000000	19.72842655
1529.70000000	20.14079323
1530.33000000	20.07292127
1530.96500000	19.73671212
1531.60000000	19.31668876
1541.09000000	18.49580501
1541.42500000	18.42994814
1542.44000000	17.92542156
1542.62000000	17.76618725
1542.80000000	16.84423528
1545.66000000	17.51983685
1548.52000000	17.52490706
1548.79500000	17.52043287
1552.91000000	17.44610680
1553.40000000	17.48336935
1553.89000000	17.45973838
1555.15500000	17.48389525
1555.79000000	17.79441709
1555.93500000	17.56098117
1556.08000000	17.82165272
1559.27500000	17.44262235
1561.78000000	17.12206311
1562.94000000	17.12120881
1563.40000000	17.06519872
1568.03500000	16.97864698
1568.87000000	16.80517806
1570.96000000	16.96236973
1571.46500000	17.35542346
1571.97000000	17.79655161
1572.72500000	17.08605728
1573.84500000	18.50793129
1574.21000000	18.51657887
1589.85500000	18.07155683
1590.58000000	16.81921034
1591.17500000	16.06727775
1591.42000000	15.75517490
1592.19500000	15.92054316
1592.97000000	15.65969174
1593.40500000	15.44952852
1593.84000000	15.49097031
1594.27500000	15.34934811
1594.71000000	15.34097471
1595.66000000	14.58643478
1596.61000000	15.57801955
1600.51500000	15.40265759
1601.30000000	15.62596291
1601.64500000	15.89707938
1601.99000000	16.18866397
1602.29000000	16.54083400
1602.59000000	16.20577164
1603.98000000	16.04665526
1605.37000000	16.48449898
1607.40000000	17.04463477
1609.43000000	17.30198573
1612.67000000	18.25537164
1620.43000000	17.71399331
1624.95000000	12.34000000
1636.94000000	12.19677014
1637.71000000	12.12282360
1638.48000000	11.87750000
1642.30000000	13.90571229
1646.12000000	13.99840010
1646.47500000	14.44991842
1646.83000000	14.68677999
1657.99000000	14.81519865
1658.53000000	14.60387189
1659.07000000	16.33948378
1659.56500000	16.02002829
1661.69500000	16.25139775
1663.51000000	16.52657649
1663.69000000	16.32683163
1664.98000000	16.45930095
1666.43000000	16.73415226
1670.84000000	15.44650780
1675.25000000	15.83596382
1677.12500000	15.24599037
1682.72000000	13.37527171
1686.44000000	13.42229075
1687.72000000	13.22684483
1690.05500000	12.72676499
1691.11000000	12.64580557
1692.96000000	12.57447265
1694.81000000	12.61052545
1695.98500000	12.62526689
1697.16000000	12.24572402
1697.72500000	12.31328414
1698.29000000	12.21589192
1705.80500000	11.96868306
1716.95000000	16.63442163
1721.23500000	16.17482586
1725.52000000	16.91700518
1734.41500000	13.36721188
1737.06000000	13.21114510
1739.43500000	13.36967363
1745.87000000	16.16516846
1749.93000000	16.23282896
1750.07500000	16.61064807
1750.22000000	16.50374820
1750.35000000	16.85521554
1750.48000000	17.31246054
1752.76500000	16.87137984
1758.79500000	15.45372746
1762.54000000	11.96000000
1777.33000000	12.20734411
1783.11000000	15.45500000
1783.35500000	14.85950309
1783.60000000	15.60331570
1784.30000000	15.42169471
1785.00000000	15.21293597
1787.42500000	14.90853704
1789.85000000	15.18416350
1791.69000000	14.88525101
1793.53000000	14.67821646
1794.45000000	14.18382285
1797.17000000	14.31257736
1798.97000000	13.51632503
1799.40500000	13.36593326
1799.84000000	13.10359382
1804.21000000	13.17740986
