DEPTH d	VALUE d
1366.75000000	249.24959675
1374.68500000	248.64510115
1374.68500000	248.64510115
1376.67000000	247.08845530
1382.04500000	241.41857236
1387.42000000	239.13094502
1387.42000000	239.13094502
1387.42000000	239.13094502
1387.42000000	239.13094502
1388.29000000	237.67128027
1388.29000000	237.67128027
1388.29000000	237.67128027
1388.29000000	237.67128027
1389.16000000	235.78449713
1389.16000000	235.78449713
1389.16000000	235.78449713
1389.16000000	235.78449713
1395.12500000	235.67565257
1395.12500000	235.67565257
1395.12500000	235.67565257
1395.12500000	235.67565257
1401.09000000	236.63457356
1401.09000000	236.63457356
1401.09000000	236.63457356
1402.83500000	237.42454599
1404.58000000	238.59737942
1404.58000000	238.59737942
1404.58000000	238.59737942
1404.58000000	238.59737942
1408.90500000	236.19948471
1408.90500000	236.19948471
1413.23000000	236.39740019
1413.89500000	236.59783543
1414.56000000	237.47969668
1415.13500000	237.77471959
1415.13500000	237.77471959
1415.13500000	237.77471959
1415.71000000	238.38790104
1416.88000000	239.19431030
1416.88000000	239.19431030
1416.88000000	239.19431030
1417.38000000	238.63545837
1417.88000000	239.06618384
1419.96500000	239.34401587
1419.96500000	239.34401587
1419.96500000	239.34401587
1419.96500000	239.34401587
1419.96500000	239.34401587
1419.96500000	239.34401587
1422.10500000	240.84507353
1424.18000000	241.16998404
1426.20000000	241.74610927
1426.36500000	242.54803585
1429.78000000	242.43518131
1433.67000000	239.42619583
1435.33000000	237.78555735
1436.74000000	237.59167494
1436.74000000	237.59167494
1437.78500000	236.09141290
1437.78500000	236.09141290
1438.05000000	236.23217319
1438.05000000	236.23217319
1438.40000000	235.84949476
1438.75000000	235.45675786
1438.75000000	235.45675786
1438.75000000	235.45675786
1438.75000000	235.45675786
1438.75000000	235.45675786
1438.75000000	235.45675786
1438.89000000	234.98659127
1439.13500000	233.93092299
1439.13500000	233.93092299
1439.13500000	233.93092299
1440.32000000	234.53205369
1441.45000000	235.32092553
1450.42500000	236.90249021
1456.68000000	237.60923247
1456.91500000	238.35814906
1457.15000000	242.42389727
1459.23000000	242.84925825
1462.32000000	244.52559056
1463.33000000	243.90653654
1463.33000000	243.90653654
1463.33000000	243.90653654
1463.33000000	243.90653654
1463.33000000	243.90653654
1463.33000000	243.90653654
1463.33000000	243.90653654
1463.51000000	243.54174226
1463.51000000	243.54174226
1463.51000000	243.54174226
1463.51000000	243.54174226
1464.06000000	243.11271091
1473.53500000	243.77269918
1475.79000000	244.62569560
1476.09000000	245.01193466
1476.71000000	245.43534253
1477.08000000	245.90898010
1477.48500000	245.96776729
1478.13000000	245.48136564
1478.89000000	244.38376677
1479.43500000	244.67666993
1479.43500000	244.67666993
1479.98000000	244.45922930
1479.98000000	244.45922930
1479.98000000	244.45922930
1479.98000000	244.45922930
1479.98000000	244.45922930
1480.14000000	244.74249149
1480.14000000	244.74249149
1480.14000000	244.74249149
1480.14000000	244.74249149
1480.62500000	245.44550864
1482.16500000	242.99402794
1483.08000000	242.15429925
1483.49000000	241.63994035
1491.49500000	239.68045749
1497.00000000	238.81959468
1499.51000000	238.61314335
1499.76500000	238.47617260
1500.33000000	237.98122313
1500.61000000	237.07403427
1500.96000000	236.56157392
1502.79000000	233.98061064
1502.79000000	233.98061064
1502.79000000	233.98061064
1502.79000000	233.98061064
1502.79000000	233.98061064
1502.79000000	233.98061064
1502.79000000	233.98061064
