DEPTH d	VALUE d
1366.75000000	51.98051791
1374.68500000	49.15064241
1374.68500000	49.15064241
1376.67000000	46.43605966
1382.04500000	42.64602172
1387.42000000	45.94314953
1387.42000000	45.94314953
1387.42000000	45.94314953
1387.42000000	45.94314953
1388.29000000	44.20626161
1388.29000000	44.20626161
1388.29000000	44.20626161
1388.29000000	44.20626161
1389.16000000	45.78350826
1389.16000000	45.78350826
1389.16000000	45.78350826
1389.16000000	45.78350826
1395.12500000	46.10534157
1395.12500000	46.10534157
1395.12500000	46.10534157
1395.12500000	46.10534157
1401.09000000	49.08099833
1401.09000000	49.08099833
1401.09000000	49.08099833
1402.83500000	53.53321342
1404.58000000	52.30930458
1404.58000000	52.30930458
1404.58000000	52.30930458
1404.58000000	52.30930458
1408.90500000	52.92258681
1408.90500000	52.92258681
1413.23000000	53.90396237
1413.89500000	55.07187870
1414.56000000	55.42913933
1415.13500000	55.55876175
1415.13500000	55.55876175
1415.13500000	55.55876175
1415.71000000	57.02769426
1416.88000000	56.66317348
1416.88000000	56.66317348
1416.88000000	56.66317348
1417.38000000	56.46964423
1417.88000000	56.76402814
1419.96500000	57.02512819
1419.96500000	57.02512819
1419.96500000	57.02512819
1419.96500000	57.02512819
1419.96500000	57.02512819
1419.96500000	57.02512819
1422.10500000	57.20011891
1424.18000000	57.05970650
1426.20000000	57.09261960
1426.36500000	56.81347264
1429.78000000	56.06619547
1433.67000000	55.25658062
1435.33000000	55.22419518
1436.74000000	55.17818064
1436.74000000	55.17818064
1437.78500000	54.59084023
1437.78500000	54.59084023
1438.05000000	54.05390284
1438.05000000	54.05390284
1438.40000000	53.69152179
1438.75000000	53.24574761
1438.75000000	53.24574761
1438.75000000	53.24574761
1438.75000000	53.24574761
1438.75000000	53.24574761
1438.75000000	53.24574761
1438.89000000	53.03732074
1439.13500000	52.32727307
1439.13500000	52.32727307
1439.13500000	52.32727307
1440.32000000	53.30769423
1441.45000000	53.55517741
1450.42500000	52.57583600
1456.68000000	52.07637291
1456.91500000	53.55413872
1457.15000000	54.98044566
1459.23000000	53.75337049
1462.32000000	54.55052126
1463.33000000	54.55709248
1463.33000000	54.55709248
1463.33000000	54.55709248
1463.33000000	54.55709248
1463.33000000	54.55709248
1463.33000000	54.55709248
1463.33000000	54.55709248
1463.51000000	54.79679987
1463.51000000	54.79679987
1463.51000000	54.79679987
1463.51000000	54.79679987
1464.06000000	54.42400469
1473.53500000	54.41228946
1475.79000000	54.72795147
1476.09000000	54.80148548
1476.71000000	55.01774921
1477.08000000	55.04246823
1477.48500000	55.20019304
1478.13000000	55.50081253
1478.89000000	55.90768792
1479.43500000	56.00027288
1479.43500000	56.00027288
1479.98000000	56.14309972
1479.98000000	56.14309972
1479.98000000	56.14309972
1479.98000000	56.14309972
1479.98000000	56.14309972
1480.14000000	56.14261979
1480.14000000	56.14261979
1480.14000000	56.14261979
1480.14000000	56.14261979
1480.62500000	56.62267069
1482.16500000	55.98194254
1483.08000000	55.96862894
1483.49000000	56.01984972
1491.49500000	55.33067200
1497.00000000	54.19768120
1499.51000000	53.79157179
1499.76500000	53.80675460
1500.33000000	52.87456486
1500.61000000	53.49699267
1500.96000000	53.28004874
1502.79000000	52.55091045
1502.79000000	52.55091045
1502.79000000	52.55091045
1502.79000000	52.55091045
1502.79000000	52.55091045
1502.79000000	52.55091045
1502.79000000	52.55091045
1502.79000000	52.55091045
1502.79000000	52.55091045
1502.79000000	52.55091045
1504.15500000	52.49107168
1504.15500000	52.49107168
1504.15500000	52.49107168
1504.65000000	52.17041360
1505.58000000	52.58166471
1505.77500000	52.64648905
1505.77500000	52.64648905
1505.97000000	53.04063782
1506.76000000	51.23875029
1529.86000000	58.16572064
1529.86000000	58.16572064
1529.86000000	58.16572064
1529.86000000	58.16572064
1529.86000000	58.16572064
1529.86000000	58.16572064
1529.86000000	58.16572064
1529.86000000	58.16572064
1538.09500000	57.28816430
1538.09500000	57.28816430
1538.25000000	57.16151631
1538.86500000	55.95635542
1539.48000000	55.49554237
1541.09000000	54.59706562
1541.09000000	54.59706562
1541.09000000	54.59706562
1541.09000000	54.59706562
1541.09000000	54.59706562
1541.09000000	54.59706562
1541.42500000	54.21172422
1541.76000000	53.76933386
1541.76000000	53.76933386
1541.76000000	53.76933386
1541.76000000	53.76933386
1542.10000000	52.51451964
1542.62000000	51.32372641
1545.93500000	50.09685366
1551.48000000	49.64961302
1554.78000000	48.65203637
1554.78000000	48.65203637
1555.00500000	48.00114755
1555.23000000	47.72147572
1555.79000000	48.73014698
1557.12500000	48.91414100
1557.63000000	50.10900435
1557.63000000	50.10900435
1557.63000000	50.10900435
1557.63000000	50.10900435
1557.92000000	50.49468100
1561.64000000	50.68165262
1561.71000000	51.06594203
1561.78000000	51.64038037
1561.78000000	51.64038037
1561.78000000	51.64038037
1562.37500000	52.78097320
1562.94000000	53.57794176
1564.14000000	55.34924948
1568.34000000	56.58386118
1568.60500000	57.09934679
1568.60500000	57.09934679
1568.60500000	57.09934679
1568.60500000	57.09934679
1569.95000000	57.91391158
1570.45500000	58.01031584
1572.22000000	58.07269648
1572.22000000	58.07269648
1572.22000000	58.07269648
1572.22000000	58.07269648
1573.48000000	58.35664601
1574.21000000	58.78294764
1575.73000000	58.74905149
1589.64000000	56.88796298
1590.35500000	56.52970695
1590.58000000	56.30874955
1591.17500000	55.88101688
1591.42000000	55.37444660
1592.17000000	54.51684160
1592.57000000	53.82962021
1592.57000000	53.82962021
1592.57000000	53.82962021
1592.97000000	53.97003605
1593.40500000	54.09360849
1593.84000000	53.99641406
1594.27500000	54.02185861
1595.20000000	54.46837631
1595.69000000	54.41027859
1595.69000000	54.41027859
1595.69000000	54.41027859
1595.69000000	54.41027859
1596.15000000	54.23490661
1596.61000000	54.01540556
1599.73000000	54.06644685
1601.30000000	53.84780515
1601.99000000	52.92857811
1603.32500000	53.90235440
1604.06000000	54.16975618
1605.37000000	53.59482419
1612.96000000	54.09377570
1613.68000000	54.11439357
1613.97500000	54.17179381
1615.01000000	54.41296501
1615.83000000	54.54968280
1616.01000000	54.80955361
1616.31500000	55.00459395
1617.57000000	54.79227760
1618.28000000	54.90405641
1618.77500000	55.00722361
1619.27000000	54.94223115
1620.19000000	54.93990915
1620.66500000	54.88339659
1621.14000000	54.77446456
1621.59500000	54.65467866
1622.33000000	54.59322380
1623.12500000	55.09266756
1625.43000000	55.06204384
1625.91000000	55.31111281
1627.57000000	56.08418500
1628.38000000	56.22733251
1629.34000000	56.56616522
1630.93000000	56.80025209
1631.66000000	56.84138811
1632.00000000	56.91603520
1632.74000000	57.00386409
1633.50000000	57.11856652
1634.38000000	57.22443904
1635.53500000	57.60935105
1636.43000000	57.55097365
1637.51000000	57.53939150
1638.91500000	57.77723414
1639.73000000	58.02591383
1640.56000000	58.27501688
1641.77000000	58.62155637
1643.11500000	59.07057574
1644.03500000	59.09402983
1645.18000000	58.97177045
1645.65000000	58.84319312
1646.83000000	58.68926578
1647.90000000	58.77540795
1648.52000000	58.51185490
1649.83000000	58.37005607
1650.44000000	58.21834115
1651.42500000	58.28241042
1652.22000000	58.26148084
1653.06000000	58.36058585
1653.46000000	58.23963615
1655.58000000	58.04645836
1656.03000000	57.99001534
1656.68000000	57.96938496
1657.65500000	58.07632555
1657.99000000	58.00641531
1659.07000000	58.31956266
1660.06000000	58.40492024
1660.54500000	58.35914214
1661.03000000	58.36934002
1662.10000000	58.32336615
1663.17000000	58.14542697
1664.98000000	58.26219133
1666.43000000	58.32670465
1668.84000000	58.89847953
1669.76500000	58.99912391
1670.50000000	59.38036881
1673.14000000	59.48352549
1675.25000000	59.33696233
1675.70500000	59.16822585
1676.16000000	59.39623628
1676.16000000	59.39623628
1677.26000000	59.96618643
1678.56500000	60.14403533
1679.27500000	59.97849191
1679.55000000	59.74002980
1681.21500000	59.51721916
1683.75000000	59.20432630
1685.74000000	59.28966891
1686.09000000	59.20942580
1686.44000000	59.16088043
1687.50000000	59.27540372
1688.47500000	59.20422397
1689.54500000	59.00440816
1691.11000000	58.81573125
1691.38500000	58.90970950
1692.40000000	59.03059890
1692.91000000	58.83464472
1693.42000000	58.92882813
1694.11500000	59.12356035
1694.81000000	59.07662514
1694.93000000	59.00865711
1695.05000000	58.93209368
1695.94000000	58.95152852
1696.55000000	58.88439556
1697.16000000	59.05431586
1697.57500000	59.01034661
1697.99000000	59.11906479
1698.14000000	59.00712642
1698.87500000	58.97967591
1699.72500000	59.05665118
1702.78000000	59.28114468
1704.62000000	59.17999028
1709.18000000	59.09813761
1714.10000000	59.42395934
1714.42000000	59.69711690
1715.79500000	59.88432611
1715.79500000	59.88432611
1715.79500000	59.88432611
1716.46500000	59.92147931
1717.45000000	59.90586469
1718.09000000	60.09428650
1718.37000000	59.86134984
1718.65000000	60.06677687
1719.13500000	59.97756040
1719.89500000	60.13996538
1719.89500000	60.13996538
1721.54000000	60.38714576
1722.91000000	60.15822387
1723.42000000	60.29452014
1723.93000000	60.34794510
1725.52000000	60.32327279
1726.93000000	60.59116796
1728.46000000	60.53645151
1729.16000000	60.44270888
1729.33000000	60.28424960
1730.77000000	60.01169359
1731.09000000	60.18275882
1731.43000000	59.99806822
1735.08000000	59.68383374
1736.47000000	59.79870857
1736.47000000	59.79870857
1736.76500000	59.95940217
1737.69000000	59.90703079
1739.17000000	60.12279515
1741.04000000	60.01789994
1741.81000000	59.70801765
1742.98000000	59.10690953
1745.30000000	59.44196751
1746.82000000	59.55290817
1747.49500000	59.64173171
1748.38000000	59.38286972
1748.59000000	59.31814195
1749.76000000	59.51019206
1750.20500000	59.39144754
1750.48000000	59.39975365
1750.62000000	59.32559724
1751.48000000	59.25206552
1752.39000000	59.40323832
1754.15000000	59.42501695
1755.05000000	59.39094724
1756.31000000	59.42194488
1756.65000000	59.45343601
1758.32000000	59.41324160
1758.65000000	59.29838081
1760.47000000	59.26872900
1761.90000000	59.46352119
1762.84000000	59.62583624
1763.45500000	59.51026689
1764.66000000	59.34873502
1765.39500000	59.33435159
1766.59000000	59.64265468
1767.14500000	59.64336518
1768.41000000	59.53192895
1769.34000000	59.51454574
1770.84000000	59.52715359
1771.39000000	59.53325460
1772.31000000	59.51834334
1772.64000000	59.48741927
1773.50000000	59.22739297
1774.10000000	59.11411555
1775.14000000	58.81082660
1775.61000000	58.82682741
1776.79000000	58.65152263
1777.33000000	58.70410473
1778.22500000	58.72228902
1778.79500000	58.51564848
1779.88000000	58.58063603
1782.52000000	58.51579686
1783.11000000	58.52007543
1784.30000000	58.37431796
1786.08000000	58.11469394
1787.14000000	58.08807665
1787.95000000	58.27330529
1789.28000000	58.32384982
1790.25000000	58.12870077
1790.87500000	58.08753553
1791.73000000	58.10596393
1792.36000000	58.26379982
1793.93500000	58.49867715
1795.37000000	58.56548606
1795.62500000	58.82850399
1796.42000000	58.77920329
1797.43000000	58.73292629
1798.43500000	58.67551213
1799.40500000	58.72570024
1799.84000000	58.90805115
1800.22000000	58.85420226
1800.76500000	58.92982856
1801.62000000	58.90480993
1803.23000000	58.76691332
1803.80000000	58.86469521
1804.21000000	58.59168407
1805.50000000	58.28306275
