DEPTH d	VALUE d
1366.75000000	0.00096822
1372.58000000	0.06081475
1378.41000000	0.01320978
1401.09000000	0.15410067
1401.62000000	0.00508853
1425.32000000	0.00356205
1435.91000000	0.20727426
1436.09500000	0.14536863
1436.51000000	0.10337083
1436.74000000	0.02310402
1437.13000000	0.00466097
1437.52000000	0.02044430
1437.78500000	0.03127486
1438.40000000	0.03332007
1439.87500000	0.01580496
1441.22500000	0.01805017
1442.81000000	0.02340569
1444.17000000	0.00486404
1450.66000000	0.00658866
1457.15000000	0.00898119
1460.24000000	0.01701792
1463.51000000	0.38186395
1463.69000000	0.00284425
1493.33000000	0.01133959
1497.00000000	0.00458818
1500.02000000	0.00993718
1500.33000000	0.07909307
1500.47000000	0.01189222
1500.61000000	0.08739782
1500.78500000	0.01365099
1501.33000000	0.00431994
1502.79000000	0.01182548
1503.88000000	0.02280672
1504.65000000	0.00045476
1505.58000000	0.00757472
1505.97000000	0.01887487
1506.36500000	0.00700104
1506.76000000	0.11186346
1507.00000000	0.00998622
1512.22500000	0.00458877
1527.38000000	0.01229427
1528.22500000	0.01556585
1529.07000000	0.04668061
1529.70000000	0.01000095
1530.33000000	0.06206289
1530.96500000	0.06806503
1531.60000000	0.00456442
1541.09000000	0.02261052
1541.42500000	0.01740963
1542.44000000	0.12696782
1542.62000000	0.26991384
1542.80000000	0.00835616
1545.66000000	0.01460298
1548.52000000	0.14497493
1548.79500000	0.01585628
1552.91000000	0.02019672
1553.40000000	0.03217956
1553.89000000	0.01377175
1555.15500000	0.00202096
1555.79000000	0.23201443
1555.93500000	0.05095675
1556.08000000	0.00255122
1559.27500000	0.01656724
1561.78000000	0.05717826
1562.94000000	0.06473931
1563.40000000	0.02291482
1568.03500000	0.05183296
1568.87000000	0.01588380
1570.96000000	0.00405707
1571.46500000	0.01267065
1571.97000000	0.06879451
1572.72500000	0.06045164
1573.84500000	0.14501350
1574.21000000	0.00357779
1589.85500000	0.02469429
1590.58000000	0.06771376
1591.17500000	0.02671771
1591.42000000	0.02936482
1592.19500000	0.02122144
1592.97000000	0.03223794
1593.40500000	0.00485302
1593.84000000	0.01601376
1594.27500000	0.00699876
1594.71000000	0.02193692
1595.66000000	0.06088086
1596.61000000	0.00150599
1600.51500000	0.01588615
1601.30000000	0.04479767
1601.64500000	0.04980140
1601.99000000	0.00986749
1602.29000000	0.01741333
1602.59000000	0.01415108
1603.98000000	0.01957544
1605.37000000	0.02526171
1607.40000000	0.02350595
1609.43000000	0.03090779
1612.67000000	0.00315906
1620.43000000	0.06103143
1624.95000000	0.00077822
1636.94000000	0.01674580
1637.71000000	0.05306226
1638.48000000	0.01246881
1642.30000000	0.00240843
1646.12000000	0.05510366
1646.47500000	0.03665467
1646.83000000	0.00158276
1657.99000000	0.01805448
1658.53000000	0.07379761
1659.07000000	0.02417908
1659.56500000	0.00343009
1661.69500000	0.00137338
1663.51000000	0.03264452
1663.69000000	0.00000570
1664.98000000	0.00643615
1666.43000000	0.00937826
1670.84000000	0.00194937
1675.25000000	0.01718933
1677.12500000	0.00529834
1682.72000000	0.00069809
1686.44000000	0.00718203
1687.72000000	0.00598352
1690.05500000	0.00123638
1691.11000000	0.00128851
1692.96000000	0.00000994
1694.81000000	0.00064479
1695.98500000	0.00721736
1697.16000000	0.00669683
1697.72500000	0.00810755
1698.29000000	0.00068250
1705.80500000	0.01018610
1716.95000000	0.00244674
1721.23500000	0.00666792
1725.52000000	0.00921286
1734.41500000	0.00366200
1737.06000000	0.00421042
1739.43500000	0.01252891
1745.87000000	0.00106991
1749.93000000	0.10160467
1750.07500000	0.02799959
1750.22000000	0.10513286
1750.35000000	0.28583791
1750.48000000	0.01667907
1752.76500000	0.01042976
1758.79500000	0.00803694
1762.54000000	0.00041868
1777.33000000	0.01567689
1783.11000000	0.08117186
1783.35500000	0.11612608
1783.60000000	0.00582184
1784.30000000	0.01221342
1785.00000000	0.00501940
1787.42500000	0.00468834
1789.85000000	0.00668233
1791.69000000	0.00496567
1793.53000000	0.01718941
1794.45000000	0.00172402
1797.17000000	0.01214222
1798.97000000	0.00632657
1799.40500000	0.01927479
1799.84000000	0.00091714
1804.21000000	0.00299088
