DEPTH d	VALUE d
1366.75000000	51.03758781
1372.58000000	51.33586328
1378.41000000	39.33778356
1401.09000000	46.70985231
1401.62000000	49.78316938
1425.32000000	48.06107640
1435.91000000	46.84411022
1436.09500000	48.06511580
1436.51000000	49.92105304
1436.74000000	50.57492798
1437.13000000	50.28249816
1437.52000000	50.15116150
1437.78500000	49.95988998
1438.40000000	50.40275065
1439.87500000	51.30011115
1441.22500000	52.10869587
1442.81000000	51.57022356
1444.17000000	50.79436133
1450.66000000	51.64285363
1457.15000000	52.95073509
1460.24000000	51.97730552
1463.51000000	52.91648828
1463.69000000	50.95889450
1493.33000000	48.88447404
1497.00000000	50.58276755
1500.02000000	51.05699335
1500.33000000	51.18534613
1500.47000000	51.44786859
1500.61000000	51.35508739
1500.78500000	51.85026098
1501.33000000	51.96932835
1502.79000000	51.86264286
1503.88000000	52.14430927
1504.65000000	51.89567643
1505.58000000	51.93537114
1505.97000000	52.03065749
1506.36500000	51.90252053
1506.76000000	52.05674330
1507.00000000	51.30686910
1512.22500000	50.12646515
1527.38000000	47.32205902
1528.22500000	47.15564219
1529.07000000	46.93719435
1529.70000000	46.65143187
1530.33000000	46.53265429
1530.96500000	48.01288062
1531.60000000	49.44388802
1541.09000000	50.53124183
1541.42500000	50.81840177
1542.44000000	51.10993354
1542.62000000	51.61800662
1542.80000000	52.03568970
1545.66000000	51.66866067
1548.52000000	51.25694700
1548.79500000	50.61756323
1552.91000000	49.16964022
1553.40000000	48.87647263
1553.89000000	48.48462101
1555.15500000	48.97974812
1555.79000000	49.32049279
1555.93500000	50.41159169
1556.08000000	50.50636150
1559.27500000	50.95991281
1561.78000000	53.17164316
1562.94000000	54.75317795
1563.40000000	55.31503019
1568.03500000	57.01372924
1568.87000000	57.43095215
1570.96000000	58.15709426
1571.46500000	58.21515869
1571.97000000	58.18891558
1572.72500000	58.79751104
1573.84500000	58.72931195
1574.21000000	57.53916797
1589.85500000	55.55521743
1590.58000000	55.08139848
1591.17500000	53.68736927
1591.42000000	53.43980727
1592.19500000	53.00241414
1592.97000000	53.47065353
1593.40500000	53.84263637
1593.84000000	53.82673818
1594.27500000	53.96116484
1594.71000000	53.98537474
1595.66000000	54.23212611
1596.61000000	54.53263916
1600.51500000	54.71523209
1601.30000000	54.53648282
1601.64500000	54.29687383
1601.99000000	54.04359426
1602.29000000	54.23024478
1602.59000000	53.84497716
1603.98000000	54.53686215
1605.37000000	54.01946611
1607.40000000	52.88595767
1609.43000000	52.03476588
1612.67000000	49.70187860
1620.43000000	50.64610545
1624.95000000	55.76158594
1636.94000000	56.48124352
1637.71000000	56.75162869
1638.48000000	57.33598503
1642.30000000	56.97063839
1646.12000000	56.65929582
1646.47500000	56.14602936
1646.83000000	55.78975680
1657.99000000	55.04034769
1658.53000000	55.32149770
1659.07000000	55.09828644
1659.56500000	55.36554037
1661.69500000	55.22330577
1663.51000000	55.15762069
1663.69000000	55.24222064
1664.98000000	55.31873599
1666.43000000	55.43557036
1670.84000000	55.86487687
1675.25000000	55.70799755
1677.12500000	56.15412201
1682.72000000	56.88948806
1686.44000000	56.76825574
1687.72000000	57.01779673
1690.05500000	57.15599469
1691.11000000	57.17253865
1692.96000000	57.22957866
1694.81000000	57.24513571
1695.98500000	57.24597912
1697.16000000	57.34169633
1697.72500000	57.23244814
1698.29000000	57.37294428
1705.80500000	57.45536929
1716.95000000	56.61331429
1721.23500000	56.66889872
1725.52000000	56.03757006
1734.41500000	56.45449322
1737.06000000	56.71070960
1739.43500000	56.44602120
1745.87000000	55.39306948
1749.93000000	55.18010225
1750.07500000	54.85298226
1750.22000000	54.85337554
1750.35000000	54.55385963
1750.48000000	53.27536232
1752.76500000	54.59409361
1758.79500000	55.76599305
1762.54000000	57.17959944
1777.33000000	57.10339243
1783.11000000	55.83582881
1783.35500000	56.20230600
1783.60000000	55.58444500
1784.30000000	55.58501102
1785.00000000	55.75106273
1787.42500000	56.06944118
1789.85000000	55.78445538
1791.69000000	56.10419587
1793.53000000	56.32412961
1794.45000000	56.59516103
1797.17000000	56.47687387
1798.97000000	56.65811296
1799.40500000	56.70595213
1799.84000000	56.83748955
1804.21000000	56.80202764
