DEPTH d	VALUE d
1366.75000000	17.47225946
1372.58000000	13.00590859
1378.41000000	5.08477035
1401.09000000	109.64477489
1401.62000000	52.71252473
1425.32000000	38.05760639
1435.91000000	45.29667029
1436.09500000	46.33942149
1436.51000000	49.89637274
1436.74000000	50.75622754
1437.13000000	50.41042008
1437.52000000	54.55805652
1437.78500000	59.81871777
1438.40000000	67.18766176
1439.87500000	76.52069073
1441.22500000	60.93377501
1442.81000000	56.57968903
1444.17000000	55.20348243
1450.66000000	58.77464096
1457.15000000	35.90695279
1460.24000000	36.79177367
1463.51000000	6.65473685
1463.69000000	27.00036394
1493.33000000	18.22653546
1497.00000000	21.46666934
1500.02000000	34.97981051
1500.33000000	44.23926671
1500.47000000	45.19758416
1500.61000000	43.26873310
1500.78500000	42.49449981
1501.33000000	42.18609843
1502.79000000	52.62983028
1503.88000000	58.21572694
1504.65000000	55.31808965
1505.58000000	55.25988152
1505.97000000	52.73698629
1506.36500000	52.59211963
1506.76000000	56.57409548
1507.00000000	58.82769194
1512.22500000	66.49797137
1527.38000000	40.06213075
1528.22500000	41.48398666
1529.07000000	43.17171070
1529.70000000	45.66365986
1530.33000000	51.32151924
1530.96500000	53.73458296
1531.60000000	58.49216792
1541.09000000	74.40032575
1541.42500000	76.78185702
1542.44000000	69.41302267
1542.62000000	72.98463552
1542.80000000	78.65258386
1545.66000000	69.27949218
1548.52000000	64.54203560
1548.79500000	61.51152686
1552.91000000	53.83264271
1553.40000000	50.26217862
1553.89000000	48.64453968
1555.15500000	47.53659112
1555.79000000	31.47248075
1555.93500000	27.82800709
1556.08000000	27.30311607
1559.27500000	28.27194426
1561.78000000	29.94755925
1562.94000000	29.90438311
1563.40000000	29.11289728
1568.03500000	29.18242633
1568.87000000	31.15590731
1570.96000000	23.28183843
1571.46500000	25.03464286
1571.97000000	32.08375768
1572.72500000	35.26784208
1573.84500000	43.85089774
1574.21000000	42.88473393
1589.85500000	35.05882811
1590.58000000	33.46704647
1591.17500000	34.12927324
1591.42000000	35.57086864
1592.19500000	39.31634447
1592.97000000	39.26916914
1593.40500000	37.90404167
1593.84000000	37.86838289
1594.27500000	39.92696227
1594.71000000	39.67983154
1595.66000000	34.74577829
1596.61000000	40.74168233
1600.51500000	49.03343320
1601.30000000	50.17672697
1601.64500000	50.96335706
1601.99000000	52.06234742
1602.29000000	51.74939080
1602.59000000	50.06247752
1603.98000000	48.26754522
1605.37000000	48.83265776
1607.40000000	51.63004855
1609.43000000	54.90303547
1612.67000000	51.81817839
1620.43000000	50.95023717
1624.95000000	11.20990773
1636.94000000	23.98740615
1637.71000000	30.43916808
1638.48000000	46.16715263
1642.30000000	43.67151740
1646.12000000	49.09285020
1646.47500000	49.43301750
1646.83000000	53.33295251
1657.99000000	54.07053812
1658.53000000	56.43098882
1659.07000000	54.25755419
1659.56500000	53.86894293
1661.69500000	53.11058723
1663.51000000	38.99931488
1663.69000000	38.62489135
1664.98000000	35.58013804
1666.43000000	30.21245548
1670.84000000	20.93828950
1675.25000000	17.13710473
1677.12500000	5.82187879
1682.72000000	23.59826915
1686.44000000	21.66044678
1687.72000000	18.49592456
1690.05500000	11.93242344
1691.11000000	14.93638487
1692.96000000	15.31340875
1694.81000000	13.62498687
1695.98500000	16.43217063
1697.16000000	16.21651176
1697.72500000	22.15926896
1698.29000000	20.72011794
1705.80500000	24.43118809
1716.95000000	50.08411516
1721.23500000	51.44033013
1725.52000000	53.66196378
1734.41500000	47.78315223
1737.06000000	33.38105392
1739.43500000	37.01905141
1745.87000000	56.53001274
1749.93000000	51.42177123
1750.07500000	50.53781074
1750.22000000	44.19266676
1750.35000000	43.05499623
1750.48000000	48.08930101
1752.76500000	48.39209017
1758.79500000	25.95189688
1762.54000000	54.29592058
1777.33000000	50.66191710
1783.11000000	45.63552053
1783.35500000	42.36566162
1783.60000000	45.53387160
1784.30000000	43.85273398
1785.00000000	38.39771117
1787.42500000	41.76648095
1789.85000000	41.33242813
1791.69000000	43.70373635
1793.53000000	38.95823896
1794.45000000	37.10983246
1797.17000000	36.11327489
1798.97000000	30.12968673
1799.40500000	37.98165788
1799.84000000	38.45191312
1804.21000000	45.36044444
