DEPTH d	VALUE d
1366.75000000	0.00515434
1372.58000000	0.00000000
1372.58000000	0.00914130
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.00000000
1378.41000000	0.03101785
1401.09000000	0.42921875
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.54500000	0.00000000
1401.62000000	0.00416030
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00000000
1425.32000000	0.00459913
1435.91000000	0.03792260
1436.09500000	0.05766588
1436.51000000	0.02515280
1436.74000000	0.00000000
1436.74000000	0.00596566
1437.13000000	0.07155256
1437.52000000	0.00000000
1437.52000000	0.13356220
1437.78500000	0.08061563
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.00000000
1438.40000000	0.04257157
1439.87500000	0.07768112
1441.22500000	0.01848233
1442.81000000	0.00680822
1444.17000000	0.00000000
1444.17000000	0.00370215
1450.66000000	0.02370646
1457.15000000	0.00192658
1460.24000000	0.06200717
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	0.00000000
1463.51000000	1.00000000
1463.69000000	0.00000000
1463.69000000	0.00000000
1463.69000000	0.00000000
1463.69000000	0.00000000
1463.69000000	0.00000000
1463.69000000	0.00000000
1463.69000000	0.00199159
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00000000
1493.33000000	0.00593999
1497.00000000	0.00000000
1497.00000000	0.00000000
1497.00000000	0.03010499
1500.02000000	0.20096151
1500.33000000	0.04605433
1500.47000000	0.00000000
1500.47000000	0.09269573
1500.61000000	0.02976616
1500.78500000	0.00380723
1501.33000000	0.04812735
1502.79000000	0.00000000
1502.79000000	0.00000000
1502.79000000	0.00000000
1502.79000000	0.00000000
1502.79000000	0.00000000
1502.79000000	0.03447907
1503.88000000	0.00000000
1503.88000000	0.00000000
1503.88000000	0.00000000
1503.88000000	0.02531876
1504.65000000	0.00000000
1504.65000000	0.00000000
1504.65000000	0.00042110
1505.58000000	0.04352349
1505.97000000	0.00246752
1506.36500000	0.00000000
1506.36500000	0.06782513
1506.76000000	0.06317627
1507.00000000	0.00987675
1512.22500000	0.01173617
1527.38000000	0.00000000
1527.38000000	0.01132108
1528.22500000	0.01343797
1529.07000000	0.00000000
1529.07000000	0.02661263
1529.70000000	0.00000000
1529.70000000	0.00000000
1529.70000000	0.00000000
1529.70000000	0.00000000
1529.70000000	0.06042278
1530.33000000	0.00000000
1530.33000000	0.00000000
1530.33000000	0.00000000
1530.33000000	0.02556726
1530.96500000	0.05040828
1531.60000000	0.01127828
1541.09000000	0.00000000
1541.09000000	0.00000000
1541.09000000	0.00000000
1541.09000000	0.04783002
1541.42500000	0.00000000
1541.42500000	0.04884519
1542.44000000	0.13349991
1542.62000000	0.00000000
1542.62000000	0.21185683
1542.80000000	0.02204986
1545.66000000	0.01114470
1548.52000000	0.07414330
1548.79500000	0.01255502
1552.91000000	0.04902501
1553.40000000	0.00000000
1553.40000000	0.00000000
1553.40000000	0.00000000
1553.40000000	0.02221133
1553.89000000	0.00589275
1555.15500000	0.17020489
1555.79000000	0.16910479
1555.93500000	0.00000000
1555.93500000	0.00000000
1555.93500000	0.02435512
1556.08000000	0.00000000
1556.08000000	0.00204016
1559.27500000	0.00000000
1559.27500000	0.00326534
1561.64000000	0.00000000
1561.71000000	0.00000000
1561.78000000	0.00025042
1562.94000000	0.01157642
1563.40000000	0.00010093
1568.03500000	0.01590141
1568.87000000	0.00000000
1568.87000000	0.00000000
1568.87000000	0.00000000
1568.87000000	0.00000000
1568.87000000	0.02534790
1570.96000000	0.02335238
1571.46500000	0.09391442
1571.97000000	0.00000000
1571.97000000	0.00000000
1571.97000000	0.02837440
1572.72500000	0.00000000
