DEPTH d	VALUE d
1366.75000000	11.20262209
1372.58000000	8.16529084
1378.41000000	5.08477035
1401.09000000	109.64477489
1401.62000000	50.50742949
1425.32000000	28.08020593
1435.91000000	37.06632993
1436.09500000	38.61797818
1436.51000000	36.69052214
1436.74000000	37.57448409
1437.13000000	37.92964374
1437.52000000	41.96878449
1437.78500000	46.93024074
1438.40000000	56.05095348
1439.87500000	65.23369182
1441.22500000	39.93440202
1442.81000000	34.52841560
1444.17000000	31.20740139
1450.66000000	31.01094492
1457.15000000	5.63127406
1460.24000000	12.06298171
1463.51000000	-7.54237420
1463.69000000	27.00036394
1493.33000000	18.22653546
1497.00000000	18.81888817
1500.02000000	26.51217251
1500.33000000	35.03508971
1500.47000000	36.57205975
1500.61000000	34.76604781
1500.78500000	34.12658022
1501.33000000	34.12655140
1502.79000000	41.83887001
1503.88000000	47.78646973
1504.65000000	44.98386293
1505.58000000	43.94569303
1505.97000000	40.58469866
1506.36500000	39.61624853
1506.76000000	42.86670191
1507.00000000	44.94356395
1512.22500000	51.34767413
1527.38000000	31.53130353
1528.22500000	34.51974687
1529.07000000	36.99015359
1529.70000000	39.82046483
1530.33000000	48.54791334
1530.96500000	49.88727271
1531.60000000	49.78388108
1541.09000000	60.45145617
1541.42500000	62.22845665
1542.44000000	51.56920800
1542.62000000	54.27413762
1542.80000000	58.64424734
1545.66000000	49.64886899
1548.52000000	45.35007056
1548.79500000	43.01415849
1552.91000000	36.39494762
1553.40000000	32.83023624
1553.89000000	30.66451972
1555.15500000	30.75977727
1555.79000000	20.76136130
1555.93500000	15.26289663
1556.08000000	15.17764729
1559.27500000	15.59780122
1561.78000000	17.07289016
1562.94000000	17.36374306
1563.40000000	16.19323135
1568.03500000	14.61144706
1568.87000000	16.01808163
1570.96000000	10.91183812
1571.46500000	13.19079171
1571.97000000	24.52670250
1572.72500000	27.32388118
1573.84500000	37.13552727
1574.21000000	36.66413109
1589.85500000	23.41784283
1590.58000000	22.39831181
1591.17500000	22.51032518
1591.42000000	23.97241127
1592.19500000	27.77209499
1592.97000000	28.31735232
1593.40500000	26.73435655
1593.84000000	27.17611212
1594.27500000	28.37641178
1594.71000000	28.54913315
1595.66000000	23.56168993
1596.61000000	29.50331878
1600.51500000	39.18382543
1601.30000000	40.59602248
1601.64500000	41.33040376
1601.99000000	42.33903321
1602.29000000	41.44775406
1602.59000000	39.70899895
1603.98000000	37.64353919
1605.37000000	37.45843066
1607.40000000	42.24733258
1609.43000000	44.76191405
1612.67000000	42.73070289
1620.43000000	37.03093765
1624.95000000	11.20990773
1636.94000000	14.90722210
1637.71000000	21.95009237
1638.48000000	46.11960033
1642.30000000	42.59341223
1646.12000000	45.54762285
1646.47500000	45.43343841
1646.83000000	49.03710443
1657.99000000	50.22182812
1658.53000000	51.81325149
1659.07000000	49.70854888
1659.56500000	49.53251915
1661.69500000	48.55650962
1663.51000000	26.53179732
1663.69000000	26.90293059
1664.98000000	23.54419443
1666.43000000	19.89816683
1670.84000000	9.89671300
1675.25000000	6.68595516
1677.12500000	-5.66077562
1682.72000000	16.39760143
1686.44000000	15.37960413
1687.72000000	11.39029906
1690.05500000	6.77711722
1691.11000000	8.12420569
1692.96000000	8.98974926
1694.81000000	7.23213459
1695.98500000	10.20325694
1697.16000000	9.24437678
1697.72500000	16.90472749
1698.29000000	15.80920117
1705.80500000	19.31504225
1716.95000000	35.31966803
1721.23500000	37.68953862
1725.52000000	40.82009179
1734.41500000	38.22999959
1737.06000000	19.92324021
1739.43500000	22.21549015
1745.87000000	42.23729795
1749.93000000	38.18260526
1750.07500000	36.28621458
1750.22000000	30.37935494
1750.35000000	28.25880149
1750.48000000	36.80845869
1752.76500000	38.19233279
1758.79500000	17.07601045
1762.54000000	54.29592058
1777.33000000	49.01641316
1783.11000000	44.85930490
1783.35500000	38.92408024
1783.60000000	41.88818575
1784.30000000	40.26520915
1785.00000000	31.20792723
1787.42500000	30.35726004
1789.85000000	29.05141787
1791.69000000	30.55036180
1793.53000000	23.92754632
1794.45000000	20.98019123
1797.17000000	19.84414213
1798.97000000	12.28047016
1799.40500000	18.54937050
1799.84000000	17.52734754
1804.21000000	26.34987116
