DEPTH d	VALUE d
1366.75000000	0.00069492
1372.58000000	0.00520816
1378.41000000	0.00072965
1401.09000000	0.09086372
1401.62000000	0.00034763
1425.32000000	0.00029199
1435.91000000	0.03821075
1436.09500000	0.02970127
1436.51000000	0.01901737
1436.74000000	0.00336221
1437.13000000	0.00023601
1437.52000000	0.00310878
1437.78500000	0.00470603
1438.40000000	0.00479454
1439.87500000	0.00332012
1441.22500000	0.00320541
1442.81000000	0.00422626
1444.17000000	0.00066486
1450.66000000	0.00035155
1457.15000000	0.00125091
1460.24000000	0.00135577
1463.51000000	0.01633861
1463.69000000	0.00117518
1493.33000000	0.00469473
1497.00000000	0.00327963
1500.02000000	0.00847568
1500.33000000	0.01410730
1500.47000000	0.00802169
1500.61000000	0.01154581
1500.78500000	0.00089924
1501.33000000	0.00050548
1502.79000000	0.00146205
1503.88000000	0.00315991
1504.65000000	0.00045328
1505.58000000	0.00079942
1505.97000000	0.00452474
1506.36500000	0.00170662
1506.76000000	0.01729654
1507.00000000	0.00153502
1512.22500000	0.00063068
1527.38000000	0.00225828
1528.22500000	0.00219137
1529.07000000	0.00364498
1529.70000000	0.00058593
1530.33000000	0.00439199
1530.96500000	0.00719857
1531.60000000	0.00025204
1541.09000000	0.00062910
1541.42500000	0.00600788
1542.44000000	0.00405197
1542.62000000	0.02076250
1542.80000000	0.00055098
1545.66000000	0.00012175
1548.52000000	0.00021135
1548.79500000	0.00042927
1552.91000000	0.00049545
1553.40000000	0.00107238
1553.89000000	0.00009865
1555.15500000	0.00228118
1555.79000000	0.00796249
1555.93500000	0.01163125
1556.08000000	0.00091247
1559.27500000	0.00059176
1561.78000000	0.00024576
1562.94000000	0.00113305
1563.40000000	0.00015161
1568.03500000	0.00181788
1568.87000000	0.00069335
1570.96000000	0.00599896
1571.46500000	0.00398535
1571.97000000	0.00579960
1572.72500000	0.00862161
1573.84500000	0.00191245
1574.21000000	0.00022275
1589.85500000	0.01080168
1590.58000000	0.00983099
1591.17500000	0.00745636
1591.42000000	0.00173282
1592.19500000	0.00209422
1592.97000000	0.00266266
1593.40500000	0.00144308
1593.84000000	0.00170929
1594.27500000	0.00058640
1594.71000000	0.00306662
1595.66000000	0.00373102
1596.61000000	0.00035155
1600.51500000	0.00166453
1601.30000000	0.00485356
1601.64500000	0.00500563
1601.99000000	0.00694688
1602.29000000	0.00659108
1602.59000000	0.00116499
1603.98000000	0.00194407
1605.37000000	0.00180472
1607.40000000	0.00032029
1609.43000000	0.00171079
1612.67000000	0.00068010
1620.43000000	0.00423530
1624.95000000	0.00025409
1636.94000000	0.00086494
1637.71000000	0.00158469
1638.48000000	0.00211303
1642.30000000	0.00034772
1646.12000000	0.00912860
1646.47500000	0.00589102
1646.83000000	0.00026193
1657.99000000	0.00294519
1658.53000000	0.01217455
1659.07000000	0.00400407
1659.56500000	0.00056930
1661.69500000	0.00083214
1663.51000000	0.00530411
1663.69000000	0.00039736
1664.98000000	0.00082833
1666.43000000	0.00117679
1670.84000000	0.00071754
1675.25000000	0.00100253
1677.12500000	0.00221786
1682.72000000	0.00022826
1686.44000000	0.00097138
1687.72000000	0.00069992
1690.05500000	0.00084910
1691.11000000	0.00031318
1692.96000000	0.00016813
1694.81000000	0.00028679
1695.98500000	0.00149285
1697.16000000	0.00000751
1697.72500000	0.00131075
1698.29000000	0.00018098
1705.80500000	0.00159059
1716.95000000	0.00041386
1721.23500000	0.00109839
1725.52000000	0.00151482
1734.41500000	0.00026978
1737.06000000	0.00059133
1739.43500000	0.00196545
1745.87000000	0.00017661
1749.93000000	0.01702531
1750.07500000	0.00168749
1750.22000000	0.01870558
1750.35000000	0.04399152
1750.48000000	0.00278591
1752.76500000	0.00121867
1758.79500000	0.00129210
1762.54000000	0.00007035
1777.33000000	0.00263923
1783.11000000	0.01268152
1783.35500000	0.01856394
1783.60000000	0.00079331
1784.30000000	0.00126722
1785.00000000	0.00100476
1787.42500000	0.00081278
1789.85000000	0.00123990
1791.69000000	0.00062099
1793.53000000	0.00276469
1794.45000000	0.00033853
1797.17000000	0.00176022
1798.97000000	0.00292825
1799.40500000	0.00339713
1799.84000000	0.00007459
1804.21000000	0.00072508
