DEPTH d	VALUE d
1366.75000000	249.48774350
1372.58000000	251.22930945
1372.58000000	251.22930945
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1378.41000000	266.10469045
1401.09000000	234.04091329
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1401.54500000	240.45278251
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1425.32000000	243.83633177
1435.91000000	242.11544794
1436.09500000	241.55171630
1436.51000000	237.20559167
1436.74000000	236.26556944
1436.74000000	236.26556944
1437.13000000	235.82528872
1437.52000000	234.63423971
1437.52000000	234.63423971
1437.78500000	234.74610928
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1438.40000000	233.61771469
1439.87500000	232.47151949
1441.22500000	232.45282338
1442.81000000	233.28431724
1444.17000000	233.89809030
1444.17000000	233.89809030
1450.66000000	234.45154950
1457.15000000	240.27539107
1460.24000000	240.74027395
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.51000000	243.63209418
1463.69000000	242.99628392
1463.69000000	242.99628392
1463.69000000	242.99628392
1463.69000000	242.99628392
1463.69000000	242.99628392
1463.69000000	242.99628392
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1493.33000000	253.87946752
1497.00000000	243.03676188
1497.00000000	243.03676188
1497.00000000	243.03676188
1500.02000000	238.30733206
1500.33000000	236.71963710
1500.47000000	236.53067593
1500.47000000	236.53067593
1500.61000000	236.08146675
1500.78500000	235.54281313
1501.33000000	234.79503583
1502.79000000	232.66765113
1502.79000000	232.66765113
1502.79000000	232.66765113
1502.79000000	232.66765113
1502.79000000	232.66765113
1502.79000000	232.66765113
1503.88000000	232.47484501
1503.88000000	232.47484501
1503.88000000	232.47484501
1503.88000000	232.47484501
1504.65000000	232.44593091
1504.65000000	232.44593091
1504.65000000	232.44593091
1505.58000000	231.82190590
1505.97000000	231.14680809
1506.36500000	230.54457961
1506.36500000	230.54457961
1506.76000000	230.07422253
1507.00000000	229.69968974
1512.22500000	228.54352936
1527.38000000	239.36872899
1527.38000000	239.36872899
1528.22500000	238.79629639
