DEPTH d	VALUE d
1366.75000000	54.07588992
1372.58000000	53.24940125
1372.58000000	53.24940125
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1378.41000000	46.71113095
1401.09000000	57.22455841
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1401.54500000	57.90199119
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1425.32000000	55.30682697
1435.91000000	54.78868516
1436.09500000	55.43339885
1436.51000000	56.64393006
1436.74000000	57.19760576
1436.74000000	57.19760576
1437.13000000	57.08786297
1437.52000000	57.18453977
1437.52000000	57.18453977
1437.78500000	57.11578109
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1438.40000000	57.70374445
1439.87500000	59.34330250
1441.22500000	59.62751050
1442.81000000	58.74916599
1444.17000000	57.97716305
1444.17000000	57.97716305
1450.66000000	58.64931153
1457.15000000	59.14772098
1460.24000000	58.71707372
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.51000000	60.32525461
1463.69000000	59.45298185
1463.69000000	59.45298185
1463.69000000	59.45298185
1463.69000000	59.45298185
1463.69000000	59.45298185
1463.69000000	59.45298185
1493.33000000	57.94123888
1493.33000000	57.94123888
1493.33000000	57.94123888
1493.33000000	57.94123888
1497.00000000	58.69931165
1497.00000000	58.69931165
1497.00000000	58.69931165
1500.02000000	59.37644387
1500.33000000	59.57935607
1500.47000000	59.88657965
1500.47000000	59.88657965
1500.61000000	59.93873451
1500.78500000	60.22573130
1501.33000000	60.52006460
1502.79000000	60.42416785
1502.79000000	60.42416785
1502.79000000	60.42416785
1502.79000000	60.42416785
1502.79000000	60.42416785
1502.79000000	60.42416785
1503.88000000	60.91887737
1503.88000000	60.91887737
1503.88000000	60.91887737
1503.88000000	60.91887737
1504.65000000	60.20362367
1504.65000000	60.20362367
1504.65000000	60.20362367
1505.58000000	60.19116551
1505.97000000	60.23694356
1506.36500000	60.00505271
1506.36500000	60.00505271
1506.76000000	59.98543209
1507.00000000	59.39974979
1512.22500000	57.99317030
1527.38000000	56.89173412
1527.38000000	56.89173412
1528.22500000	56.72210502
1529.07000000	56.45934177
1529.07000000	56.45934177
1529.70000000	55.40011780
1529.70000000	55.40011780
1529.70000000	55.40011780
1529.70000000	55.40011780
1529.70000000	55.40011780
1530.33000000	55.29139189
1530.33000000	55.29139189
1530.33000000	55.29139189
1530.33000000	55.29139189
1530.96500000	55.74472217
1531.60000000	56.37133074
1541.09000000	57.36932978
1541.09000000	57.36932978
1541.09000000	57.36932978
1541.09000000	57.36932978
1541.42500000	57.42165943
1541.42500000	57.42165943
1542.44000000	57.90427114
1542.62000000	58.44020473
1542.62000000	58.44020473
1542.80000000	60.21890575
1545.66000000	59.43012455
1548.52000000	57.88461617
1548.79500000	56.30886420
1552.91000000	54.15489975
1553.40000000	53.89000055
1553.40000000	53.89000055
1553.40000000	53.89000055
1553.40000000	53.89000055
1553.89000000	53.49150423
1555.15500000	53.91511036
1555.79000000	53.58117305
1555.93500000	54.17837725
1555.93500000	54.17837725
1555.93500000	54.17837725
1556.08000000	54.44711351
1556.08000000	54.44711351
1559.27500000	54.42122699
1559.27500000	54.42122699
1561.64000000	55.04922456
1561.71000000	55.53554150
1561.78000000	55.58390034
1562.94000000	57.14082547
1563.40000000	58.10197159
1568.03500000	61.94253756
1568.87000000	63.86742205
1568.87000000	63.86742205
1568.87000000	63.86742205
1568.87000000	63.86742205
1568.87000000	63.86742205
1570.96000000	64.60794910
1571.46500000	64.39696812
1571.97000000	64.09980101
1571.97000000	64.09980101
1571.97000000	64.09980101
1572.72500000	66.11696721
1572.72500000	66.11696721
1573.84500000	62.79760448
1574.21000000	61.58134733
1589.85500000	61.06366231
1590.48500000	60.96792275
1590.58000000	61.29099178
1591.17500000	60.77374902
1591.42000000	60.70298885
1591.42000000	60.70298885
1592.19500000	60.02403849
1592.19500000	60.02403849
1592.19500000	60.02403849
1592.97000000	60.39560962
1593.40500000	60.69596820
1593.84000000	60.77695067
1594.27500000	60.96716749
1594.27500000	60.96716749
1594.71000000	61.06434424
1594.71000000	61.06434424
1594.71000000	61.06434424
1594.71000000	61.06434424
1595.66000000	61.80976991
1596.61000000	58.59519020
1600.51500000	58.11222427
1601.30000000	57.66158746
1601.64500000	57.11983148
1601.99000000	56.50243226
1602.29000000	56.13267892
1602.59000000	56.24616031
1603.98000000	56.46428550
1603.98000000	56.46428550
1603.98000000	56.46428550
1605.37000000	55.48972039
1607.40000000	54.10742889
1609.43000000	52.63258020
1612.67000000	50.01750548
1612.67000000	50.01750548
1620.43000000	50.15698574
1620.43000000	50.15698574
1620.43000000	50.15698574
1620.43000000	50.15698574
1620.43000000	50.15698574
1624.95000000	60.39998572
1624.95000000	60.39998572
1624.95000000	60.39998572
1624.95000000	60.39998572
1624.95000000	60.39998572
1624.95000000	60.39998572
1624.95000000	64.69613649
1636.94000000	65.10036482
1636.94000000	65.10036482
1637.71000000	65.72816075
1637.71000000	65.72816075
1637.71000000	65.72816075
1637.71000000	65.72816075
1637.71000000	65.72816075
1637.71000000	65.72816075
1638.48000000	67.81172356
1642.30000000	65.81568021
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.12000000	65.68599295
1646.47500000	65.23479899
1646.83000000	64.96342703
1657.99000000	64.84146651
1658.53000000	65.04401263
1658.53000000	65.04401263
1658.53000000	65.04401263
1659.07000000	63.30206757
1659.56500000	63.62370104
1659.56500000	63.62370104
1661.69500000	63.40195475
1663.51000000	63.30803690
1663.51000000	63.30803690
1663.51000000	63.30803690
1663.51000000	63.30803690
1663.51000000	63.30803690
1663.51000000	63.30803690
1663.51000000	63.30803690
1663.51000000	63.30803690
1663.69000000	63.51208041
1663.69000000	63.51208041
1663.69000000	63.51208041
1664.98000000	63.42451483
1666.35000000	63.54776139
1666.43000000	63.22471814
1666.43000000	63.22471814
1666.43000000	63.22471814
1670.84000000	64.79715017
1675.25000000	64.51261060
1675.25000000	64.51261060
1677.12500000	65.57878113
1682.72000000	66.45446222
1682.72000000	66.45446222
1686.44000000	66.44078555
1686.44000000	66.44078555
1687.72000000	66.64333582
1687.72000000	66.64333582
1687.72000000	66.64333582
1687.72000000	66.64333582
1690.05500000	67.18717996
1690.05500000	67.18717996
1691.11000000	67.24101439
1692.96000000	67.30344310
1694.81000000	67.28343107
1694.81000000	67.28343107
1694.81000000	67.28343107
1694.81000000	67.28343107
1694.81000000	67.28343107
1694.81000000	67.28343107
1694.81000000	67.28343107
1694.81000000	67.28343107
1695.98500000	67.24886105
1695.98500000	67.24886105
1697.16000000	67.58308079
1697.16000000	67.58308079
1697.72500000	67.50686129
1697.72500000	67.50686129
1698.29000000	67.59439901
1698.29000000	67.59439901
1705.80500000	67.77917474
1705.80500000	67.77917474
1716.81000000	63.04793949
1716.88000000	61.98176365
1716.88000000	61.98176365
1716.88000000	61.98176365
1716.88000000	61.98176365
1716.88000000	61.98176365
1716.88000000	61.98176365
1716.88000000	61.98176365
1716.88000000	61.98176365
1716.95000000	62.99319948
1716.95000000	62.99319948
1716.95000000	62.99319948
1716.95000000	62.99319948
1716.95000000	62.99319948
1716.95000000	62.99319948
1721.23500000	63.45369832
1725.52000000	62.68793878
1725.52000000	62.68793878
1725.52000000	62.68793878
1725.52000000	62.68793878
1734.41500000	66.27509184
1734.41500000	66.27509184
1734.41500000	66.27509184
1734.41500000	66.27509184
1734.41500000	66.27509184
1737.06000000	66.48126943
1737.06000000	66.48126943
1737.06000000	66.48126943
1737.06000000	66.48126943
1739.43500000	66.26345247
1739.43500000	66.26345247
1739.43500000	66.26345247
