DEPTH d	VALUE d
1366.75000000	64.51428857
1374.68500000	61.50852025
1374.68500000	61.50852025
1376.67000000	58.60510197
1382.04500000	55.80313293
1387.42000000	60.11096098
1387.42000000	60.11096098
1387.42000000	60.11096098
1387.42000000	60.11096098
1388.29000000	58.76483020
1388.29000000	58.76483020
1388.29000000	58.76483020
1388.29000000	58.76483020
1389.16000000	61.36190140
1389.16000000	61.36190140
1389.16000000	61.36190140
1389.16000000	61.36190140
1395.12500000	60.76317680
1395.12500000	60.76317680
1395.12500000	60.76317680
1395.12500000	60.76317680
1401.09000000	63.85095042
1401.09000000	63.85095042
1401.09000000	63.85095042
1402.83500000	66.27476524
1404.58000000	65.31129538
1404.58000000	65.31129538
1404.58000000	65.31129538
1404.58000000	65.31129538
1408.90500000	65.59211215
1408.90500000	65.59211215
1413.23000000	66.43804835
1413.89500000	67.69678134
1414.56000000	67.84195611
1415.13500000	67.81644196
1415.13500000	67.81644196
1415.13500000	67.81644196
1415.71000000	68.12332570
1416.88000000	67.70568683
1416.88000000	67.70568683
1416.88000000	67.70568683
1417.38000000	67.56656562
1417.88000000	67.87314227
1419.96500000	68.15183695
1419.96500000	68.15183695
1419.96500000	68.15183695
1419.96500000	68.15183695
1419.96500000	68.15183695
1419.96500000	68.15183695
1422.10500000	68.20416065
1424.18000000	67.99967547
1426.20000000	68.04606590
1426.36500000	67.61565657
1429.78000000	67.40468388
1433.67000000	66.79403545
1435.33000000	66.73342192
1436.74000000	66.65740158
1436.74000000	66.65740158
1437.78500000	66.43642765
1437.78500000	66.43642765
1438.05000000	66.15395879
1438.05000000	66.15395879
1438.40000000	65.75180922
1438.75000000	65.20597489
1438.75000000	65.20597489
1438.75000000	65.20597489
1438.75000000	65.20597489
1438.75000000	65.20597489
1438.75000000	65.20597489
1438.89000000	65.05414755
1439.13500000	64.36837045
1439.13500000	64.36837045
1439.13500000	64.36837045
1440.32000000	65.39096860
1441.45000000	65.77401704
1450.42500000	64.94486056
1456.68000000	64.56638737
1456.91500000	66.22852133
1457.15000000	67.44677082
1459.23000000	66.28719679
1462.32000000	66.62053035
