DEPTH d	VALUE d
1374.22500000	0.08888399
1378.74000000	0.00472207
1401.98000000	0.03149788
1404.99500000	0.00482974
1408.01000000	0.15097699
1408.47500000	0.08644011
1409.70000000	0.17734975
1410.46000000	0.01365069
1435.40000000	0.00090078
1442.87000000	0.05345496
1443.15000000	0.00476081
1443.42000000	0.07258326
1443.69000000	0.00886598
1444.45000000	0.00241929
1445.40500000	0.17119726
1445.60000000	0.00803658
1502.66000000	0.00300590
1503.36000000	0.05155657
1505.81500000	0.00270800
1511.86500000	0.00730997
1515.56000000	0.00379778
1516.58500000	0.01289493
1517.70000000	0.03096305
1518.17500000	0.01669356
1518.56000000	0.05092384
1518.97000000	0.04354944
1519.38000000	0.02629368
1519.93500000	0.00456644
1520.49000000	0.00390766
1523.55000000	0.01166431
1524.56000000	0.00036201
1526.52000000	0.00218129
1528.48000000	0.01984816
1529.72000000	0.00633553
1530.96000000	0.11415484
1531.42000000	0.06658213
1531.88000000	0.00649093
1553.16000000	0.03384526
1555.00000000	0.01811802
1555.77000000	0.00418287
1564.43000000	0.00083182
1572.32000000	0.00020156
1590.01000000	0.01152039
1610.48000000	0.01145304
1637.66000000	0.00303133
1739.42000000	0.00699402
