DEPTH d	VALUE d
1374.22500000	272.36368529
1378.74000000	269.47107927
1378.74000000	269.47107927
1378.74000000	269.47107927
1378.74000000	269.47107927
1378.74000000	269.47107927
1378.74000000	269.47107927
1378.74000000	269.47107927
1378.74000000	269.47107927
1401.98000000	239.52389681
1401.98000000	239.52389681
1401.98000000	239.52389681
1401.98000000	239.52389681
1401.98000000	239.52389681
1401.98000000	239.52389681
1404.99500000	242.99127393
1408.01000000	245.73720047
1408.01000000	245.73720047
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1408.47500000	250.16978278
1409.70000000	257.32715410
1409.70000000	257.32715410
1409.70000000	257.32715410
1409.70000000	257.32715410
1409.70000000	257.32715410
1409.70000000	257.32715410
1410.46000000	261.41730658
1410.46000000	269.94364073
1435.40000000	246.22316768
1435.40000000	246.22316768
1435.40000000	246.22316768
1435.40000000	246.22316768
1435.40000000	246.22316768
1435.40000000	246.22316768
1435.40000000	246.22316768
1442.87000000	244.07856780
1443.15000000	241.50895430
1443.42000000	243.00711753
1443.69000000	242.56247224
1443.69000000	242.56247224
1443.69000000	242.56247224
1443.69000000	242.56247224
1443.69000000	242.56247224
1443.69000000	242.56247224
1443.69000000	242.56247224
1443.69000000	242.56247224
1443.69000000	242.56247224
1443.69000000	242.56247224
1444.45000000	241.81045655
1444.45000000	241.81045655
1444.45000000	241.81045655
1444.45000000	241.81045655
1444.45000000	241.81045655
1444.45000000	241.81045655
1444.45000000	241.81045655
1445.40500000	241.01946611
1445.60000000	244.74868412
1502.66000000	230.82095423
1503.36000000	233.55631590
1503.36000000	233.55631590
1503.36000000	233.55631590
1503.36000000	233.55631590
1505.81500000	237.22062899
1505.81500000	237.22062899
1505.81500000	237.22062899
1505.81500000	237.22062899
1505.81500000	237.22062899
1505.81500000	237.22062899
1505.81500000	237.22062899
1505.81500000	237.22062899
1511.86500000	239.27605765
1511.86500000	239.27605765
1515.51000000	242.21446026
1515.56000000	243.15128318
1516.58500000	244.08268908
1517.61000000	245.00567484
1517.61000000	245.00567484
1517.70000000	246.68654439
1518.17500000	247.72962121
1518.56000000	247.20151917
1518.56000000	247.20151917
1518.56000000	247.20151917
1518.97000000	247.34542737
1519.38000000	246.25087830
1519.38000000	246.25087830
1519.93500000	245.50497121
1520.49000000	245.08853881
1520.49000000	245.08853881
1520.49000000	245.08853881
1520.49000000	245.08853881
1523.55000000	245.65210286
1523.55000000	245.65210286
1524.56000000	244.61088260
1526.52000000	243.87296815
1528.48000000	242.57879895
1529.72000000	240.46589313
1529.72000000	240.46589313
1529.72000000	240.46589313
1530.96000000	239.39981438
1531.42000000	238.61636159
1531.42000000	238.61636159
1531.42000000	238.61636159
1531.42000000	238.61636159
1531.88000000	239.41525403
1531.88000000	239.41525403
1553.16000000	241.73219994
1553.16000000	241.73219994
1555.00000000	251.79215130
1555.00000000	251.79215130
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1555.77000000	256.56561417
1564.43000000	263.23317289
1564.43000000	263.23317289
1572.32000000	262.84492709
1572.32000000	262.84492709
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1572.32000000	260.11416582
1590.01000000	258.24385700
1590.01000000	258.24385700
1590.01000000	258.24385700
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1590.01000000	256.31900852
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1610.48000000	249.42813761
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1637.66000000	248.57080686
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
1739.42000000	233.86089058
