DEPTH d	VALUE d
1374.22500000	41.53167798
1378.74000000	34.39710959
1401.98000000	18.52927784
1404.99500000	18.12234482
1408.01000000	18.30811119
1408.47500000	20.89485192
1409.70000000	23.84651552
1410.46000000	33.34880739
1435.40000000	23.99307702
1442.87000000	24.28308334
1443.15000000	23.51731966
1443.42000000	23.73876517
1443.69000000	24.29856341
1444.45000000	24.39106874
1445.40500000	24.35519807
1445.60000000	27.17309742
1502.66000000	12.41908140
1503.36000000	11.35970408
1505.81500000	14.13547991
1511.86500000	14.79851473
1515.56000000	16.28335388
1516.58500000	16.56012495
1517.70000000	18.09161543
1518.17500000	19.11026595
1518.56000000	19.37615311
1518.97000000	19.12007069
1519.38000000	18.28204860
1519.93500000	17.74992490
1520.49000000	17.78175943
1523.55000000	18.14897774
1524.56000000	17.70752972
1526.52000000	17.65359660
1528.48000000	17.50557062
1529.72000000	16.77850674
1530.96000000	16.39572302
1531.42000000	14.42390801
1531.88000000	18.55436190
1553.16000000	12.85192005
1555.00000000	22.07670470
1555.77000000	25.37859008
1564.43000000	27.54587713
1572.32000000	20.47364130
1590.01000000	18.49067209
1610.48000000	25.34785154
1637.66000000	16.29341240
1739.42000000	9.20513846
