DEPTH d	VALUE d
1370.62000000	58.14302276
1372.51500000	56.00540201
1373.53000000	55.19390152
1374.66000000	52.09469958
1376.30000000	51.34473175
1376.67000000	51.24805805
1378.57500000	43.08971372
1384.20000000	47.93675163
1384.20000000	47.93675163
1384.71500000	47.85099823
1385.12500000	42.53041387
1385.66000000	39.97338803
1385.99000000	39.51313281
1386.99000000	37.53987729
1386.99000000	37.53987729
1387.29000000	44.77689877
1387.42000000	48.22408152
1387.42000000	48.22408152
1388.06500000	59.33079164
1391.63500000	66.61658775
1394.11000000	67.44477470
1394.72500000	67.71704861
1398.64500000	77.36910044
1399.14000000	78.37614459
1401.47000000	84.45933048
1401.62000000	81.17302388
1401.88000000	76.85128358
1401.93000000	71.44203355
1401.93000000	71.44203355
1401.93000000	71.44203355
1401.98000000	72.00272072
1402.97000000	72.78514260
1403.90000000	72.66826376
1404.58000000	79.97779319
1405.24000000	78.41111761
1408.01000000	78.49825099
1408.94000000	78.31739936
1408.94000000	78.31739936
1411.84500000	76.99445186
1415.71000000	69.68276587
1416.15000000	71.80801543
1416.73500000	72.64807470
1417.18000000	62.47781258
1417.68000000	61.52274782
1417.68000000	61.52274782
1418.84500000	61.57312807
1420.93000000	63.36770912
1422.10500000	68.97896086
1422.10500000	68.97896086
1422.10500000	68.97896086
1424.66000000	64.76374997
1425.76000000	65.80022308
1426.36500000	66.41986890
1429.07500000	55.70396146
1430.81000000	56.25452872
1433.35000000	55.59672439
1433.92000000	54.35562179
1434.34500000	53.83190090
1435.08500000	54.77212532
1435.91000000	55.92930937
1436.28000000	58.89283756
1436.74000000	60.09098738
1437.78500000	61.54384167
1439.03000000	81.05262066
1439.24000000	87.64848436
1439.78000000	88.39873920
1440.66000000	91.39278524
1441.00000000	92.15590278
1441.00000000	92.15590278
1441.22500000	91.85576822
1442.02000000	93.83559382
1442.87000000	95.13283083
1443.69000000	94.26385572
1445.21000000	95.95295831
1445.60000000	93.93883965
1446.16000000	96.22641767
1446.49000000	99.20459781
1446.87500000	98.03405168
1449.42000000	95.98404999
1452.28000000	95.50384466
1455.75000000	88.37250069
1456.68000000	84.63178602
1457.15000000	73.19875746
1460.49500000	65.38127007
1460.95000000	53.36876708
1460.95000000	53.36876708
1461.31000000	45.53576088
1461.49000000	45.46011940
1461.67000000	46.35981833
1461.74500000	42.34149836
1461.74500000	42.34149836
1461.82000000	42.52568016
1462.73500000	45.22689439
1463.69000000	47.63278917
1464.43000000	49.86490061
1470.48000000	49.79694521
1471.03000000	49.59438061
1474.98000000	50.19585543
1476.71000000	50.90688407
1477.08000000	49.92619448
1478.37000000	52.71659317
1478.63000000	53.12378387
1478.89000000	53.03198074
1479.98000000	52.87849781
1480.30000000	53.68375767
1480.62500000	54.53092119
1480.62500000	54.53092119
1481.66000000	64.11946940
1482.16500000	64.46939884
1482.16500000	64.46939884
1482.67000000	62.39639098
1483.08000000	62.74116917
1483.49000000	62.77380788
1484.67000000	63.43583381
1485.74500000	62.87826422
1486.19500000	64.08432422
1486.89000000	64.10273938
1488.33000000	63.36375741
1490.46000000	62.69580128
1493.33000000	62.48305567
1496.74000000	61.09188798
1499.51000000	58.99934752
1500.02000000	58.56893406
1500.61000000	58.82250586
1501.33000000	60.58750526
1502.18000000	58.82000319
1502.18000000	58.82000319
1503.01000000	49.39467399
1503.01000000	49.39467399
1503.01000000	49.39467399
1503.36000000	50.16229393
1503.36000000	50.16229393
1503.88000000	50.73902052
1504.65000000	74.78334143
1505.97000000	72.29757840
1506.36500000	71.33204730
1507.00000000	70.89938358
1511.86500000	70.51389097
1515.51000000	71.35780703
1515.56000000	71.26406550
1516.38000000	71.68095188
1516.71000000	74.59839537
1516.96000000	75.71626433
1517.41000000	77.08913912
1517.70000000	75.06167794
1518.17500000	76.99248302
1518.56000000	76.05610296
1519.38000000	74.14275424
1520.49000000	72.91711490
1522.02000000	72.06754540
1522.02000000	72.06754540
1522.02000000	72.06754540
1524.05500000	72.08579644
1527.38000000	45.05502653
1529.07000000	47.15848140
1530.09500000	50.44754471
1530.64500000	52.38846425
1530.96000000	53.55953881
1531.60000000	54.38071395
1531.88000000	58.67478365
1534.38000000	59.45729218
1536.88000000	59.93563180
1536.88000000	59.93563180
1536.88000000	59.93563180
1537.94000000	60.21019150
1538.25000000	59.30185535
