DEPTH d	VALUE d
1370.62000000	14.91348372
1372.51500000	14.22470212
1373.53000000	13.31984691
1374.66000000	12.47783281
1376.30000000	12.01471524
1376.67000000	11.79126532
1378.57500000	8.04329239
1384.20000000	9.11155123
1384.20000000	9.11155123
1384.71500000	9.21972629
1385.12500000	9.51707290
1385.66000000	9.04043964
1385.99000000	8.85377002
1386.99000000	8.74589417
1386.99000000	8.74589417
1387.29000000	4.41084101
1387.42000000	4.49852907
1387.42000000	4.49852907
1388.06500000	8.32490349
1391.63500000	11.50359305
1394.11000000	11.08514565
1394.72500000	11.53486098
1398.64500000	11.98444308
1399.14000000	12.29250386
1401.47000000	13.52004681
1401.62000000	15.13462190
1401.88000000	16.79092149
1401.93000000	19.07620434
1401.93000000	19.07620434
1401.93000000	19.07620434
1401.98000000	18.81727865
1402.97000000	19.85837464
1403.90000000	20.04492388
1404.58000000	18.69755062
1405.24000000	17.86218474
1408.01000000	17.96640883
1408.94000000	17.88941676
1408.94000000	17.88941676
1411.84500000	17.12443421
1415.71000000	14.90846280
1416.15000000	15.59150926
1416.73500000	16.70874479
1417.18000000	18.01516585
1417.68000000	17.04833602
1417.68000000	17.04833602
1418.84500000	15.63214792
1420.93000000	13.51093999
1422.10500000	9.53533657
1422.10500000	9.53533657
1422.10500000	9.53533657
1424.66000000	9.39947616
1425.76000000	9.16080291
1426.36500000	11.69769150
1429.07500000	14.19596550
1430.81000000	14.69845815
1433.35000000	14.87826830
1433.92000000	14.88174049
1434.34500000	14.77956234
1435.08500000	15.20260794
1435.91000000	17.00311961
1436.28000000	18.82956822
1436.74000000	18.62020486
1437.78500000	20.61963138
1439.03000000	19.32601896
1439.24000000	18.39906797
1439.78000000	18.76996223
1440.66000000	18.63195964
1441.00000000	19.01551517
1441.00000000	19.01551517
1441.22500000	18.59892839
1442.02000000	19.11207378
1442.87000000	19.81832293
1443.69000000	17.94560812
1445.21000000	17.05836391
1445.60000000	17.10680411
1446.16000000	17.24504207
1446.49000000	17.77094698
1446.87500000	17.03933618
1449.42000000	15.58824756
1452.28000000	13.61527172
1455.75000000	11.57468540
1456.68000000	11.23350414
1457.15000000	6.83326555
1460.49500000	8.30213464
1460.95000000	9.15274012
1460.95000000	9.15274012
1461.31000000	9.97258887
1461.49000000	9.56853773
1461.67000000	9.52832094
1461.74500000	9.91480990
1461.74500000	9.91480990
1461.82000000	9.65615916
1462.73500000	10.36435673
1463.69000000	10.52244049
1464.43000000	10.04277346
1470.48000000	10.26502090
1471.03000000	10.40683883
1474.98000000	10.94107776
1476.71000000	11.21441386
1477.08000000	11.52969862
1478.37000000	10.27068412
1478.63000000	10.18447131
1478.89000000	9.98182232
1479.98000000	9.68617360
1480.30000000	9.29363052
1480.62500000	9.10624547
1480.62500000	9.10624547
1481.66000000	8.80226830
1482.16500000	8.80479582
1482.16500000	8.80479582
1482.67000000	9.65538315
1483.08000000	9.81593970
1483.49000000	9.69359264
1484.67000000	9.67416075
1485.74500000	10.04039817
1486.19500000	9.83382102
1486.89000000	9.57712466
1488.33000000	10.99922483
1490.46000000	11.70462904
1493.33000000	12.54016201
1496.74000000	13.69990575
1499.51000000	13.88764645
1500.02000000	14.35211605
1500.61000000	15.10160055
1501.33000000	16.03066001
1502.18000000	17.98649612
1502.18000000	17.98649612
1503.01000000	19.05221194
1503.01000000	19.05221194
1503.01000000	19.05221194
1503.36000000	18.91510044
1503.36000000	18.91510044
1503.88000000	19.99471861
1504.65000000	17.57249566
1505.97000000	19.28903754
1506.36500000	19.79682843
1507.00000000	20.61261404
1511.86500000	21.67951858
1515.51000000	22.18069402
1515.56000000	22.08544370
1516.38000000	22.37371808
1516.71000000	24.09375484
1516.96000000	24.45748144
1517.41000000	25.33497404
1517.70000000	25.39708307
1518.17500000	24.24199768
1518.56000000	24.11149072
1519.38000000	23.36189235
1520.49000000	23.39024451
1522.02000000	23.77081479
1522.02000000	23.77081479
1522.02000000	23.77081479
1524.05500000	23.34698621
1527.38000000	26.56808972
1529.07000000	25.56431202
1530.09500000	23.83765982
1530.64500000	22.71735962
1530.96000000	21.68110899
1531.60000000	21.20585194
1531.88000000	20.68089687
1534.38000000	20.03191933
1536.88000000	18.79106281
1536.88000000	18.79106281
1536.88000000	18.79106281
1537.94000000	18.21288484
1538.25000000	17.93304687
1539.48000000	17.51357375
1541.09000000	17.80673773
1541.76000000	16.64541995
1542.10000000	14.80997930
1542.62000000	16.50437155
1545.12000000	16.78521444
1548.79500000	17.32097468
1550.99000000	18.26505427
1553.16000000	18.35149431
1554.33500000	18.64452816
1554.78000000	18.90111349
1554.78000000	18.90111349
1555.23000000	18.88596782
1555.79000000	18.78828569
1555.93500000	18.61152318
1556.08000000	18.36238511
1556.08000000	18.36238511
1556.08000000	18.36238511
1556.54000000	18.81474280
1556.91000000	18.38789795
1557.34000000	18.31499974
1557.63000000	18.03801529
1557.92000000	17.91292901
1561.64000000	18.64326816
1562.02500000	18.12308423
1562.48000000	18.08602610
1565.67000000	17.55332135
1567.77000000	16.40722421
1568.60500000	16.48960410
1569.41000000	16.42485918
1569.41000000	16.42485918
1569.41000000	16.42485918
1570.96000000	15.90042194
1571.97000000	16.29052552
1572.14500000	16.41151547
1572.32000000	16.74148836
1572.32000000	16.74148836
1572.32000000	16.74148836
1572.90000000	16.22257645
1573.48000000	16.64205086
1574.97000000	16.97365654
1580.88000000	18.26871727
1589.23500000	17.93531784
1590.01000000	16.06739285
1590.26000000	15.57236660
1590.48500000	15.20265339
1590.75500000	15.22872296
1590.93000000	15.40786429
1590.93000000	15.40786429
1591.17500000	15.79478660
1591.42000000	15.64808610
1591.79500000	15.26325967
1592.57000000	15.58264063
1593.40500000	15.55503130
1593.40500000	15.55503130
1594.27500000	15.19830862
1594.71000000	15.23019865
1594.71000000	15.23019865
1594.71000000	15.23019865
1594.71000000	15.23019865
1596.15000000	15.57212813
1600.68000000	14.97085225
1601.30000000	15.15435124
1601.64500000	15.39512994
1602.59000000	15.12147925
1604.33000000	14.66331157
1605.37000000	14.53366594
1610.48000000	13.86843550
1611.72000000	13.64730888
1612.96000000	13.41486715
1613.68000000	13.18209536
1614.27000000	13.28203817
1614.72000000	13.10187921
1615.91000000	12.56021485
1616.01000000	12.49281093
1616.31500000	12.62736314
1617.04500000	12.46630709
1617.92500000	12.30739828
1618.28000000	12.25853859
1618.77500000	12.10797322
1620.19000000	11.14444526
1620.66500000	9.99272196
1621.59500000	10.03924546
1622.33000000	10.01312505
1623.64000000	9.80436259
1625.43000000	9.85952234
1626.36000000	9.83283918
1627.97500000	9.54171647
1628.90000000	12.10915857
1630.35500000	12.22981219
1631.29500000	12.29636812
1632.00000000	12.24187958
1632.74000000	12.30913548
1633.94000000	12.40399531
1634.76500000	12.40056688
1635.15000000	12.27872756
1635.92000000	12.14769427
1637.66000000	12.60921877
1638.08000000	12.57092068
1638.91500000	12.62452865
1640.11000000	12.75482185
1640.56000000	12.60147694
1641.77000000	12.72286528
1643.11500000	12.82054754
1644.43000000	12.88164089
1644.80500000	13.03343235
1645.65000000	13.13840414
1646.83000000	13.16193088
1647.90000000	11.06630875
1648.96500000	11.37245705
1649.83000000	11.59529398
1650.63000000	11.84346397
1652.22000000	11.78742052
1653.06000000	11.85756187
1655.80500000	12.33204627
1656.03000000	12.44675605
1656.68000000	12.34596627
1658.37000000	12.16251752
1658.72000000	12.23142077
1660.06000000	12.13577057
1661.03000000	12.04884113
1662.41000000	12.00449559
1662.86000000	11.86844269
1663.17000000	11.74933018
1663.33000000	11.73452833
1663.33000000	11.73452833
1663.69000000	11.92485709
1665.80500000	11.85506259
1666.15000000	11.80634206
1666.43000000	11.33754493
1667.37000000	11.15174993
1668.84000000	10.81556730
1669.76500000	10.99542361
1669.97000000	11.26077272
1671.89000000	10.54459454
1673.57000000	10.26512302
1675.70500000	10.50320362
1678.13000000	9.87469854
1678.56500000	9.88641974
1679.27500000	10.06179639
1680.11000000	10.40449227
1681.21500000	10.58313363
1684.66000000	10.79522026
1685.74000000	11.03938428
1686.09000000	11.07626397
1686.44000000	11.21976979
1687.05000000	10.91867804
1687.95000000	11.01819965
1689.00000000	11.22594195
1690.60000000	11.36559249
1691.66000000	11.25658993
1692.40000000	11.28639528
1692.91000000	11.23734860
1693.42000000	11.08315463
1693.42000000	11.08315463
1694.81000000	11.15000576
1695.05000000	11.28804123
1695.49500000	11.17534623
1695.94000000	11.24822563
