DEPTH d	VALUE d
1370.62000000	250.06412562
1372.51500000	249.24384078
1373.53000000	247.98554389
1374.66000000	247.20478278
1376.30000000	245.45477052
1376.67000000	245.09466284
1378.57500000	243.55964851
1384.20000000	243.73036081
1384.20000000	243.73036081
1384.71500000	243.65570717
1385.12500000	243.63821091
1385.66000000	243.53430904
1385.99000000	243.19683362
1386.99000000	242.14706855
1386.99000000	242.14706855
1387.29000000	239.33938167
1387.42000000	239.19422887
1387.42000000	239.19422887
1388.06500000	240.20208733
1391.63500000	240.66554039
1394.11000000	241.16049298
1394.72500000	241.50142123
1398.64500000	241.67785035
1399.14000000	241.63733792
1401.47000000	243.46207999
1401.62000000	244.45584318
1401.88000000	245.70670342
1401.93000000	247.05251438
1401.93000000	247.05251438
1401.93000000	247.05251438
1401.98000000	246.30124414
1402.97000000	245.93992367
1403.90000000	245.49292531
1404.58000000	244.78148735
1405.24000000	244.43528133
1408.01000000	244.57709740
1408.94000000	244.71018583
1408.94000000	244.71018583
1411.84500000	244.31626695
1415.71000000	244.15723859
1416.15000000	243.64484871
1416.73500000	243.62828853
1417.18000000	244.27677283
1417.68000000	244.09808585
1417.68000000	244.09808585
1418.84500000	243.48766090
1420.93000000	242.81878110
1422.10500000	241.34037302
1422.10500000	241.34037302
1422.10500000	241.34037302
1424.66000000	241.99111109
1425.76000000	241.99238660
1426.36500000	242.51704534
1429.07500000	243.13607087
1430.81000000	242.73545854
1433.35000000	242.09957661
1433.92000000	241.60597817
1434.34500000	241.38591022
1435.08500000	240.76546297
1435.91000000	240.85401401
1436.28000000	240.86692033
1436.74000000	240.64390509
1437.78500000	240.73936513
1439.03000000	240.50764389
1439.24000000	240.70517352
1439.78000000	240.61818774
1440.66000000	240.61798794
1441.00000000	240.68747503
1441.00000000	240.68747503
1441.22500000	240.53200955
1442.02000000	240.26036088
1442.87000000	240.27675052
1443.69000000	239.99347259
1445.21000000	239.69374685
1445.60000000	240.53648903
1446.16000000	241.07116599
1446.49000000	241.68450185
1446.87500000	241.88211669
1449.42000000	242.44655691
1452.28000000	242.01022111
1455.75000000	242.36604526
1456.68000000	242.48310064
1457.15000000	242.04619565
1460.49500000	242.34784616
1460.95000000	242.24571640
1460.95000000	242.24571640
1461.31000000	242.05917069
1461.49000000	241.85096958
1461.67000000	241.90258063
1461.74500000	242.25221248
1461.74500000	242.25221248
1461.82000000	242.25581247
1462.73500000	242.48459878
1463.69000000	243.37455044
1464.43000000	243.82947763
1470.48000000	244.53972848
1471.03000000	244.88332774
1474.98000000	245.78421486
1476.71000000	246.94914131
1477.08000000	247.11768224
1478.37000000	246.47870801
1478.63000000	246.71278672
1478.89000000	246.35052077
1479.98000000	245.88105449
1480.30000000	245.30476097
1480.62500000	245.03388407
1480.62500000	245.03388407
1481.66000000	244.77191160
1482.16500000	244.86201471
1482.16500000	244.86201471
1482.67000000	245.34819109
1483.08000000	245.48681922
1483.49000000	245.62377037
1484.67000000	244.72692329
1485.74500000	243.93634083
1486.19500000	243.27646779
1486.89000000	242.62000604
1488.33000000	241.36772701
1490.46000000	240.41841248
1493.33000000	240.04567266
1496.74000000	239.95972724
1499.51000000	239.34397047
1500.02000000	239.14497446
1500.61000000	238.34454357
1501.33000000	237.47583816
1502.18000000	237.83583680
1502.18000000	237.83583680
1503.01000000	237.69520907
1503.01000000	237.69520907
1503.01000000	237.69520907
1503.36000000	236.63396473
1503.36000000	236.63396473
1503.88000000	237.43626889
1504.65000000	238.00937613
1505.97000000	239.55163077
1506.36500000	240.07004068
1507.00000000	240.72380023
1511.86500000	241.74173484
1515.51000000	242.07210895
1515.56000000	242.56603545
1516.38000000	243.07963165
1516.71000000	244.79421826
1516.96000000	245.38880035
1517.41000000	247.31239793
1517.70000000	248.37838404
1518.17500000	247.59974766
1518.56000000	247.21142600
1519.38000000	245.96519893
1520.49000000	245.28407795
1522.02000000	245.24507415
1522.02000000	245.24507415
1522.02000000	245.24507415
1524.05500000	245.14858472
1527.38000000	246.24124624
1529.07000000	244.62583529
1530.09500000	244.22789831
1530.64500000	244.11190320
1530.96000000	243.17584050
1531.60000000	244.17868864
1531.88000000	244.04953857
1534.38000000	243.79389568
1536.88000000	243.66294306
1536.88000000	243.66294306
1536.88000000	243.66294306
1537.94000000	243.59774696
1538.25000000	244.25525302
1539.48000000	244.37675446
1541.09000000	245.40402675
1541.76000000	246.31291658
1542.10000000	246.45036467
1542.62000000	246.38938455
1545.12000000	247.05961481
1548.79500000	249.96549369
1550.99000000	251.63443805
1553.16000000	252.56577466
1554.33500000	253.44096264
1554.78000000	253.49685528
1554.78000000	253.49685528
1555.23000000	252.81544409
1555.79000000	253.15605642
1555.93500000	253.06850453
1556.08000000	252.67182762
1556.08000000	252.67182762
1556.08000000	252.67182762
1556.54000000	253.50022945
1556.91000000	253.06605094
1557.34000000	252.47836062
1557.63000000	251.31574648
1557.92000000	251.60787289
1561.64000000	252.60803967
1562.02500000	253.46745629
1562.48000000	253.53082998
1565.67000000	251.75347513
1567.77000000	250.23951878
1568.60500000	249.36464786
1569.41000000	249.08919601
1569.41000000	249.08919601
1569.41000000	249.08919601
1570.96000000	249.49606423
1571.97000000	249.92353843
1572.14500000	249.77573309
1572.32000000	250.13173552
1572.32000000	250.13173552
1572.32000000	250.13173552
1572.90000000	249.80468100
1573.48000000	250.54841952
1574.97000000	250.14714084
1580.88000000	251.15173679
1589.23500000	249.27287756
1590.01000000	246.61198917
1590.26000000	244.90363895
1590.48500000	244.07965005
1590.75500000	243.61089813
1590.93000000	243.49364618
1590.93000000	243.49364618
1591.17500000	242.99657806
1591.42000000	242.19421903
1591.79500000	241.41110794
1592.57000000	241.59395372
1593.40500000	242.44292844
1593.40500000	242.44292844
1594.27500000	243.14249467
1594.71000000	243.49532231
1594.71000000	243.49532231
1594.71000000	243.49532231
1594.71000000	243.49532231
1596.15000000	244.20558382
1600.68000000	243.78346467
1601.30000000	244.21093756
1601.64500000	244.51923580
1602.59000000	245.73721468
1604.33000000	245.11700844
1605.37000000	245.22473826
1610.48000000	245.64992093
1611.72000000	245.65717251
1612.96000000	245.60275749
1613.68000000	246.33943978
1614.27000000	247.77958979
1614.72000000	248.06246321
1615.91000000	248.76382552
1616.01000000	249.24999530
1616.31500000	249.23851422
1617.04500000	249.69416897
1617.92500000	248.98025760
1618.28000000	248.07262193
1618.77500000	247.22000440
1620.19000000	247.13275779
1620.66500000	246.87883011
1621.59500000	246.97482338
1622.33000000	246.18510358
1623.64000000	244.87245770
1625.43000000	245.06793766
1626.36000000	244.64735595
1627.97500000	243.93974592
1628.90000000	243.79282024
1630.35500000	243.01797371
1631.29500000	242.55716550
1632.00000000	241.15457869
1632.74000000	240.32127973
1633.94000000	238.80622067
1634.76500000	237.81313010
1635.15000000	237.58799376
1635.92000000	236.66820016
1637.66000000	236.18512072
1638.08000000	236.39576350
1638.91500000	236.56176879
1640.11000000	235.67374213
1640.56000000	235.54327157
1641.77000000	234.64721407
1643.11500000	234.44615293
1644.43000000	234.93628346
1644.80500000	234.97801262
1645.65000000	234.92753935
1646.83000000	234.77948361
1647.90000000	234.14554857
1648.96500000	234.07676426
1649.83000000	234.11317490
1650.63000000	234.25805295
1652.22000000	234.22953852
1653.06000000	234.14449722
1655.80500000	234.23437113
1656.03000000	234.30609011
1656.68000000	234.24534877
1658.37000000	234.44633867
1658.72000000	234.42561911
1660.06000000	234.42686690
1661.03000000	234.47270955
1662.41000000	234.51929142
1662.86000000	234.50838494
1663.17000000	234.58427942
1663.33000000	234.49667585
1663.33000000	234.49667585
1663.69000000	234.61524718
1665.80500000	234.77131868
1666.15000000	234.83390443
1666.43000000	234.86178110
1667.37000000	234.89172106
1668.84000000	234.85804950
1669.76500000	234.75525572
1669.97000000	234.84285064
1671.89000000	234.88526009
1673.57000000	234.82270761
1675.70500000	234.93908557
1678.13000000	234.76048666
1678.56500000	234.91656022
1679.27500000	235.07732514
1680.11000000	235.16006274
1681.21500000	235.32639921
1684.66000000	235.37231434
1685.74000000	235.39347176
1686.09000000	235.39811126
1686.44000000	235.45868505
1687.05000000	235.48101769
1687.95000000	235.58898747
1689.00000000	235.65507118
1690.60000000	235.66056717
1691.66000000	235.60694056
1692.40000000	235.59687962
1692.91000000	235.79316726
1693.42000000	235.68408659
1693.42000000	235.68408659
1694.81000000	235.73551690
1695.05000000	235.77722053
1695.49500000	235.70931814
1695.94000000	235.61292713
1696.55000000	235.42888943
1697.16000000	235.32615994
1697.57500000	235.19057258
1698.29000000	234.82292886
1698.87500000	234.85218970
1699.72500000	234.88297050
1702.78000000	234.87838255
1704.20000000	234.75623761
1708.11500000	234.78332248
1713.32000000	234.55471123
1714.74000000	234.38439623
1715.47000000	234.42369399
1716.12000000	234.54814299
1716.12000000	234.54814299
1716.46500000	234.60820597
1716.88000000	234.51653294
1717.28000000	234.54194648
1718.09000000	234.59497999
1718.37000000	234.55816765
1718.65000000	234.45214478
1719.13500000	234.73036634
1719.89500000	234.84824904
1720.17000000	234.85358398
1723.06500000	235.11520135
1723.06500000	235.11520135
1723.22000000	235.08357235
1723.93000000	235.02736846
1724.91000000	235.12070435
1725.96000000	234.90327480
1727.43000000	235.03781220
1728.99000000	235.08261843
1729.33000000	235.12712365
1730.45000000	235.05736834
1731.09000000	235.20681914
1731.43000000	235.22409934
1735.77500000	235.20968731
1736.47000000	235.21465200
1737.06000000	235.18347457
1737.91000000	235.04202885
1739.42000000	234.98105933
1740.53000000	234.74671551
1741.81000000	234.59425456
1743.38000000	234.59746728
1745.95000000	234.45227190
1746.38500000	234.48363013
1747.08500000	234.37761042
1747.35000000	234.34605060
1747.62000000	234.40923333
1748.17000000	234.54304086
1749.09000000	234.55307852
1749.93000000	234.62579487
1750.07500000	234.59997314
1750.35000000	234.63712357
1750.62000000	234.52178284
1751.93500000	234.53006480
1753.33500000	234.56010722
1753.77000000	234.57093230
1753.96000000	234.53567732
1755.68000000	234.57486436
1757.49000000	234.68934468
1758.65000000	234.68900216
