DEPTH d	VALUE d
1370.62000000	242.22857193
1372.51500000	241.22254990
1373.53000000	239.88918110
1374.66000000	238.90212400
1376.30000000	237.12556454
1376.67000000	236.84376792
1378.57500000	238.16972187
1384.20000000	237.74663774
1384.20000000	237.74663774
1384.71500000	237.39395994
1385.12500000	237.06717041
1385.66000000	237.15092401
1385.99000000	236.87198849
1386.99000000	235.67509636
1386.99000000	235.67509636
1387.29000000	237.00081228
1387.42000000	236.91177478
1387.42000000	236.91177478
1388.06500000	237.27658300
1391.63500000	237.76546324
1394.11000000	238.12741456
1394.72500000	238.37001365
1398.64500000	238.39970025
1399.14000000	238.28060936
1401.47000000	240.79201900
1401.62000000	241.59383093
1401.88000000	242.50914075
1401.93000000	242.00946801
1401.93000000	242.00946801
1401.93000000	242.00946801
1401.98000000	241.15495093
1402.97000000	240.54464875
1403.90000000	240.00723626
1404.58000000	239.28404231
1405.24000000	239.16676995
1408.01000000	239.34479309
1408.94000000	239.52472119
1408.94000000	239.52472119
1411.84500000	238.93534201
1415.71000000	238.62218722
1416.15000000	237.97034985
1416.73500000	237.95279216
1417.18000000	238.56314971
1417.68000000	238.71595337
1417.68000000	238.71595337
1418.84500000	238.23416791
1420.93000000	237.90245923
1422.10500000	239.31236803
1422.10500000	239.31236803
1422.10500000	239.31236803
1424.66000000	240.20173807
1425.76000000	240.22221502
1426.36500000	240.47458895
1429.07500000	241.39449551
1430.81000000	240.61631044
1433.35000000	239.71857857
1433.92000000	239.09040715
1434.34500000	238.86980576
1435.08500000	238.04905820
1435.91000000	237.88276580
1436.28000000	237.95282370
1436.74000000	237.75910379
1437.78500000	237.70402764
1439.03000000	237.53425275
1439.24000000	237.81898618
1439.78000000	237.68611621
1440.66000000	237.68607773
1441.00000000	237.71073871
1441.00000000	237.71073871
1441.22500000	237.58025000
1442.02000000	237.22407832
1442.87000000	237.14651657
1443.69000000	237.10278862
1445.21000000	236.74164843
1445.60000000	237.51339713
1446.16000000	238.06374048
1446.49000000	238.69553133
1446.87500000	239.02485510
1449.42000000	240.06138127
1452.28000000	239.79796641
1455.75000000	240.20502628
1456.68000000	240.35276524
1457.15000000	240.40443704
1460.49500000	240.61109319
1460.95000000	240.41585776
1460.95000000	240.41585776
1461.31000000	240.19137265
1461.49000000	240.00447997
1461.67000000	240.11299760
1461.74500000	240.53476092
1461.74500000	240.53476092
1461.82000000	240.59295122
1462.73500000	240.92320475
1463.69000000	240.95041493
1464.43000000	240.91214384
1470.48000000	241.61786310
1471.03000000	241.94971214
1474.98000000	242.86178569
1476.71000000	244.18145762
1477.08000000	244.42790161
1478.37000000	243.57330905
1478.63000000	243.76585798
1478.89000000	243.40132484
1479.98000000	242.99136210
1480.30000000	242.41817352
1480.62500000	242.14529139
1480.62500000	242.14529139
1481.66000000	241.87549691
1482.16500000	241.91248056
1482.16500000	241.91248056
1482.67000000	242.17320887
1483.08000000	242.26161123
1483.49000000	242.34597581
1484.67000000	241.54260990
1485.74500000	241.14207505
1486.19500000	240.53432529
1486.89000000	239.98606250
1488.33000000	238.96007049
1490.46000000	238.26085329
1493.33000000	237.70002797
1496.74000000	237.54885371
1499.51000000	236.96817789
1500.02000000	236.75166291
1500.61000000	235.85895926
1501.33000000	234.43874666
1502.18000000	234.46645165
1502.18000000	234.46645165
1503.01000000	234.15883191
1503.01000000	234.15883191
1503.01000000	234.15883191
1503.36000000	233.95078801
1503.36000000	233.95078801
1503.88000000	234.51659768
1504.65000000	235.17764445
1505.97000000	235.75162601
1506.36500000	236.07682167
1507.00000000	236.42975380
1511.86500000	236.92416624
1515.51000000	237.06887909
1515.56000000	237.59203895
1516.38000000	238.09958314
1516.71000000	239.90481037
1516.96000000	240.49676175
1517.41000000	242.76722393
1517.70000000	245.05426470
1518.17500000	244.09232994
1518.56000000	243.72823081
1519.38000000	242.28422127
1520.49000000	241.59536130
1522.02000000	241.64185343
1522.02000000	241.64185343
1522.02000000	241.64185343
1524.05500000	241.36859264
1527.38000000	242.30528048
1529.07000000	240.90406480
1530.09500000	240.86085289
1530.64500000	240.97528605
1530.96000000	240.76987819
1531.60000000	241.58916685
1531.88000000	241.58701081
1534.38000000	241.35050812
1536.88000000	241.17671845
1536.88000000	241.17671845
1536.88000000	241.17671845
1537.94000000	241.10435437
1538.25000000	241.67534908
1539.48000000	241.81454836
1541.09000000	243.05908872
1541.76000000	244.24126094
1542.10000000	244.31207349
1542.62000000	244.41040867
1545.12000000	244.14563769
1548.79500000	245.48507389
1550.99000000	246.31396010
1553.16000000	247.31212634
1554.33500000	248.20189080
1554.78000000	248.13128067
1554.78000000	248.13128067
1555.23000000	247.26946836
1555.79000000	247.76324220
1555.93500000	247.79995051
1556.08000000	247.45138387
1556.08000000	247.45138387
1556.08000000	247.45138387
1556.54000000	248.56337926
1556.91000000	247.98883840
1557.34000000	246.99145831
1557.63000000	245.35945836
1557.92000000	245.75877000
1561.64000000	246.80181866
1562.02500000	247.61971574
1562.48000000	247.77887216
1565.67000000	246.18331896
1567.77000000	245.46431828
1568.60500000	244.60133669
1569.41000000	244.38151355
1569.41000000	244.38151355
1569.41000000	244.38151355
1570.96000000	244.71536177
1571.97000000	244.84750598
1572.14500000	244.51464824
1572.32000000	244.68913450
1572.32000000	244.68913450
1572.32000000	244.68913450
1572.90000000	244.15172711
1573.48000000	244.73924573
1574.97000000	244.74810282
1580.88000000	246.84079154
1589.23500000	244.84577113
1590.01000000	242.94904233
1590.26000000	241.76264702
1590.48500000	241.14144811
1590.75500000	240.74604513
1590.93000000	240.70768937
1590.93000000	240.70768937
1591.17500000	240.25941043
1591.42000000	239.13687273
1591.79500000	238.11526824
1592.57000000	238.19678559
1593.40500000	239.00933983
1593.40500000	239.00933983
1594.27500000	239.73076777
1594.71000000	240.07106290
1594.71000000	240.07106290
1594.71000000	240.07106290
1594.71000000	240.07106290
1596.15000000	240.69922801
1600.68000000	240.31065437
1601.30000000	240.59235883
1601.64500000	240.83376361
1602.59000000	242.01427641
1604.33000000	240.94860190
1605.37000000	241.07018641
1610.48000000	241.75746667
1611.72000000	241.86880474
1612.96000000	241.90741766
1613.68000000	243.08993874
1614.27000000	244.98173913
1614.72000000	245.15868881
1615.91000000	245.64705232
1616.01000000	246.05096680
1616.31500000	245.87567322
1617.04500000	246.16766456
1617.92500000	244.83214173
1618.28000000	243.53084298
1618.77500000	242.38961710
1620.19000000	242.42600741
1620.66500000	242.17000493
1621.59500000	242.45193080
1622.33000000	241.34747211
1623.64000000	239.60763441
1625.43000000	239.80612427
1626.36000000	239.29085984
1627.97500000	238.29115109
1628.90000000	238.11752487
1630.35500000	237.33690638
1631.29500000	236.81007828
1632.00000000	235.53051310
1632.74000000	234.84439436
1633.94000000	233.67774922
1634.76500000	233.04481432
1635.15000000	232.87929359
1635.92000000	232.44079352
1637.66000000	232.49360092
1638.08000000	232.77009828
1638.91500000	233.06584907
1640.11000000	232.45953694
1640.56000000	232.43449254
1641.77000000	231.95115086
1643.11500000	232.24809650
1644.43000000	233.05265647
1644.80500000	233.06088478
1645.65000000	233.00359428
1646.83000000	232.87154885
1647.90000000	233.53568996
1648.96500000	233.48697803
1649.83000000	233.51599067
1650.63000000	233.72500930
1652.22000000	233.70100865
1653.06000000	233.60609041
1655.80500000	233.67879320
1656.03000000	233.77046696
1656.68000000	233.68744657
1658.37000000	233.33084657
1658.72000000	233.29068603
1660.06000000	233.26796064
1661.03000000	233.30860250
1662.41000000	233.33675082
1662.86000000	233.34838669
1663.17000000	233.44891056
1663.33000000	233.32527561
1663.33000000	233.32527561
1663.69000000	233.43500736
1665.80500000	233.59364396
1666.15000000	233.67485596
1666.43000000	233.67887540
1667.37000000	233.73042342
1668.84000000	233.68951621
1669.76500000	233.54457291
1669.97000000	233.62169991
1671.89000000	233.56091353
1673.57000000	233.52689965
1675.70500000	233.66905899
1678.13000000	234.14428960
1678.56500000	234.24273752
1679.27500000	234.27616795
1680.11000000	234.32553528
1681.21500000	234.45911902
1684.66000000	234.50560659
1685.74000000	234.53249916
1686.09000000	234.56006473
1686.44000000	234.63098334
1687.05000000	234.64651241
1687.95000000	234.73328276
1689.00000000	234.81427426
1690.60000000	234.83634907
1691.66000000	234.74688305
1692.40000000	234.72945732
1692.91000000	235.02583559
1693.42000000	234.90096233
1693.42000000	234.90096233
1694.81000000	234.97409440
1695.05000000	235.02367183
1695.49500000	234.95157303
1695.94000000	234.86202436
1696.55000000	234.75831979
1697.16000000	234.66972583
1697.57500000	234.56745875
1698.29000000	233.95579027
1698.87500000	233.95428470
1699.72500000	233.97811989
1702.78000000	234.02411480
1704.20000000	233.94310626
1708.11500000	234.00718657
1713.32000000	233.73365932
1714.74000000	233.57679198
1715.47000000	233.61836781
1716.12000000	233.75244979
1716.12000000	233.75244979
1716.46500000	233.79456679
1716.88000000	233.74234519
1717.28000000	233.76484571
1718.09000000	233.82250331
1718.37000000	233.80259593
1718.65000000	233.68202028
1719.13500000	233.74873033
1719.89500000	233.89162101
1720.17000000	233.91702228
1723.06500000	234.31193084
1723.06500000	234.31193084
1723.22000000	234.26778542
1723.93000000	234.18118239
1724.91000000	234.24522656
1725.96000000	234.00088511
1727.43000000	234.20036722
1728.99000000	234.22883088
1729.33000000	234.27521631
1730.45000000	234.19344777
1731.09000000	234.33103218
1731.43000000	234.36666671
1735.77500000	234.31327427
1736.47000000	234.29819673
1737.06000000	234.23038266
1737.91000000	234.07109902
1739.42000000	234.02892677
1740.53000000	234.00414581
1741.81000000	233.86099151
1743.38000000	233.80692781
1745.95000000	233.66730419
1746.38500000	233.71093612
1747.08500000	233.61074837
1747.35000000	233.58852411
1747.62000000	233.56330546
1748.17000000	233.69327930
1749.09000000	233.68647772
1749.93000000	233.77851502
1750.07500000	233.74066602
1750.35000000	233.78132376
1750.62000000	233.70979665
1751.93500000	233.73517905
1753.33500000	233.80265721
1753.77000000	233.82668375
1753.96000000	233.79826100
1755.68000000	233.83272372
1757.49000000	233.97225811
1758.65000000	233.96578347
1759.90000000	234.01593327
1762.22000000	234.03725610
1762.84000000	234.09638572
1763.45500000	234.12400532
1764.90000000	234.34369431
1765.89000000	234.43173333
1766.76000000	234.44711408
1767.36000000	234.44189032
1768.41000000	234.44116211
1770.29000000	234.34822563
1771.39000000	234.32003798
1772.31000000	234.33405945
1772.64000000	234.30298178
1773.76000000	233.66244702
1775.14000000	233.80331625
1775.61000000	233.74365061
1776.25000000	233.81802314
1777.33000000	233.87432829
1778.22500000	233.85156316
1778.79500000	233.78429472
1779.34500000	233.77103010
1780.74000000	233.88589141
1782.04000000	233.86653069
1782.52000000	233.78568301
1783.11000000	233.83564159
1783.60000000	233.80585032
1784.85500000	233.76222407
1786.08000000	233.72647985
1786.60000000	233.66845138
1787.81500000	233.75883966
1789.56500000	233.87849823
1790.25000000	233.94376403
1790.65000000	233.91945586
1792.94500000	234.36767889
1794.34000000	234.20913052
1795.37000000	234.34660367
1795.88000000	234.21067001
1796.96000000	234.25577711
1797.90000000	234.18853413
1798.43500000	234.25228186
1799.40500000	234.16386009
1800.03000000	234.05970747
1800.22000000	234.08449854
1801.31000000	234.08947611
1802.29500000	233.78434077
1803.23000000	233.84761452
1803.80000000	233.87325818
1804.85500000	233.68187591
1806.40500000	233.48526688
1807.31000000	233.41551919
