DEPTH d	VALUE d
1370.62000000	0.02352560
1372.51500000	0.01036548
1373.53000000	0.01333110
1374.66000000	0.14460222
1376.30000000	0.13040308
1376.67000000	0.11997361
1378.57500000	0.08298880
1384.20000000	0.00000000
1384.20000000	0.06275411
1384.71500000	0.00835007
1385.12500000	0.42580241
1385.66000000	0.36175474
1385.99000000	0.09638823
1386.99000000	0.00000000
1386.99000000	0.86308202
1387.29000000	0.15746374
1387.42000000	0.00000000
1387.42000000	0.17435910
1388.06500000	0.03644466
1391.63500000	0.02270498
1394.11000000	0.04234015
1394.72500000	0.00383502
1398.64500000	0.01838300
1399.14000000	0.17052958
1401.47000000	1.00000000
1401.62000000	0.39046244
1401.88000000	0.00000000
1401.93000000	0.00000000
1401.93000000	0.00000000
1401.93000000	0.00000000
1401.98000000	0.17403189
1402.97000000	0.06121565
1403.90000000	0.19679490
1404.58000000	0.10065881
1405.24000000	0.00344693
1408.01000000	0.02352814
1408.94000000	0.00000000
1408.94000000	0.03623494
1411.84500000	0.04841817
1415.71000000	0.15787907
1416.15000000	0.18015819
1416.73500000	0.29621653
1417.18000000	0.14762538
1417.68000000	0.00000000
1417.68000000	0.12831931
1418.84500000	0.08340524
1420.93000000	0.14638024
1422.10500000	0.00000000
1422.10500000	0.00000000
1422.10500000	0.00297527
1424.66000000	0.00379415
1425.76000000	0.22445235
1426.36500000	0.09236404
1429.07500000	0.03103075
1430.81000000	0.01265253
1433.35000000	0.03673260
1433.92000000	0.00550764
1434.34500000	0.07726584
1435.08500000	0.13940208
1435.91000000	0.40933457
1436.28000000	0.02881886
1436.74000000	0.14295740
1437.78500000	0.11847986
1439.03000000	0.54134782
1439.24000000	0.08206279
1439.78000000	0.01154591
1440.66000000	0.15116217
1441.00000000	0.00000000
1441.00000000	0.23338490
1441.22500000	0.04300243
1442.02000000	0.06473849
1442.87000000	0.23129981
1443.69000000	0.07724289
1445.21000000	0.02517739
1445.60000000	0.03093212
1446.16000000	0.07307127
1446.49000000	0.29170352
1446.87500000	0.07831389
1449.42000000	0.06152304
1452.28000000	0.03991603
1455.75000000	0.03980205
1456.68000000	0.56343998
